AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
0,Starting goalkeeper,1.0,1,0,KAZ,1.0,YANITSAS L,0 - 0,480,AUS,8:00
0,Starting goalkeeper,1.0,1,0,KAZ,1.0,ZHARKIMBAYEVA A,0 - 0,480,KAZ,8:00
0,Sprint won possession,2.0,1,0,KAZ,1.0,GOFERS K,0 - 0,480,AUS,8:00
0,20 sec. exclusion in field,3.0,1,0,KAZ,1.0,AKILBAYEVA A,0 - 0,457,KAZ,7:37
1,Action shot - Goal,7.0,1,0,KAZ,1.0,WEBSTER R,1 - 0,432,AUS,7:12
1,Action shot - Saved,10.0,1,0,KAZ,1.0,MYRZABEKOVA Z,1 - 0,420,KAZ,7:00
1,20 sec. exclusion in centre,2.0,1,0,KAZ,1.0,GOFERS K,1 - 0,397,AUS,6:37
1,Action shot - Goal,5.0,1,1,KAZ,1.0,ZAKIROVA K,1 - 1,368,KAZ,6:08
1,Turnover foul,4.0,1,1,KAZ,1.0,HALLIGAN B,1 - 1,350,AUS,5:50
1,Steal,3.0,1,1,KAZ,1.0,AKILBAYEVA A,1 - 1,350,KAZ,5:50
1,Turnover foul,10.0,1,1,KAZ,1.0,MYRZABEKOVA Z,1 - 1,325,KAZ,5:25
1,Steal,4.0,1,1,KAZ,1.0,HALLIGAN B,1 - 1,325,AUS,5:25
1,Turnover foul,4.0,1,1,KAZ,1.0,HALLIGAN B,1 - 1,308,AUS,5:08
1,Steal,10.0,1,1,KAZ,1.0,MYRZABEKOVA Z,1 - 1,308,KAZ,5:08
1,Action shot - Missed,2.0,1,1,KAZ,1.0,GOFERS K,1 - 1,207,AUS,3:27
1,Turnover foul,4.0,1,1,KAZ,1.0,TUROVA A,1 - 1,188,KAZ,3:08
1,Steal,4.0,1,1,KAZ,1.0,HALLIGAN B,1 - 1,188,AUS,3:08
2,Action shot - Goal,7.0,1,1,KAZ,1.0,WEBSTER R,2 - 1,172,AUS,2:52
2,Action shot - Saved,11.0,1,1,KAZ,1.0,MIRSHINA A,2 - 1,158,KAZ,2:38
2,20 sec. exclusion in centre,4.0,1,1,KAZ,1.0,TUROVA A,2 - 1,137,KAZ,2:17
3,Extra player shot - Goal,9.0,1,1,KAZ,1.0,ARANCINI Z,3 - 1,137,AUS,2:17
3,Steal,4.0,1,1,KAZ,1.0,HALLIGAN B,3 - 1,97,AUS,1:37
3,Centre shot - Saved,3.0,1,1,KAZ,1.0,BUCKLING H,3 - 1,80,AUS,1:20
3,Time-Out,,1,1,KAZ,1.0,,3 - 1,78,KAZ,1:18
3,Turnover foul,6.0,1,1,KAZ,1.0,ROGA D,3 - 1,73,KAZ,1:13
3,Steal,9.0,1,1,KAZ,1.0,ARANCINI Z,3 - 1,73,AUS,1:13
4,Action shot - Goal,12.0,1,1,KAZ,1.0,STEERE M,4 - 1,60,AUS,1:00
4,5m shot - Saved,6.0,1,1,KAZ,1.0,ROGA D,4 - 1,34,KAZ,0:34
4,Counter attack - Post,9.0,1,1,KAZ,1.0,ARANCINI Z,4 - 1,20,AUS,0:20
4,Action shot - Saved,12.0,1,1,KAZ,1.0,STEERE M,4 - 1,1,AUS,0:01
4,Starting goalkeeper,1.0,1,1,KAZ,2.0,YANITSAS L,4 - 1,480,AUS,8:00
4,Starting goalkeeper,1.0,1,1,KAZ,2.0,ZHARKIMBAYEVA A,4 - 1,480,KAZ,8:00
4,Sprint won possession,5.0,1,1,KAZ,2.0,ZAKIROVA K,4 - 1,480,KAZ,8:00
4,5m shot - Blocked,3.0,1,1,KAZ,2.0,AKILBAYEVA A,4 - 1,455,KAZ,7:35
4,Turnover foul,5.0,1,1,KAZ,2.0,BISHOP I,4 - 1,400,AUS,6:40
4,Turnover foul,4.0,1,1,KAZ,2.0,TUROVA A,4 - 1,355,KAZ,5:55
4,Steal,5.0,1,1,KAZ,2.0,BISHOP I,4 - 1,355,AUS,5:55
4,Action shot - Saved,5.0,1,1,KAZ,2.0,BISHOP I,4 - 1,339,AUS,5:39
