Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
ARANCINI Z,1,0,3,1,1,1,0,0,1,1,0,1,0,6,3
ARANCINI Z,2,3,1,0,0,0,0,0,0,0,0,0,0,4,0
ARANCINI Z,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ARANCINI Z,4,0,1,1,0,2,0,0,1,1,0,2,0,4,4
ARANCINI Z,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
ARANCINI Z,7,2,4,0,1,0,0,0,0,0,0,0,0,7,0
BAXTER M,4,2,0,0,0,0,0,1,0,0,0,0,0,2,1
BAXTER M,6,0,1,0,0,0,0,0,1,0,0,0,0,1,1
BAXTER M,7,0,1,0,0,0,0,0,1,0,0,0,0,1,1
BISHOP I,1,1,2,2,0,0,0,1,0,1,0,0,0,5,2
BISHOP I,2,0,1,1,0,0,0,0,0,1,0,0,0,2,1
BISHOP I,3,1,3,0,0,0,0,0,1,0,0,0,0,4,1
BISHOP I,4,1,1,0,0,0,0,0,0,0,0,0,0,2,0
BISHOP I,5,1,1,0,0,0,0,0,0,0,0,0,0,2,0
BISHOP I,6,2,0,1,0,0,0,1,0,1,0,0,0,3,2
BISHOP I,7,1,2,0,0,2,0,0,1,0,0,0,0,5,1
BUCKLING H,1,0,0,3,0,0,0,0,0,1,0,0,0,3,1
BUCKLING H,2,0,1,1,1,0,0,0,0,1,1,0,0,3,2
BUCKLING H,3,2,1,1,0,0,0,1,0,1,0,0,0,4,2
BUCKLING H,4,1,1,0,0,1,0,0,1,0,0,1,0,3,2
BUCKLING H,5,1,1,0,0,0,0,0,0,0,0,0,0,2,0
BUCKLING H,6,0,4,2,0,0,0,0,1,1,0,0,0,6,2
BUCKLING H,7,1,2,0,0,0,0,0,1,0,0,0,0,3,1
GOFERS K,1,0,4,0,0,0,0,0,2,0,0,0,0,4,2
GOFERS K,2,0,3,1,0,2,0,0,1,0,0,1,0,6,2
GOFERS K,3,2,3,0,0,0,0,0,3,0,0,0,0,5,3
GOFERS K,4,0,0,0,2,0,0,0,0,0,2,0,0,2,2
GOFERS K,5,0,4,1,0,1,0,0,3,0,0,1,0,6,4
GOFERS K,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0
GOFERS K,7,0,3,0,0,1,0,0,1,0,0,0,0,4,1
HALLIGAN B,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0
HALLIGAN B,2,1,3,0,0,0,0,0,0,0,0,0,0,4,0
HALLIGAN B,3,0,3,1,0,1,0,0,0,0,0,1,0,5,1
HALLIGAN B,4,1,1,1,0,0,0,1,1,1,0,0,0,3,3
HALLIGAN B,5,0,1,0,0,1,0,0,0,0,0,0,0,2,0
HALLIGAN B,6,2,0,0,0,1,0,0,0,0,0,1,0,3,1
MIHAILOVIC L,4,1,0,0,1,0,0,0,0,0,1,0,0,2,1
MIHAILOVIC L,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
RIDGE A,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
RIDGE A,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1
RIDGE A,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
RIDGE A,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0
STEERE M,1,0,3,1,0,0,0,0,1,1,0,0,0,4,2
STEERE M,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0
STEERE M,7,0,1,0,0,0,0,0,1,0,0,0,0,1,1
WEBSTER R,1,1,5,1,0,0,0,1,3,1,0,0,0,7,5
WEBSTER R,2,1,2,2,0,0,0,0,1,1,0,0,0,5,2
WEBSTER R,3,3,1,1,0,1,0,0,1,0,0,0,0,6,1
WEBSTER R,4,1,3,0,0,1,1,1,1,0,0,0,1,6,3
WEBSTER R,5,2,2,1,0,0,1,0,0,0,0,0,1,6,1
WEBSTER R,6,2,2,4,0,0,1,1,0,2,0,0,1,9,4
WEBSTER R,7,1,1,0,0,1,0,0,1,0,0,0,0,3,1
ZIMMERMAN J,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
