AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
1,Action shot,7.0,1,0,KAZ,1.0,WEBSTER R,1 - 0,432,AUS,7:12,Goal,1
1,Action shot,10.0,1,0,KAZ,1.0,MYRZABEKOVA Z,1 - 0,420,KAZ,7:00,Saved,0
1,Action shot,5.0,1,1,KAZ,1.0,ZAKIROVA K,1 - 1,368,KAZ,6:08,Goal,1
1,Action shot,2.0,1,1,KAZ,1.0,GOFERS K,1 - 1,207,AUS,3:27,Missed,0
2,Action shot,7.0,1,1,KAZ,1.0,WEBSTER R,2 - 1,172,AUS,2:52,Goal,1
2,Action shot,11.0,1,1,KAZ,1.0,MIRSHINA A,2 - 1,158,KAZ,2:38,Saved,0
3,Extra player shot,9.0,1,1,KAZ,1.0,ARANCINI Z,3 - 1,137,AUS,2:17,Goal,1
3,Centre shot,3.0,1,1,KAZ,1.0,BUCKLING H,3 - 1,80,AUS,1:20,Saved,0
4,Action shot,12.0,1,1,KAZ,1.0,STEERE M,4 - 1,60,AUS,1:00,Goal,1
4,5m shot,6.0,1,1,KAZ,1.0,ROGA D,4 - 1,34,KAZ,0:34,Saved,0
4,Counter attack,9.0,1,1,KAZ,1.0,ARANCINI Z,4 - 1,20,AUS,0:20,Post,0
4,Action shot,12.0,1,1,KAZ,1.0,STEERE M,4 - 1,1,AUS,0:01,Saved,0
4,5m shot,3.0,1,1,KAZ,2.0,AKILBAYEVA A,4 - 1,455,KAZ,7:35,Blocked,0
4,Action shot,5.0,1,1,KAZ,2.0,BISHOP I,4 - 1,339,AUS,5:39,Saved,0
4,5m shot,5.0,1,1,KAZ,2.0,ZAKIROVA K,4 - 1,311,KAZ,5:11,Saved,0
5,5m shot,7.0,1,1,KAZ,2.0,WEBSTER R,5 - 1,244,AUS,4:04,Goal,1
6,Action shot,9.0,1,1,KAZ,2.0,ARANCINI Z,6 - 1,198,AUS,3:18,Goal,1
7,Centre shot,3.0,1,1,KAZ,2.0,BUCKLING H,7 - 1,167,AUS,2:47,Goal,1
7,Centre shot,11.0,1,2,KAZ,2.0,MIRSHINA A,7 - 2,155,KAZ,2:35,Goal,1
7,Action shot,9.0,1,2,KAZ,2.0,ARANCINI Z,7 - 2,130,AUS,2:10,Missed,0
8,Centre shot,12.0,1,2,KAZ,2.0,STEERE M,8 - 2,69,AUS,1:09,Goal,1
8,Action shot,3.0,1,2,KAZ,2.0,AKILBAYEVA A,8 - 2,41,KAZ,0:41,Missed,0
8,Centre shot,5.0,1,2,KAZ,2.0,BISHOP I,8 - 2,31,AUS,0:31,Saved,0
8,Extra player shot,5.0,1,2,KAZ,2.0,ZAKIROVA K,8 - 2,1,KAZ,0:01,Saved,0
9,5m shot,5.0,1,2,KAZ,3.0,BISHOP I,9 - 2,413,AUS,6:53,Goal,1
9,Action shot,3.0,1,3,KAZ,3.0,AKILBAYEVA A,9 - 3,382,KAZ,6:22,Goal,1
9,Action shot,5.0,1,3,KAZ,3.0,BISHOP I,9 - 3,354,AUS,5:54,Missed,0
9,Action shot,5.0,1,3,KAZ,3.0,ZAKIROVA K,9 - 3,333,KAZ,5:33,Missed,0
10,Action shot,2.0,1,3,KAZ,3.0,GOFERS K,10 - 3,321,AUS,5:21,Goal,1
10,Action shot,9.0,1,3,KAZ,3.0,ARANCINI Z,10 - 3,266,AUS,4:26,Saved,0
10,Centre shot,3.0,1,3,KAZ,3.0,BUCKLING H,10 - 3,217,AUS,3:37,Post,0
10,5m shot,11.0,1,3,KAZ,3.0,MIRSHINA A,10 - 3,190,KAZ,3:10,Saved,0
10,Action shot,7.0,1,3,KAZ,3.0,WEBSTER R,10 - 3,175,AUS,2:55,Blocked,0
10,Action shot,5.0,1,4,KAZ,3.0,ZAKIROVA K,10 - 4,153,KAZ,2:33,Goal,1
11,Action shot,6.0,1,4,KAZ,3.0,RIDGE A,11 - 4,85,AUS,1:25,Goal,1
12,Centre shot,7.0,1,4,KAZ,3.0,WEBSTER R,12 - 4,41,AUS,0:41,Goal,1
12,Action shot,12.0,1,4,KAZ,3.0,MUSSAROVA A,12 - 4,2,KAZ,0:02,Post,0
12,Action shot,7.0,1,4,KAZ,4.0,WEBSTER R,12 - 4,438,AUS,7:18,Saved,0
12,Action shot,11.0,1,4,KAZ,4.0,MIRSHINA A,12 - 4,414,KAZ,6:54,Saved,0
12,Action shot,5.0,1,4,KAZ,4.0,ZAKIROVA K,12 - 4,349,KAZ,5:49,Blocked,0
12,Action shot,4.0,1,4,KAZ,4.0,HALLIGAN B,12 - 4,335,AUS,5:35,Post,0
13,Centre shot,5.0,1,4,KAZ,4.0,BISHOP I,13 - 4,280,AUS,4:40,Goal,1
14,Centre shot,9.0,1,4,KAZ,4.0,ARANCINI Z,14 - 4,255,AUS,4:15,Goal,1
14,Centre shot,4.0,1,4,KAZ,4.0,HALLIGAN B,14 - 4,214,AUS,3:34,Saved,0
14,Action shot,6.0,1,4,KAZ,4.0,ROGA D,14 - 4,194,KAZ,3:14,Missed,0
14,Action shot,12.0,1,4,KAZ,4.0,STEERE M,14 - 4,182,AUS,3:02,Missed,0
14,Action shot,11.0,1,4,KAZ,4.0,MIRSHINA A,14 - 4,140,KAZ,2:20,Saved,0
14,Action shot,2.0,1,4,KAZ,4.0,GOFERS K,14 - 4,110,AUS,1:50,Saved,0
15,Action shot,2.0,1,4,KAZ,4.0,GOFERS K,15 - 4,86,AUS,1:26,Goal,1
15,5m shot,6.0,1,4,KAZ,4.0,ROGA D,15 - 4,59,KAZ,0:59,Missed,0
16,Action shot,7.0,1,4,KAZ,4.0,WEBSTER R,16 - 4,47,AUS,0:47,Goal,1
16,Centre shot,2.0,1,4,KAZ,4.0,RAITER S,16 - 4,29,KAZ,0:29,Blocked,0
0,Extra player shot,11.0,2,1,RUS,1.0,IVANOVA E,0 - 1,365,RUS,6:05,Goal,1
0,Action shot,5.0,2,1,RUS,1.0,BISHOP I,0 - 1,335,AUS,5:35,Missed,0
0,5m shot,11.0,2,1,RUS,1.0,IVANOVA E,0 - 1,313,RUS,5:13,Post,0
0,Action shot,3.0,2,1,RUS,1.0,BUCKLING H,0 - 1,268,AUS,4:28,Saved,0
0,Action shot,4.0,2,1,RUS,1.0,KARIMOVA E,0 - 1,242,RUS,4:02,Saved,0
0,Action shot,2.0,2,1,RUS,1.0,VAKHITOVA V,0 - 1,228,RUS,3:48,Blocked,0
0,5m shot,4.0,2,1,RUS,1.0,HALLIGAN B,0 - 1,176,AUS,2:56,Blocked,0
0,5m shot,3.0,2,1,RUS,1.0,PROKOFYEVA E,0 - 1,155,RUS,2:35,Post,0
1,Action shot,6.0,2,1,RUS,1.0,RIDGE A,1 - 1,130,AUS,2:10,Goal,1
1,5m shot,5.0,2,2,RUS,1.0,BORISOVA M,1 - 2,107,RUS,1:47,Goal,1
1,Action shot,3.0,2,2,RUS,1.0,PROKOFYEVA E,1 - 2,58,RUS,0:58,Missed,0
1,Action shot,4.0,2,2,RUS,1.0,HALLIGAN B,1 - 2,31,AUS,0:31,Missed,0
1,5m shot,3.0,2,2,RUS,2.0,PROKOFYEVA E,1 - 2,454,RUS,7:34,Saved,0
1,Action shot,7.0,2,2,RUS,2.0,WEBSTER R,1 - 2,436,AUS,7:16,Saved,0
1,Action shot,4.0,2,2,RUS,2.0,HALLIGAN B,1 - 2,383,AUS,6:23,Saved,0
1,Centre shot,7.0,2,2,RUS,2.0,WEBSTER R,1 - 2,340,AUS,5:40,Saved,0
1,Action shot,5.0,2,2,RUS,2.0,BORISOVA M,1 - 2,318,RUS,5:18,Blocked,0
2,Counter attack,3.0,2,2,RUS,2.0,BUCKLING H,2 - 2,301,AUS,5:01,Goal,1
2,Action shot,5.0,2,3,RUS,2.0,BORISOVA M,2 - 3,251,RUS,4:11,Goal,1
2,Action shot,9.0,2,3,RUS,2.0,ARANCINI Z,2 - 3,230,AUS,3:50,Missed,0
3,Extra player shot,2.0,2,3,RUS,2.0,GOFERS K,3 - 3,183,AUS,3:03,Goal,1
3,Centre shot,3.0,2,3,RUS,2.0,PROKOFYEVA E,3 - 3,121,RUS,2:01,Saved,0
3,5m shot,9.0,2,3,RUS,2.0,ARANCINI Z,3 - 3,100,AUS,1:40,Saved,0
3,Centre shot,2.0,2,3,RUS,2.0,GOFERS K,3 - 3,58,AUS,0:58,Saved,0
8,Action shot,2.0,2,5,RUS,4.0,GOFERS K,8 - 5,172,AUS,2:52,Goal,1
8,5m shot,3.0,2,5,RUS,4.0,PROKOFYEVA E,8 - 5,149,RUS,2:29,Post,0
8,Extra player shot,5.0,2,5,RUS,4.0,BORISOVA M,8 - 5,98,RUS,1:38,Blocked,0
8,5m shot,3.0,2,5,RUS,3.0,PROKOFYEVA E,8 - 5,450,RUS,7:30,Blocked,0
8,Extra player shot,2.0,2,5,RUS,3.0,GOFERS K,8 - 5,417,AUS,6:57,Missed,0
8,5m shot,11.0,2,5,RUS,3.0,IVANOVA E,8 - 5,375,RUS,6:15,Blocked,0
8,Centre shot,11.0,2,5,RUS,3.0,IVANOVA E,8 - 5,333,RUS,5:33,Blocked,0
4,Centre shot,7.0,2,3,RUS,3.0,WEBSTER R,4 - 3,304,AUS,5:04,Goal,1
4,Action shot,2.0,2,3,RUS,3.0,GOFERS K,4 - 3,265,AUS,4:25,Post,0
4,5m shot,4.0,2,3,RUS,3.0,KARIMOVA E,4 - 3,241,RUS,4:01,Post,0
4,Action shot,2.0,2,3,RUS,3.0,GOFERS K,4 - 3,220,AUS,3:40,Saved,0
4,Action shot,11.0,2,3,RUS,3.0,IVANOVA E,4 - 3,192,RUS,3:12,Missed,0
5,Action shot,7.0,2,3,RUS,3.0,WEBSTER R,5 - 3,144,AUS,2:24,Goal,1
5,Action shot,12.0,2,4,RUS,3.0,RYZHKOVA D,5 - 4,99,RUS,1:39,Goal,1
6,Centre shot,3.0,2,4,RUS,3.0,BUCKLING H,6 - 4,66,AUS,1:06,Goal,1
6,5m shot,9.0,2,4,RUS,3.0,ARANCINI Z,6 - 4,20,AUS,0:20,Saved,0
6,Action shot,3.0,2,4,RUS,4.0,PROKOFYEVA E,6 - 4,462,RUS,7:42,Blocked,0
6,Extra player shot,4.0,2,5,RUS,4.0,KARIMOVA E,6 - 5,423,RUS,7:03,Goal,1
