Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
ALOGBO K,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0
ALOGBO K,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ALOGBO K,3,0,1,0,0,0,0,0,1,0,0,0,0,1,1
ALOGBO K,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ALOGBO K,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0
BEKHAZI J,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0
BEKHAZI J,2,1,2,0,0,0,0,0,0,0,0,0,0,3,0
BEKHAZI J,3,0,1,0,0,0,0,0,1,0,0,0,0,1,1
BEKHAZI J,4,0,2,0,1,2,0,0,1,0,1,2,0,5,4
BEKHAZI J,5,2,0,0,0,0,0,0,0,0,0,0,0,2,0
BEKHAZI J,6,2,2,0,0,0,0,0,0,0,0,0,0,4,0
BEKHAZI J,7,0,1,0,0,0,0,0,1,0,0,0,0,1,1
CHRISTMAS K,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0
CHRISTMAS K,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0
CHRISTMAS K,3,2,1,0,1,1,0,2,1,0,1,1,0,5,5
CHRISTMAS K,4,0,1,0,0,1,1,0,1,0,0,0,1,3,2
CHRISTMAS K,5,0,1,0,0,1,0,0,0,0,0,0,0,2,0
CHRISTMAS K,6,1,5,0,0,1,1,0,2,0,0,1,0,8,3
CHRISTMAS K,7,0,1,0,0,1,0,0,0,0,0,0,0,2,0
CREVIER A,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
CREVIER A,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0
CREVIER A,3,3,2,0,0,0,0,0,0,0,0,0,0,5,0
CREVIER A,4,1,0,0,0,1,0,1,0,0,0,0,0,2,1
CREVIER A,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
EGGENS M,1,0,9,1,0,0,0,0,2,0,0,0,0,10,2
EGGENS M,2,3,4,0,0,1,0,1,0,0,0,1,0,8,2
EGGENS M,3,0,1,0,1,0,0,0,0,0,1,0,0,2,1
EGGENS M,4,1,1,1,0,0,0,0,1,1,0,0,0,3,2
EGGENS M,5,1,3,0,1,3,0,1,1,0,1,2,0,8,5
EGGENS M,6,1,3,0,0,1,0,0,2,0,0,0,0,5,2
EGGENS M,7,2,2,0,0,3,2,0,0,0,0,2,2,9,4
FOURNIER S,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0
FOURNIER S,2,2,2,0,0,0,0,1,1,0,0,0,0,4,2
FOURNIER S,3,2,1,0,1,1,0,2,1,0,0,0,0,5,3
FOURNIER S,5,0,3,0,0,1,0,0,0,0,0,0,0,4,0
FOURNIER S,6,2,3,0,0,1,0,0,2,0,0,1,0,6,3
FOURNIER S,7,1,0,0,0,2,0,0,0,0,0,0,0,3,0
LEMAY-LAVOIE E,3,0,2,0,1,0,0,0,1,0,1,0,0,3,2
LEMAY-LAVOIE E,4,0,0,3,0,0,0,0,0,2,0,0,0,3,2
McKEE K,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
McKEE K,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
McKEE K,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
McKEE K,6,1,0,0,0,1,0,0,0,0,0,1,0,2,1
McKEE K,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0
McKELVEY H,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
McKELVEY H,2,0,4,0,0,0,0,0,2,0,0,0,0,4,2
McKELVEY H,3,3,2,0,0,1,0,1,1,0,0,0,0,6,2
McKELVEY H,4,2,1,0,0,0,0,1,0,0,0,0,0,3,1
McKELVEY H,5,0,2,0,0,0,0,0,0,0,0,0,0,2,0
McKELVEY H,7,0,0,0,0,2,0,0,0,0,0,1,0,2,1
ROBINSON C,1,0,3,1,0,0,0,0,0,0,0,0,0,4,0
ROBINSON C,2,0,0,1,0,1,0,0,0,1,0,0,0,2,1
ROBINSON C,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ROBINSON C,4,0,1,1,0,0,0,0,1,0,0,0,0,2,1
ROBINSON C,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ROBINSON C,6,1,1,0,0,0,0,0,0,0,0,0,0,2,0
ROBINSON C,7,0,0,2,0,0,0,0,0,0,0,0,0,2,0
WRIGHT E,1,0,1,0,0,1,1,0,0,0,0,0,1,3,1
WRIGHT E,2,0,3,1,0,2,1,0,0,0,0,1,1,7,2
WRIGHT E,3,1,2,0,0,0,2,0,0,0,0,0,1,5,1
WRIGHT E,4,2,1,1,0,1,0,1,1,1,0,0,0,5,3
WRIGHT E,5,0,0,0,0,1,0,0,0,0,0,1,0,1,1
WRIGHT E,6,0,2,0,0,0,0,0,1,0,0,0,0,2,1
WRIGHT E,7,0,2,1,0,2,1,0,1,0,0,1,1,6,3
