Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,0,1.0,1,0,BRA,1.0,CHAMORRO V,0 - 0,480,BRA,8:00
Starting goalkeeper,0,1.0,1,0,BRA,1.0,PENG L,0 - 0,480,CHN,8:00
Sprint won possession,0,3.0,1,0,BRA,1.0,ZABLITH M,0 - 0,480,BRA,8:00
5m shot - Post,0,11.0,1,0,BRA,1.0,DUARTE M,0 - 0,454,BRA,7:34
20 sec. exclusion in centre,0,1.0,1,0,BRA,1.0,PENG L,0 - 0,448,CHN,7:28
Extra player shot - Goal,0,3.0,1,1,BRA,1.0,ZABLITH M,1 - 0,442,BRA,7:22
Action shot - Post,0,5.0,1,1,BRA,1.0,NIU G,1 - 0,411,CHN,6:51
Action shot - Saved,0,5.0,1,1,BRA,1.0,NIU G,1 - 0,393,CHN,6:33
Action shot - Goal,0,2.0,1,2,BRA,1.0,ABLA D,2 - 0,364,BRA,6:04
Action shot - Post,0,5.0,1,2,BRA,1.0,NIU G,2 - 0,337,CHN,5:37
Action shot - Post,0,2.0,1,2,BRA,1.0,ABLA D,2 - 0,323,BRA,5:23
Centre shot - Goal,1,8.0,1,2,BRA,1.0,ZHANG C,2 - 1,307,CHN,5:07
Turnover foul,1,11.0,1,2,BRA,1.0,DUARTE M,2 - 1,290,BRA,4:50
20 sec. exclusion in field,1,9.0,1,2,BRA,1.0,DIAS M,2 - 1,279,BRA,4:39
Extra player shot - Goal,2,8.0,1,2,BRA,1.0,ZHANG C,2 - 2,255,CHN,4:15
20 sec. exclusion in field,2,9.0,1,2,BRA,1.0,ZHAO Z,2 - 2,236,CHN,3:56
Extra player shot - Saved,2,11.0,1,2,BRA,1.0,DUARTE M,2 - 2,220,BRA,3:40
Action shot - Goal,3,11.0,1,2,BRA,1.0,CHEN X,2 - 3,203,CHN,3:23
Turnover foul,3,2.0,1,2,BRA,1.0,ABLA D,2 - 3,177,BRA,2:57
Counter attack - Saved,3,11.0,1,2,BRA,1.0,CHEN X,2 - 3,167,CHN,2:47
Action shot - Saved,3,3.0,1,2,BRA,1.0,ZABLITH M,2 - 3,151,BRA,2:31
Centre shot - Post,3,4.0,1,2,BRA,1.0,SOUZA J,2 - 3,144,BRA,2:24
20 sec. exclusion in field,3,6.0,1,2,BRA,1.0,GUO N,2 - 3,127,CHN,2:07
Extra player shot - Saved,3,3.0,1,2,BRA,1.0,ZABLITH M,2 - 3,105,BRA,1:45
Counter attack - Goal,4,11.0,1,2,BRA,1.0,CHEN X,2 - 4,87,CHN,1:27
Action shot - Saved,4,2.0,1,2,BRA,1.0,ABLA D,2 - 4,58,BRA,0:58
Steal,4,7.0,1,2,BRA,1.0,FERREIRA S,2 - 4,42,BRA,0:42
Turnover foul,4,7.0,1,2,BRA,1.0,NONG S,2 - 4,42,CHN,0:42
Time-Out,4,,1,2,BRA,1.0,,2 - 4,30,CHN,0:30
20 sec. exclusion in field,4,12.0,1,2,BRA,1.0,BELORIO L,2 - 4,16,BRA,0:16
Extra player shot - Post,4,5.0,1,2,BRA,1.0,NIU G,2 - 4,1,CHN,0:01
Starting goalkeeper,4,1.0,1,2,BRA,2.0,CHAMORRO V,2 - 4,480,BRA,8:00
Starting goalkeeper,4,1.0,1,2,BRA,2.0,PENG L,2 - 4,480,CHN,8:00
Sprint won possession,4,6.0,1,2,BRA,2.0,GUO N,2 - 4,480,CHN,8:00
Turnover foul,4,3.0,1,2,BRA,2.0,ZABLITH M,2 - 4,453,BRA,7:33
20 sec. exclusion in centre,4,2.0,1,2,BRA,2.0,ABLA D,2 - 4,444,BRA,7:24
5m shot - Saved,4,3.0,1,2,BRA,2.0,ZABLITH M,2 - 4,409,BRA,6:49
Action shot - Saved,4,8.0,1,2,BRA,2.0,ZHANG C,2 - 4,378,CHN,6:18
5m shot - Saved,4,9.0,1,2,BRA,2.0,DIAS M,2 - 4,347,BRA,5:47
Centre shot - Saved,4,4.0,1,2,BRA,2.0,XIONG D,2 - 4,328,CHN,5:28
Turnover foul,4,5.0,1,2,BRA,2.0,AMARAL A,2 - 4,312,BRA,5:12
Steal,4,6.0,1,2,BRA,2.0,GUO N,2 - 4,312,CHN,5:12
Counter attack - Goal,5,9.0,1,2,BRA,2.0,ZHAO Z,2 - 5,302,CHN,5:02
Action shot - Saved,5,11.0,1,2,BRA,2.0,DUARTE M,2 - 5,279,BRA,4:39
Turnover foul,5,9.0,1,2,BRA,2.0,ZHAO Z,2 - 5,250,CHN,4:10
5m shot - Blocked,5,11.0,1,2,BRA,2.0,DUARTE M,2 - 5,227,BRA,3:47
5m shot - Missed,5,8.0,1,2,BRA,2.0,ZHANG C,2 - 5,204,CHN,3:24
Action shot - Missed,5,3.0,1,2,BRA,2.0,ZABLITH M,2 - 5,188,BRA,3:08
20 sec. exclusion in field,5,6.0,1,2,BRA,2.0,LEAO K,2 - 5,187,BRA,3:07
Time-Out,5,,1,2,BRA,2.0,,2 - 5,187,CHN,3:07
Action shot - Goal,6,10.0,1,2,BRA,2.0,ZHANG D,2 - 6,165,CHN,2:45
20 sec. exclusion in centre,6,11.0,1,2,BRA,2.0,CHEN X,2 - 6,145,CHN,2:25
Time-Out,6,,1,2,BRA,2.0,,2 - 6,144,BRA,2:24
Extra player shot - Saved,6,2.0,1,2,BRA,2.0,ABLA D,2 - 6,125,BRA,2:05
Turnover foul,6,2.0,1,2,BRA,2.0,BI Y,2 - 6,93,CHN,1:33
Steal,6,1.0,1,2,BRA,2.0,CHAMORRO V,2 - 6,93,BRA,1:33
Centre shot - Missed,6,2.0,1,2,BRA,2.0,ABLA D,2 - 6,72,BRA,1:12
Turnover foul,6,7.0,1,2,BRA,2.0,NONG S,2 - 6,53,CHN,0:53
20 sec. exclusion in field,6,8.0,1,2,BRA,2.0,ZHANG C,2 - 6,41,CHN,0:41
Extra player shot - Missed,6,9.0,1,2,BRA,2.0,DIAS M,2 - 6,29,BRA,0:29
Action shot - Post,6,9.0,1,2,BRA,2.0,ZHAO Z,2 - 6,12,CHN,0:12
20 sec. exclusion in field,6,11.0,1,2,BRA,4.0,DUARTE M,2 - 6,13,BRA,0:13
5m shot - Missed,6,1.0,1,2,BRA,2.0,CHAMORRO V,2 - 6,1,BRA,0:01
Starting goalkeeper,6,1.0,1,2,BRA,3.0,CHAMORRO V,2 - 6,480,BRA,8:00
Starting goalkeeper,6,13.0,1,2,BRA,3.0,SHEN Y,2 - 6,480,CHN,8:00
Sprint won possession,6,10.0,1,2,BRA,3.0,BAHIA V,2 - 6,480,BRA,8:00
Action shot - Saved,6,3.0,1,2,BRA,3.0,ZABLITH M,2 - 6,455,BRA,7:35
20 sec. exclusion in field,6,7.0,1,2,BRA,3.0,FERREIRA S,2 - 6,432,BRA,7:12
5m shot - Missed,6,2.0,1,2,BRA,3.0,ABLA D,2 - 6,406,BRA,6:46
Action shot - Saved,6,5.0,1,2,BRA,3.0,NIU G,2 - 6,377,CHN,6:17
Action shot - Saved,6,10.0,1,2,BRA,3.0,BAHIA V,2 - 6,348,BRA,5:48
Turnover foul,6,9.0,1,2,BRA,3.0,ZHAO Z,2 - 6,318,CHN,5:18
Steal,6,1.0,1,2,BRA,3.0,CHAMORRO V,2 - 6,318,BRA,5:18
Turnover foul,6,10.0,1,2,BRA,3.0,BAHIA V,2 - 6,292,BRA,4:52
Steal,6,6.0,1,2,BRA,3.0,GUO N,2 - 6,292,CHN,4:52
20 sec. exclusion in field,6,10.0,1,2,BRA,3.0,BAHIA V,2 - 6,266,BRA,4:26
Action shot - Missed,6,4.0,1,2,BRA,3.0,XIONG D,2 - 6,245,CHN,4:05
5m shot - Missed,6,7.0,1,2,BRA,3.0,FERREIRA S,2 - 6,215,BRA,3:35
Turnover foul,6,4.0,1,2,BRA,3.0,XIONG D,2 - 6,185,CHN,3:05
Steal,6,11.0,1,2,BRA,3.0,DUARTE M,2 - 6,185,BRA,3:05
Counter attack - Goal,6,9.0,1,3,BRA,3.0,DIAS M,3 - 6,180,BRA,3:00
Turnover foul,6,11.0,1,3,BRA,3.0,CHEN X,3 - 6,172,CHN,2:52
Steal,6,3.0,1,3,BRA,3.0,ZABLITH M,3 - 6,172,BRA,2:52
Action shot - Saved,6,11.0,1,3,BRA,3.0,DUARTE M,3 - 6,159,BRA,2:39
Turnover foul,6,10.0,1,3,BRA,3.0,ZHANG D,3 - 6,137,CHN,2:17
Steal,6,1.0,1,3,BRA,3.0,CHAMORRO V,3 - 6,137,BRA,2:17
Time-Out,6,,1,3,BRA,3.0,,3 - 6,107,CHN,1:47
20 sec. exclusion in centre,6,10.0,1,3,BRA,3.0,BAHIA V,3 - 6,82,BRA,1:22
Action shot - Goal,7,12.0,1,3,BRA,3.0,ZHANG J,3 - 7,57,CHN,0:57
Turnover foul,7,3.0,1,3,BRA,3.0,ZABLITH M,3 - 7,38,BRA,0:38
Turnover foul,7,9.0,1,3,BRA,3.0,ZHAO Z,3 - 7,14,CHN,0:14
Steal,7,1.0,1,3,BRA,3.0,CHAMORRO V,3 - 7,14,BRA,0:14
5m shot - Goal,7,11.0,1,4,BRA,3.0,DUARTE M,4 - 7,1,BRA,0:01
Starting goalkeeper,7,1.0,1,4,BRA,4.0,CHAMORRO V,4 - 7,480,BRA,8:00
Starting goalkeeper,7,13.0,1,4,BRA,4.0,SHEN Y,4 - 7,480,CHN,8:00
Sprint won possession,7,12.0,1,4,BRA,4.0,BELORIO L,4 - 7,480,BRA,8:00
20 sec. exclusion in centre,7,3.0,1,4,BRA,4.0,ZABLITH M,4 - 7,436,BRA,7:16
Extra player shot - Goal,8,8.0,1,4,BRA,4.0,ZHANG C,4 - 8,434,CHN,7:14
5m shot - Saved,8,11.0,1,4,BRA,4.0,DUARTE M,4 - 8,416,BRA,6:56
Turnover foul,8,2.0,1,4,BRA,4.0,ABLA D,4 - 8,397,BRA,6:37
