Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
BACH PASCUAL M,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
BACH PASCUAL M,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BACH PASCUAL M,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
CRESPI BARRIGA P,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
CRESPI BARRIGA P,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
CRESPI BARRIGA P,3,1,1,0,0,0,0,0,1,0,0,0,0,2,1
ESPAR LLAQUET A,1,1,1,0,0,1,1,0,1,0,0,0,1,4,2
ESPAR LLAQUET A,2,3,3,0,0,0,1,1,1,0,0,0,1,7,3
ESPAR LLAQUET A,3,1,0,0,0,1,0,0,0,0,0,1,0,2,1
ESPAR LLAQUET C,1,1,2,0,0,0,0,0,0,0,0,0,0,3,0
ESPAR LLAQUET C,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ESPAR LLAQUET C,3,1,0,0,0,1,0,0,0,0,0,1,0,2,1
FORCA ARIZA J,1,1,3,0,0,0,0,0,1,0,0,0,0,4,1
FORCA ARIZA J,2,0,2,0,0,0,0,0,1,0,0,0,0,2,1
FORCA ARIZA J,3,2,2,0,2,0,0,2,2,0,1,0,0,6,5
GUAL ROVIROSA A,1,0,2,0,0,1,0,0,0,0,0,1,0,3,1
GUAL ROVIROSA A,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
GUAL ROVIROSA A,3,2,0,0,0,0,0,1,0,0,0,0,0,2,1
LEITON ARRONES P,1,0,1,1,0,0,0,0,1,1,0,0,0,2,2
LEITON ARRONES P,2,0,0,1,0,1,0,0,0,0,0,1,0,2,1
LEITON ARRONES P,3,0,3,0,0,2,0,0,2,0,0,2,0,5,4
LLORET GOMEZ H,1,0,0,0,0,2,0,0,0,0,0,2,0,2,2
LLORET GOMEZ H,2,0,3,0,0,1,0,0,2,0,0,0,0,4,2
LLORET GOMEZ H,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0
ORTIZ MUNOZ B,1,2,3,0,0,0,0,0,0,0,0,0,0,5,0
ORTIZ MUNOZ B,2,3,1,0,0,1,0,0,0,0,0,1,0,5,1
ORTIZ MUNOZ B,3,2,1,0,0,0,1,1,1,0,0,0,0,4,2
ORTIZ REYES M,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
PENA CARRASCO M,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
PENA CARRASCO M,3,1,0,0,0,1,0,1,0,0,0,1,0,2,2
