Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Extra player shot made,Penalty shot made,Total attempted,Total made
BACHELIER L,1,1,0,1,0,0,0,0,0,0,0,2,0
BACHELIER L,2,1,0,1,0,0,0,0,1,0,0,2,1
BACHELIER L,4,2,1,0,1,0,0,0,0,0,0,4,0
BACHELIER L,5,0,1,0,0,0,0,0,0,0,0,1,0
BACHELIER L,6,2,0,1,0,0,1,0,0,0,0,3,1
BARBIEUX M,3,0,0,0,1,0,0,0,0,1,0,1,1
BARBIEUX M,5,1,0,0,0,0,0,0,0,0,0,1,0
BATTU A,1,1,0,0,0,0,0,0,0,0,0,1,0
BATTU A,4,1,0,0,0,0,1,0,0,0,0,1,1
BATTU A,6,0,0,0,1,0,0,0,0,0,0,1,0
DAULE A,1,2,1,0,0,0,0,0,0,0,0,3,0
DAULE A,2,1,1,1,1,0,0,0,0,0,0,4,0
DAULE A,3,0,0,0,1,0,0,0,0,1,0,1,1
DAULE A,5,0,1,1,0,0,0,0,1,0,0,2,1
DAULE A,6,0,2,0,3,0,0,0,0,2,0,5,2
DESCHAMPT Y,4,1,0,0,0,0,0,0,0,0,0,1,0
DESCHAMPT Y,5,1,0,0,0,0,0,0,0,0,0,1,0
GUILLET L,1,0,1,0,0,0,0,0,0,0,0,1,0
GUILLET L,2,1,0,0,1,1,0,0,0,0,0,3,0
GUILLET L,3,1,1,0,1,0,0,0,0,1,0,3,1
GUILLET L,4,2,1,0,1,0,0,0,0,0,0,4,0
GUILLET L,5,4,3,0,0,0,0,1,0,0,0,7,1
GUILLET L,6,0,1,1,1,0,0,1,0,1,0,3,2
MAHIEU G,1,0,0,1,0,0,0,0,1,0,0,1,1
MAHIEU G,2,0,1,0,1,0,0,0,0,0,0,2,0
MAHIEU G,3,0,0,4,0,0,0,0,2,0,0,4,2
MAHIEU G,4,0,0,0,1,0,0,0,0,0,0,1,0
MAHIEU G,5,0,1,0,0,0,0,0,0,0,0,1,0
MILLOT E,1,3,3,0,0,0,0,1,0,0,0,6,1
MILLOT E,2,1,1,0,2,1,0,0,0,1,1,5,2
MILLOT E,3,3,1,0,1,1,1,1,0,1,1,6,4
MILLOT E,4,2,1,0,1,0,0,0,0,1,0,4,1
MILLOT E,5,0,1,0,0,1,0,0,0,0,1,2,1
MILLOT E,6,0,0,0,2,0,0,0,0,1,0,2,1
SACRE A,1,3,1,0,0,0,0,0,0,0,0,4,0
SACRE A,2,0,1,0,2,0,0,0,0,2,0,3,2
SACRE A,3,1,0,0,0,0,0,0,0,0,0,1,0
SACRE A,4,1,0,0,2,0,0,0,0,0,0,3,0
SACRE A,5,3,1,1,0,0,1,0,1,0,0,5,2
SACRE A,6,1,1,0,0,0,1,0,0,0,0,2,1
VALVERDE C,1,2,0,0,1,0,0,0,0,0,0,3,0
VALVERDE C,2,2,0,0,1,0,0,0,0,0,0,3,0
VALVERDE C,3,1,2,0,0,0,0,0,0,0,0,3,0
VALVERDE C,4,3,1,0,0,0,0,0,0,0,0,4,0
VALVERDE C,5,2,0,0,0,0,0,0,0,0,0,2,0
VALVERDE C,6,1,1,0,2,0,0,0,0,2,0,4,2
