Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,2.0,0,1,1,NED,1.0,SMIT Y,1 - 0,453,NED,7:33,Goal,1
Extra player shot,9.0,0,1,2,NED,1.0,MEGENS M,2 - 0,369,NED,6:09,Goal,1
Action shot,2.0,0,1,2,NED,1.0,SMIT Y,2 - 0,330,NED,5:30,Missed,0
Action shot,4.0,0,1,2,NED,1.0,van der SLOOT S,2 - 0,311,NED,5:11,Saved,0
Action shot,5.0,0,1,2,NED,1.0,GUILLET L,2 - 0,283,FRA,4:43,Blocked,0
Action shot,3.0,0,1,2,NED,1.0,GENEE D,2 - 0,257,NED,4:17,Blocked,0
Penalty shot,4.0,0,1,3,NED,1.0,van der SLOOT S,3 - 0,256,NED,4:16,Goal,1
Action shot,9.0,0,1,4,NED,1.0,MEGENS M,4 - 0,202,NED,3:22,Goal,1
Action shot,9.0,0,1,4,NED,1.0,SACRE A,4 - 0,177,FRA,2:57,Missed,0
Action shot,9.0,0,1,4,NED,1.0,MEGENS M,4 - 0,166,NED,2:46,Saved,0
Action shot,4.0,0,1,4,NED,1.0,van der SLOOT S,4 - 0,125,NED,2:05,Saved,0
5m shot,11.0,0,1,5,NED,1.0,KLAASSEN L,5 - 0,110,NED,1:50,Goal,1
Centre shot,3.0,0,1,5,NED,1.0,BACHELIER L,5 - 0,82,FRA,1:22,Saved,0
5m shot,11.0,0,1,6,NED,1.0,KLAASSEN L,6 - 0,65,NED,1:05,Goal,1
Centre shot,12.0,0,1,7,NED,1.0,JOUSTRA K,7 - 0,41,NED,0:41,Goal,1
Action shot,5.0,0,1,7,NED,1.0,GENEE A,7 - 0,4,NED,0:04,Saved,0
5m shot,9.0,0,1,7,NED,1.0,MEGENS M,7 - 0,1,NED,0:01,Missed,0
5m shot,11.0,0,1,8,NED,2.0,KLAASSEN L,8 - 0,460,NED,7:40,Goal,1
5m shot,8.0,0,1,8,NED,2.0,BATTU A,8 - 0,436,FRA,7:16,Missed,0
5m shot,10.0,0,1,8,NED,2.0,KOOLHAAS I,8 - 0,406,NED,6:46,Blocked,0
Action shot,2.0,0,1,8,NED,2.0,MILLOT E,8 - 0,380,FRA,6:20,Saved,0
Action shot,4.0,0,1,9,NED,2.0,van der SLOOT S,9 - 0,366,NED,6:06,Goal,1
5m shot,9.0,0,1,9,NED,2.0,SACRE A,9 - 0,337,FRA,5:37,Saved,0
Action shot,3.0,0,1,10,NED,2.0,GENEE D,10 - 0,313,NED,5:13,Goal,1
5m shot,2.0,0,1,10,NED,2.0,MILLOT E,10 - 0,210,FRA,3:30,Saved,0
5m shot,3.0,0,1,11,NED,2.0,GENEE D,11 - 0,184,NED,3:04,Goal,1
5m shot,2.0,0,1,11,NED,2.0,SMIT Y,11 - 0,131,NED,2:11,Saved,0
Action shot,2.0,0,1,11,NED,2.0,MILLOT E,11 - 0,73,FRA,1:13,Saved,0
Centre shot,3.0,0,1,12,NED,2.0,GENEE D,12 - 0,62,NED,1:02,Goal,1
5m shot,2.0,0,1,12,NED,2.0,MILLOT E,12 - 0,34,FRA,0:34,Post,0
Action shot,7.0,0,1,12,NED,4.0,NIJHUIS M,12 - 0,142,NED,2:22,Saved,0
Extra player shot,3.0,0,1,12,NED,2.0,GENEE D,12 - 0,1,NED,0:01,Saved,0
Action shot,11.0,0,1,13,NED,3.0,KLAASSEN L,13 - 0,406,NED,6:46,Goal,1
Action shot,2.0,1,1,13,NED,3.0,MILLOT E,13 - 1,334,FRA,5:34,Goal,1
Action shot,5.0,1,1,14,NED,3.0,GENEE A,14 - 1,317,NED,5:17,Goal,1
Extra player shot,7.0,1,1,14,NED,3.0,VALVERDE C,14 - 1,283,FRA,4:43,Saved,0
5m shot,3.0,1,1,14,NED,3.0,BACHELIER L,14 - 1,262,FRA,4:22,Missed,0
5m shot,9.0,1,1,14,NED,3.0,MEGENS M,14 - 1,228,NED,3:48,Saved,0
5m shot,7.0,1,1,14,NED,3.0,VALVERDE C,14 - 1,148,FRA,2:28,Saved,0
