Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,13.0,0,1,0,RUS,1.0,KARNAUKH A,0 - 0,480,RUS,8:00
Starting goalkeeper,13.0,0,1,0,RUS,1.0,DIAMANTOPOULOU C,0 - 0,480,GRE,8:00
Sprint won possession,3.0,0,1,0,RUS,1.0,PROKOFYEVA E,0 - 0,480,RUS,8:00
Turnover foul,3.0,0,1,0,RUS,1.0,PROKOFYEVA E,0 - 0,453,RUS,7:33
Steal,13.0,0,1,0,RUS,1.0,DIAMANTOPOULOU C,0 - 0,453,GRE,7:33
Centre shot - Saved,7.0,0,1,0,RUS,1.0,ASIMAKI A,0 - 0,432,GRE,7:12
Action shot - Goal,3.0,1,1,0,RUS,1.0,DIAMANTOPOULOU V,0 - 1,410,GRE,6:50
5m shot - Saved,11.0,1,1,0,RUS,1.0,IVANOVA E,0 - 1,382,RUS,6:22
Turnover foul,7.0,1,1,0,RUS,1.0,ASIMAKI A,0 - 1,353,GRE,5:53
Steal,12.0,1,1,0,RUS,1.0,RYZHKOVA D,0 - 1,353,RUS,5:53
Action shot - Saved,4.0,1,1,0,RUS,1.0,KARIMOVA E,0 - 1,326,RUS,5:26
5m shot - Blocked,3.0,1,1,0,RUS,1.0,PROKOFYEVA E,0 - 1,318,RUS,5:18
20 sec. exclusion in centre,11.0,1,1,0,RUS,1.0,IVANOVA E,0 - 1,305,RUS,5:05
Action shot - Saved,10.0,1,1,0,RUS,1.0,MANOLIOUDAKI T,0 - 1,284,GRE,4:44
Action shot - Goal,4.0,1,1,1,RUS,1.0,KARIMOVA E,1 - 1,263,RUS,4:23
Turnover foul,12.0,1,1,1,RUS,1.0,XENAKI E,1 - 1,231,GRE,3:51
Steal,13.0,1,1,1,RUS,1.0,KARNAUKH A,1 - 1,231,RUS,3:51
Turnover foul,3.0,1,1,1,RUS,1.0,PROKOFYEVA E,1 - 1,206,RUS,3:26
Steal,12.0,1,1,1,RUS,1.0,XENAKI E,1 - 1,206,GRE,3:26
20 sec. exclusion in centre,5.0,1,1,1,RUS,1.0,BORISOVA M,1 - 1,193,RUS,3:13
Extra player shot - Saved,11.0,1,1,1,RUS,1.0,PLEVRITOU E,1 - 1,173,GRE,2:53
20 sec. exclusion in centre,10.0,1,1,1,RUS,1.0,MANOLIOUDAKI T,1 - 1,159,GRE,2:39
Time-Out,,1,1,1,RUS,1.0,,1 - 1,159,RUS,2:39
Action shot - Post,2.0,1,1,1,RUS,1.0,TSOUKALA C,1 - 1,105,GRE,1:45
20 sec. exclusion in centre,3.0,1,1,1,RUS,1.0,DIAMANTOPOULOU V,1 - 1,93,GRE,1:33
Extra player shot - Goal,11.0,1,1,2,RUS,1.0,IVANOVA E,2 - 1,80,RUS,1:20
Centre shot - Missed,7.0,1,1,2,RUS,1.0,ASIMAKI A,2 - 1,56,GRE,0:56
Centre shot - Missed,9.0,1,1,2,RUS,1.0,TIMOFEEVA A,2 - 1,32,RUS,0:32
Penalty foul,9.0,1,1,2,RUS,1.0,TIMOFEEVA A,2 - 1,14,RUS,0:14
Penalty shot - Saved,2.0,1,1,2,RUS,1.0,TSOUKALA C,2 - 1,14,GRE,0:14
Action shot - Saved,4.0,1,1,2,RUS,1.0,ELEFTHERIADOU N,2 - 1,4,GRE,0:04
Starting goalkeeper,13.0,1,1,2,RUS,2.0,KARNAUKH A,2 - 1,480,RUS,8:00
Starting goalkeeper,13.0,1,1,2,RUS,2.0,DIAMANTOPOULOU C,2 - 1,480,GRE,8:00
Sprint won possession,6.0,1,1,2,RUS,2.0,AVRAMIDOU A,2 - 1,480,GRE,8:00
Turnover foul,7.0,1,1,2,RUS,2.0,ASIMAKI A,2 - 1,451,GRE,7:31
Steal,3.0,1,1,2,RUS,2.0,PROKOFYEVA E,2 - 1,451,RUS,7:31
20 sec. exclusion in centre,11.0,1,1,2,RUS,2.0,PLEVRITOU E,2 - 1,429,GRE,7:09
Extra player shot - Goal,8.0,1,1,3,RUS,2.0,SIMANOVICH A,3 - 1,427,RUS,7:07
Centre shot - Saved,7.0,1,1,3,RUS,2.0,ASIMAKI A,3 - 1,407,GRE,6:47
Turnover foul,9.0,1,1,3,RUS,2.0,TIMOFEEVA A,3 - 1,390,RUS,6:30
20 sec. exclusion in field,2.0,1,1,3,RUS,2.0,VAKHITOVA V,3 - 1,389,RUS,6:29
Time-Out,,1,1,3,RUS,2.0,,3 - 1,385,GRE,6:25
Action shot - Post,6.0,1,1,3,RUS,2.0,AVRAMIDOU A,3 - 1,359,GRE,5:59
5m shot - Saved,9.0,1,1,3,RUS,2.0,TIMOFEEVA A,3 - 1,328,RUS,5:28
Action shot - Goal,5.0,1,1,4,RUS,2.0,BORISOVA M,4 - 1,303,RUS,5:03
Action shot - Goal,11.0,2,1,4,RUS,2.0,PLEVRITOU E,4 - 2,278,GRE,4:38
Centre shot - Saved,8.0,2,1,4,RUS,2.0,SIMANOVICH A,4 - 2,256,RUS,4:16
20 sec. exclusion in field,6.0,2,1,4,RUS,2.0,GORBUNOVA O,4 - 2,244,RUS,4:04
Extra player shot - Goal,12.0,3,1,4,RUS,2.0,XENAKI E,4 - 3,226,GRE,3:46
5m shot - Saved,11.0,3,1,4,RUS,2.0,IVANOVA E,4 - 3,197,RUS,3:17
Turnover foul,8.0,3,1,4,RUS,2.0,SIMANOVICH A,4 - 3,180,RUS,3:00
Steal,12.0,3,1,4,RUS,2.0,XENAKI E,4 - 3,180,GRE,3:00
Action shot - Saved,4.0,3,1,4,RUS,2.0,ELEFTHERIADOU N,4 - 3,165,GRE,2:45
20 sec. exclusion in centre,3.0,3,1,4,RUS,2.0,DIAMANTOPOULOU V,4 - 3,153,GRE,2:33
Time-Out,,3,1,4,RUS,2.0,,4 - 3,153,RUS,2:33
Turnover foul,9.0,3,1,4,RUS,2.0,TIMOFEEVA A,4 - 3,134,RUS,2:14
20 sec. exclusion in centre,5.0,3,1,4,RUS,2.0,BORISOVA M,4 - 3,127,RUS,2:07
Action shot - Saved,10.0,3,1,4,RUS,2.0,MANOLIOUDAKI T,4 - 3,101,GRE,1:41
Turnover foul,12.0,3,1,4,RUS,2.0,XENAKI E,4 - 3,77,GRE,1:17
Counter attack - Goal,4.0,3,1,5,RUS,2.0,KARIMOVA E,5 - 3,68,RUS,1:08
20 sec. exclusion in centre,10.0,3,1,5,RUS,2.0,TOLKUNOVA T,5 - 3,59,RUS,0:59
Centre shot - Saved,12.0,3,1,5,RUS,4.0,XENAKI E,5 - 3,72,GRE,1:12
5m shot - Saved,6.0,3,1,5,RUS,4.0,GORBUNOVA O,5 - 3,43,RUS,0:43
Extra player shot - Goal,12.0,4,1,5,RUS,2.0,XENAKI E,5 - 4,59,GRE,0:59
Centre shot - Goal,9.0,4,1,6,RUS,2.0,TIMOFEEVA A,6 - 4,34,RUS,0:34
Action shot - Blocked,9.0,4,1,6,RUS,2.0,KOTSIA C,6 - 4,6,GRE,0:06
Starting goalkeeper,13.0,4,1,6,RUS,3.0,KARNAUKH A,6 - 4,480,RUS,8:00
Starting goalkeeper,13.0,4,1,6,RUS,3.0,DIAMANTOPOULOU C,6 - 4,480,GRE,8:00
Sprint won possession,11.0,4,1,6,RUS,3.0,PLEVRITOU E,6 - 4,480,GRE,8:00
Turnover foul,7.0,4,1,6,RUS,3.0,ASIMAKI A,6 - 4,451,GRE,7:31
Steal,3.0,4,1,6,RUS,3.0,PROKOFYEVA E,6 - 4,451,RUS,7:31
Centre shot - Goal,8.0,4,1,7,RUS,3.0,SIMANOVICH A,7 - 4,429,RUS,7:09
Action shot - Post,6.0,4,1,7,RUS,3.0,AVRAMIDOU A,7 - 4,400,GRE,6:40
Turnover foul,8.0,4,1,7,RUS,3.0,SIMANOVICH A,7 - 4,372,RUS,6:12
Steal,2.0,4,1,7,RUS,3.0,TSOUKALA C,7 - 4,372,GRE,6:12
5m shot - Goal,3.0,5,1,7,RUS,3.0,DIAMANTOPOULOU V,7 - 5,352,GRE,5:52
Centre shot - Saved,9.0,5,1,7,RUS,3.0,TIMOFEEVA A,7 - 5,324,RUS,5:24
5m shot - Saved,3.0,5,1,7,RUS,3.0,DIAMANTOPOULOU V,7 - 5,303,GRE,5:03
Turnover foul,3.0,5,1,7,RUS,3.0,PROKOFYEVA E,7 - 5,301,RUS,5:01
Action shot - Post,11.0,5,1,7,RUS,3.0,PLEVRITOU E,7 - 5,276,GRE,4:36
20 sec. exclusion in centre,4.0,5,1,7,RUS,3.0,ELEFTHERIADOU N,7 - 5,257,GRE,4:17
Time-Out,,5,1,7,RUS,3.0,,7 - 5,257,RUS,4:17
Extra player shot - Post,11.0,5,1,7,RUS,3.0,IVANOVA E,7 - 5,239,RUS,3:59
Extra player shot - Goal,4.0,5,1,8,RUS,3.0,KARIMOVA E,8 - 5,239,RUS,3:59
Centre shot - Missed,7.0,5,1,8,RUS,3.0,ASIMAKI A,8 - 5,220,GRE,3:40
Centre shot - Saved,4.0,5,1,8,RUS,3.0,KARIMOVA E,8 - 5,198,RUS,3:18
Action shot - Saved,4.0,5,1,8,RUS,3.0,ELEFTHERIADOU N,8 - 5,172,GRE,2:52
Action shot - Saved,6.0,5,1,8,RUS,3.0,GORBUNOVA O,8 - 5,144,RUS,2:24
Centre shot - Goal,7.0,6,1,8,RUS,3.0,ASIMAKI A,8 - 6,125,GRE,2:05
Action shot - Blocked,8.0,6,1,8,RUS,3.0,SIMANOVICH A,8 - 6,108,RUS,1:48
Turnover foul,12.0,6,1,8,RUS,3.0,XENAKI E,8 - 6,89,GRE,1:29
Steal,5.0,6,1,8,RUS,3.0,BORISOVA M,8 - 6,89,RUS,1:29
Turnover foul,7.0,6,1,8,RUS,3.0,SERZHANTOVA A,8 - 6,71,RUS,1:11
Steal,2.0,6,1,8,RUS,3.0,TSOUKALA C,8 - 6,71,GRE,1:11
Action shot - Saved,11.0,6,1,8,RUS,3.0,PLEVRITOU E,8 - 6,49,GRE,0:49
20 sec. exclusion in field,8.0,6,1,8,RUS,3.0,CHYDIRIOTI I,8 - 6,45,GRE,0:45
Action shot - Blocked,11.0,6,1,8,RUS,3.0,IVANOVA E,8 - 6,19,RUS,0:19
Time-Out,,6,1,8,RUS,3.0,,8 - 6,19,GRE,0:19
Centre shot - Goal,7.0,7,1,8,RUS,3.0,ASIMAKI A,8 - 7,10,GRE,0:10
Starting goalkeeper,13.0,7,1,8,RUS,4.0,KARNAUKH A,8 - 7,480,RUS,8:00
Starting goalkeeper,13.0,7,1,8,RUS,4.0,DIAMANTOPOULOU C,8 - 7,480,GRE,8:00
Sprint won possession,4.0,7,1,8,RUS,4.0,ELEFTHERIADOU N,8 - 7,480,GRE,8:00
Turnover foul,10.0,7,1,8,RUS,4.0,MANOLIOUDAKI T,8 - 7,462,GRE,7:42
20 sec. exclusion in centre,10.0,7,1,8,RUS,4.0,TOLKUNOVA T,8 - 7,452,RUS,7:32
Action shot - Saved,11.0,7,1,8,RUS,4.0,PLEVRITOU E,8 - 7,448,GRE,7:28
Action shot - Missed,10.0,7,1,8,RUS,4.0,MANOLIOUDAKI T,8 - 7,429,GRE,7:09
Centre shot - Goal,8.0,7,1,9,RUS,4.0,SIMANOVICH A,9 - 7,407,RUS,6:47
Turnover foul,7.0,7,1,9,RUS,4.0,ASIMAKI A,9 - 7,382,GRE,6:22
Steal,11.0,7,1,9,RUS,4.0,IVANOVA E,9 - 7,382,RUS,6:22
Action shot - Missed,4.0,7,1,9,RUS,4.0,KARIMOVA E,9 - 7,360,RUS,6:00
Centre shot - Saved,11.0,7,1,9,RUS,4.0,PLEVRITOU E,9 - 7,336,GRE,5:36
Action shot - Post,11.0,7,1,9,RUS,4.0,IVANOVA E,9 - 7,315,RUS,5:15
Exclusion with substitution,5.0,7,1,9,RUS,4.0,BORISOVA M,9 - 7,297,RUS,4:57
20 sec. exclusion in centre,5.0,7,1,9,RUS,4.0,BORISOVA M,9 - 7,297,RUS,4:57
20 sec. exclusion in field,10.0,7,1,9,RUS,4.0,MANOLIOUDAKI T,9 - 7,276,GRE,4:36
Centre shot - Missed,7.0,7,1,9,RUS,4.0,ASIMAKI A,9 - 7,276,GRE,4:36
Time-Out,,7,1,9,RUS,4.0,,9 - 7,275,RUS,4:35
Action shot - Blocked,3.0,7,1,9,RUS,4.0,PROKOFYEVA E,9 - 7,250,RUS,4:10
Action shot - Saved,8.0,7,1,9,RUS,4.0,SIMANOVICH A,9 - 7,203,RUS,3:23
Turnover foul,12.0,7,1,9,RUS,4.0,XENAKI E,9 - 7,190,GRE,3:10
Action shot - Missed,12.0,7,1,9,RUS,4.0,RYZHKOVA D,9 - 7,164,RUS,2:44
5m shot - Blocked,2.0,7,1,9,RUS,4.0,TSOUKALA C,9 - 7,140,GRE,2:20
5m shot - Blocked,6.0,7,1,9,RUS,4.0,GORBUNOVA O,9 - 7,113,RUS,1:53
5m shot - Saved,11.0,7,1,9,RUS,4.0,PLEVRITOU E,9 - 7,92,GRE,1:32
Time-Out,,7,1,9,RUS,4.0,,9 - 7,43,GRE,0:43
5m shot - Saved,2.0,7,1,9,RUS,4.0,TSOUKALA C,9 - 7,34,GRE,0:34
Starting goalkeeper,13.0,0,2,0,KAZ,1.0,DIAMANTOPOULOU C,0 - 0,480,GRE,8:00
Starting goalkeeper,1.0,0,2,0,KAZ,1.0,ZHARKIMBAYEVA A,0 - 0,480,KAZ,8:00
Sprint won possession,11.0,0,2,0,KAZ,1.0,PLEVRITOU E,0 - 0,480,GRE,8:00
Action shot - Goal,7.0,1,2,0,KAZ,1.0,ASIMAKI A,1 - 0,461,GRE,7:41
20 sec. exclusion in centre,3.0,1,2,0,KAZ,1.0,DIAMANTOPOULOU V,1 - 0,449,GRE,7:29
Extra player shot - Post,11.0,1,2,0,KAZ,1.0,MIRSHINA A,1 - 0,432,KAZ,7:12
Turnover foul,11.0,1,2,0,KAZ,1.0,PLEVRITOU E,1 - 0,399,GRE,6:39
