Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
ASIMAKI A,1,0,0,7,0,0,0,0,0,2,0,0,0,7,2
ASIMAKI A,2,0,1,4,1,1,0,0,1,1,1,1,0,7,4
ASIMAKI A,3,0,1,3,0,1,0,0,1,1,0,1,0,5,3
ASIMAKI A,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ASIMAKI A,5,0,0,1,0,1,0,0,0,1,0,0,0,2,1
ASIMAKI A,6,0,1,4,0,0,0,0,0,0,0,0,0,5,0
AVRAMIDOU A,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0
AVRAMIDOU A,2,0,0,0,0,1,0,0,0,0,0,1,0,1,1
AVRAMIDOU A,3,0,1,0,0,0,0,0,1,0,0,0,0,1,1
AVRAMIDOU A,4,1,2,0,0,0,0,1,1,0,0,0,0,3,2
AVRAMIDOU A,5,0,2,0,0,1,0,0,1,0,0,1,0,3,2
AVRAMIDOU A,6,1,1,0,0,1,0,0,1,0,0,0,0,3,1
CHYDIRIOTI I,2,0,3,0,0,0,0,0,1,0,0,0,0,3,1
CHYDIRIOTI I,3,0,2,0,0,0,0,0,1,0,0,0,0,2,1
CHYDIRIOTI I,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
CHYDIRIOTI I,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0
DIAMANTOPOULOU V,1,2,1,0,0,0,0,1,1,0,0,0,0,3,2
DIAMANTOPOULOU V,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1
DIAMANTOPOULOU V,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
DIAMANTOPOULOU V,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
DIAMANTOPOULOU V,5,2,3,0,0,0,0,0,0,0,0,0,0,5,0
DIAMANTOPOULOU V,6,1,0,0,0,1,0,1,0,0,0,1,0,2,2
ELEFTHERIADOU N,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0
ELEFTHERIADOU N,2,1,1,1,0,1,0,0,1,1,0,1,0,4,3
ELEFTHERIADOU N,3,1,1,0,0,1,0,0,0,0,0,0,0,3,0
ELEFTHERIADOU N,4,0,3,0,0,0,0,0,1,0,0,0,0,3,1
ELEFTHERIADOU N,5,1,1,0,0,0,0,0,0,0,0,0,0,2,0
ELEFTHERIADOU N,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0
KOTSIA C,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
KOTSIA C,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1
KOTSIA C,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0
KOTSIA C,4,6,0,0,0,0,0,3,0,0,0,0,0,6,3
KOTSIA C,6,1,0,0,0,0,0,1,0,0,0,0,0,1,1
MANOLIOUDAKI T,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0
MANOLIOUDAKI T,2,0,2,0,0,0,1,0,2,0,0,0,1,3,3
MANOLIOUDAKI T,3,2,2,1,0,0,0,1,0,1,0,0,0,5,2
MANOLIOUDAKI T,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0
MANOLIOUDAKI T,5,1,4,0,0,0,0,0,0,0,0,0,0,5,0
PLEVRITOU E,1,1,4,1,0,1,0,0,1,0,0,0,0,7,1
PLEVRITOU E,2,0,3,0,1,0,1,0,1,0,1,0,1,5,3
PLEVRITOU E,3,1,3,0,0,0,1,1,2,0,0,0,0,5,3
PLEVRITOU E,4,3,1,0,0,0,1,0,1,0,0,0,1,5,2
PLEVRITOU E,5,0,4,0,0,0,0,0,1,0,0,0,0,4,1
PLEVRITOU E,6,3,0,0,0,1,0,0,0,0,0,0,0,4,0
PLEVRITOU M,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
TSOUKALA C,1,2,1,0,0,0,1,0,0,0,0,0,0,4,0
TSOUKALA C,2,0,2,0,0,0,0,0,1,0,0,0,0,2,1
TSOUKALA C,3,2,1,0,0,0,0,0,0,0,0,0,0,3,0
TSOUKALA C,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
TSOUKALA C,5,0,1,0,0,3,0,0,1,0,0,2,0,4,3
TSOUKALA C,6,2,2,0,0,0,1,1,1,0,0,0,1,5,3
XENAKI E,1,0,0,1,0,2,0,0,0,0,0,2,0,3,2
XENAKI E,2,0,0,3,0,0,1,0,0,0,0,0,1,4,1
XENAKI E,3,0,1,0,0,0,0,0,1,0,0,0,0,1,1
XENAKI E,4,0,2,0,0,0,0,0,2,0,0,0,0,2,2
XENAKI E,5,0,1,2,0,0,0,0,0,2,0,0,0,3,2
XENAKI E,6,0,0,2,0,2,0,0,0,1,0,0,0,4,1
