Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Centre shot,7.0,0,1,0,RUS,1.0,ASIMAKI A,0 - 0,432,GRE,7:12,Saved,0
Action shot,3.0,1,1,0,RUS,1.0,DIAMANTOPOULOU V,0 - 1,410,GRE,6:50,Goal,1
5m shot,11.0,1,1,0,RUS,1.0,IVANOVA E,0 - 1,382,RUS,6:22,Saved,0
Action shot,4.0,1,1,0,RUS,1.0,KARIMOVA E,0 - 1,326,RUS,5:26,Saved,0
5m shot,3.0,1,1,0,RUS,1.0,PROKOFYEVA E,0 - 1,318,RUS,5:18,Blocked,0
Action shot,10.0,1,1,0,RUS,1.0,MANOLIOUDAKI T,0 - 1,284,GRE,4:44,Saved,0
Action shot,4.0,1,1,1,RUS,1.0,KARIMOVA E,1 - 1,263,RUS,4:23,Goal,1
Extra player shot,11.0,1,1,1,RUS,1.0,PLEVRITOU E,1 - 1,173,GRE,2:53,Saved,0
Action shot,2.0,1,1,1,RUS,1.0,TSOUKALA C,1 - 1,105,GRE,1:45,Post,0
Extra player shot,11.0,1,1,2,RUS,1.0,IVANOVA E,2 - 1,80,RUS,1:20,Goal,1
Centre shot,7.0,1,1,2,RUS,1.0,ASIMAKI A,2 - 1,56,GRE,0:56,Missed,0
Centre shot,9.0,1,1,2,RUS,1.0,TIMOFEEVA A,2 - 1,32,RUS,0:32,Missed,0
Penalty shot,2.0,1,1,2,RUS,1.0,TSOUKALA C,2 - 1,14,GRE,0:14,Saved,0
Action shot,4.0,1,1,2,RUS,1.0,ELEFTHERIADOU N,2 - 1,4,GRE,0:04,Saved,0
Extra player shot,8.0,1,1,3,RUS,2.0,SIMANOVICH A,3 - 1,427,RUS,7:07,Goal,1
Centre shot,7.0,1,1,3,RUS,2.0,ASIMAKI A,3 - 1,407,GRE,6:47,Saved,0
Action shot,6.0,1,1,3,RUS,2.0,AVRAMIDOU A,3 - 1,359,GRE,5:59,Post,0
5m shot,9.0,1,1,3,RUS,2.0,TIMOFEEVA A,3 - 1,328,RUS,5:28,Saved,0
Action shot,5.0,1,1,4,RUS,2.0,BORISOVA M,4 - 1,303,RUS,5:03,Goal,1
Action shot,11.0,2,1,4,RUS,2.0,PLEVRITOU E,4 - 2,278,GRE,4:38,Goal,1
Centre shot,8.0,2,1,4,RUS,2.0,SIMANOVICH A,4 - 2,256,RUS,4:16,Saved,0
Extra player shot,12.0,3,1,4,RUS,2.0,XENAKI E,4 - 3,226,GRE,3:46,Goal,1
5m shot,11.0,3,1,4,RUS,2.0,IVANOVA E,4 - 3,197,RUS,3:17,Saved,0
Action shot,4.0,3,1,4,RUS,2.0,ELEFTHERIADOU N,4 - 3,165,GRE,2:45,Saved,0
Action shot,10.0,3,1,4,RUS,2.0,MANOLIOUDAKI T,4 - 3,101,GRE,1:41,Saved,0
Counter attack,4.0,3,1,5,RUS,2.0,KARIMOVA E,5 - 3,68,RUS,1:08,Goal,1
Centre shot,12.0,3,1,5,RUS,4.0,XENAKI E,5 - 3,72,GRE,1:12,Saved,0
5m shot,6.0,3,1,5,RUS,4.0,GORBUNOVA O,5 - 3,43,RUS,0:43,Saved,0
Extra player shot,12.0,4,1,5,RUS,2.0,XENAKI E,5 - 4,59,GRE,0:59,Goal,1
Centre shot,9.0,4,1,6,RUS,2.0,TIMOFEEVA A,6 - 4,34,RUS,0:34,Goal,1
Action shot,9.0,4,1,6,RUS,2.0,KOTSIA C,6 - 4,6,GRE,0:06,Blocked,0
Centre shot,8.0,4,1,7,RUS,3.0,SIMANOVICH A,7 - 4,429,RUS,7:09,Goal,1
Action shot,6.0,4,1,7,RUS,3.0,AVRAMIDOU A,7 - 4,400,GRE,6:40,Post,0
5m shot,3.0,5,1,7,RUS,3.0,DIAMANTOPOULOU V,7 - 5,352,GRE,5:52,Goal,1
Centre shot,9.0,5,1,7,RUS,3.0,TIMOFEEVA A,7 - 5,324,RUS,5:24,Saved,0
5m shot,3.0,5,1,7,RUS,3.0,DIAMANTOPOULOU V,7 - 5,303,GRE,5:03,Saved,0
Action shot,11.0,5,1,7,RUS,3.0,PLEVRITOU E,7 - 5,276,GRE,4:36,Post,0
Extra player shot,11.0,5,1,7,RUS,3.0,IVANOVA E,7 - 5,239,RUS,3:59,Post,0
Extra player shot,4.0,5,1,8,RUS,3.0,KARIMOVA E,8 - 5,239,RUS,3:59,Goal,1
Centre shot,7.0,5,1,8,RUS,3.0,ASIMAKI A,8 - 5,220,GRE,3:40,Missed,0
Centre shot,4.0,5,1,8,RUS,3.0,KARIMOVA E,8 - 5,198,RUS,3:18,Saved,0
Action shot,4.0,5,1,8,RUS,3.0,ELEFTHERIADOU N,8 - 5,172,GRE,2:52,Saved,0
Action shot,6.0,5,1,8,RUS,3.0,GORBUNOVA O,8 - 5,144,RUS,2:24,Saved,0
Centre shot,7.0,6,1,8,RUS,3.0,ASIMAKI A,8 - 6,125,GRE,2:05,Goal,1
Action shot,8.0,6,1,8,RUS,3.0,SIMANOVICH A,8 - 6,108,RUS,1:48,Blocked,0
Action shot,11.0,6,1,8,RUS,3.0,PLEVRITOU E,8 - 6,49,GRE,0:49,Saved,0
Action shot,11.0,6,1,8,RUS,3.0,IVANOVA E,8 - 6,19,RUS,0:19,Blocked,0
Centre shot,7.0,7,1,8,RUS,3.0,ASIMAKI A,8 - 7,10,GRE,0:10,Goal,1
Action shot,11.0,7,1,8,RUS,4.0,PLEVRITOU E,8 - 7,448,GRE,7:28,Saved,0
Action shot,10.0,7,1,8,RUS,4.0,MANOLIOUDAKI T,8 - 7,429,GRE,7:09,Missed,0
Centre shot,8.0,7,1,9,RUS,4.0,SIMANOVICH A,9 - 7,407,RUS,6:47,Goal,1
Action shot,4.0,7,1,9,RUS,4.0,KARIMOVA E,9 - 7,360,RUS,6:00,Missed,0
Centre shot,11.0,7,1,9,RUS,4.0,PLEVRITOU E,9 - 7,336,GRE,5:36,Saved,0
Action shot,11.0,7,1,9,RUS,4.0,IVANOVA E,9 - 7,315,RUS,5:15,Post,0
Centre shot,7.0,7,1,9,RUS,4.0,ASIMAKI A,9 - 7,276,GRE,4:36,Missed,0
Action shot,3.0,7,1,9,RUS,4.0,PROKOFYEVA E,9 - 7,250,RUS,4:10,Blocked,0
Action shot,8.0,7,1,9,RUS,4.0,SIMANOVICH A,9 - 7,203,RUS,3:23,Saved,0
Action shot,12.0,7,1,9,RUS,4.0,RYZHKOVA D,9 - 7,164,RUS,2:44,Missed,0
5m shot,2.0,7,1,9,RUS,4.0,TSOUKALA C,9 - 7,140,GRE,2:20,Blocked,0
5m shot,6.0,7,1,9,RUS,4.0,GORBUNOVA O,9 - 7,113,RUS,1:53,Blocked,0
5m shot,11.0,7,1,9,RUS,4.0,PLEVRITOU E,9 - 7,92,GRE,1:32,Saved,0
5m shot,2.0,7,1,9,RUS,4.0,TSOUKALA C,9 - 7,34,GRE,0:34,Saved,0
Action shot,7.0,1,2,0,KAZ,1.0,ASIMAKI A,1 - 0,461,GRE,7:41,Goal,1
Extra player shot,11.0,1,2,0,KAZ,1.0,MIRSHINA A,1 - 0,432,KAZ,7:12,Post,0
Centre shot,7.0,2,2,0,KAZ,1.0,ASIMAKI A,2 - 0,362,GRE,6:02,Goal,1
Action shot,3.0,2,2,0,KAZ,1.0,AKILBAYEVA A,2 - 0,333,KAZ,5:33,Blocked,0
5m shot,9.0,3,2,0,KAZ,1.0,KOTSIA C,3 - 0,306,GRE,5:06,Goal,1
Action shot,10.0,4,2,0,KAZ,1.0,MANOLIOUDAKI T,4 - 0,266,GRE,4:26,Goal,1
Action shot,6.0,4,2,0,KAZ,1.0,ROGA D,4 - 0,187,KAZ,3:07,Missed,0
Action shot,11.0,4,2,0,KAZ,1.0,PLEVRITOU E,4 - 0,166,GRE,2:46,Saved,0
Centre shot,5.0,4,2,0,KAZ,1.0,ZAKIROVA K,4 - 0,135,KAZ,2:15,Saved,0
Centre shot,12.0,4,2,0,KAZ,1.0,XENAKI E,4 - 0,113,GRE,1:53,Saved,0
Action shot,3.0,4,2,0,KAZ,1.0,AKILBAYEVA A,4 - 0,92,KAZ,1:32,Saved,0
Centre shot,4.0,5,2,0,KAZ,1.0,ELEFTHERIADOU N,5 - 0,22,GRE,0:22,Goal,1
Penalty shot,11.0,6,2,0,KAZ,2.0,PLEVRITOU E,6 - 0,460,GRE,7:40,Goal,1
Extra player shot,11.0,6,2,0,KAZ,2.0,MIRSHINA A,6 - 0,434,KAZ,7:14,Saved,0
Extra player shot,3.0,6,2,1,KAZ,2.0,AKILBAYEVA A,6 - 1,389,KAZ,6:29,Goal,1
5m shot,4.0,6,2,1,KAZ,2.0,ELEFTHERIADOU N,6 - 1,288,GRE,4:48,Post,0
Action shot,8.0,7,2,1,KAZ,2.0,CHYDIRIOTI I,7 - 1,253,GRE,4:13,Goal,1
Action shot,8.0,7,2,1,KAZ,2.0,CHYDIRIOTI I,7 - 1,170,GRE,2:50,Missed,0
Action shot,9.0,7,2,1,KAZ,2.0,YEREMINA A,7 - 1,154,KAZ,2:34,Missed,0
Action shot,2.0,8,2,1,KAZ,2.0,TSOUKALA C,8 - 1,140,GRE,2:20,Goal,1
Centre shot,10.0,8,2,2,KAZ,2.0,MYRZABEKOVA Z,8 - 2,125,KAZ,2:05,Goal,1
Centre shot,12.0,8,2,2,KAZ,2.0,XENAKI E,8 - 2,98,GRE,1:38,Saved,0
Action shot,6.0,8,2,2,KAZ,2.0,ROGA D,8 - 2,72,KAZ,1:12,Blocked,0
Penalty shot,10.0,9,2,2,KAZ,2.0,MANOLIOUDAKI T,9 - 2,51,GRE,0:51,Goal,1
Extra player shot,4.0,18,2,5,KAZ,4.0,ELEFTHERIADOU N,18 - 5,59,GRE,0:59,Goal,1
5m shot,5.0,18,2,5,KAZ,2.0,ZAKIROVA K,18 - 5,1,KAZ,0:01,Blocked,0
Action shot,10.0,10,2,2,KAZ,3.0,MANOLIOUDAKI T,10 - 2,439,GRE,7:19,Goal,1
Action shot,11.0,10,2,2,KAZ,3.0,MIRSHINA A,10 - 2,398,KAZ,6:38,Saved,0
Counter attack,11.0,11,2,2,KAZ,3.0,PLEVRITOU E,11 - 2,383,GRE,6:23,Goal,1
Extra player shot,3.0,11,2,2,KAZ,3.0,AKILBAYEVA A,11 - 2,341,KAZ,5:41,Blocked,0
Action shot,6.0,11,2,2,KAZ,3.0,ROGA D,11 - 2,331,KAZ,5:31,Saved,0
Centre shot,3.0,11,2,3,KAZ,3.0,AKILBAYEVA A,11 - 3,328,KAZ,5:28,Goal,1
Centre shot,7.0,11,2,3,KAZ,3.0,ASIMAKI A,11 - 3,306,GRE,5:06,Saved,0
5m shot,11.0,11,2,3,KAZ,3.0,MIRSHINA A,11 - 3,275,KAZ,4:35,Post,0
