Period,Time,Action,Score,Team,Player,Cap,ITA,Opponent,Seconds,Game,Opponent name
1.0,8:00,Starting goalkeeper,0 - 0,ITA,GORLERO G,1.0,0,0,480,1,CAN
1.0,8:00,Starting goalkeeper,0 - 0,CAN,GAUDREAULT J,1.0,0,0,480,1,CAN
1.0,8:00,Sprint won possession,0 - 0,CAN,EGGENS M,5.0,0,0,480,1,CAN
1.0,7:35,Action shot - Saved,0 - 0,CAN,FOURNIER S,12.0,0,0,455,1,CAN
1.0,7:06,Action shot - Post,0 - 0,ITA,RADICCHI F,5.0,0,0,426,1,CAN
1.0,6:37,Centre shot - Saved,0 - 0,CAN,EGGENS M,5.0,0,0,397,1,CAN
1.0,6:09,Action shot - Blocked,0 - 0,ITA,RADICCHI F,5.0,0,0,369,1,CAN
1.0,5:46,Penalty foul,0 - 0,ITA,AIELLO R,6.0,0,0,346,1,CAN
1.0,5:46,Penalty shot - Goal,0 - 1,CAN,WRIGHT E,4.0,0,1,346,1,CAN
1.0,5:19,Action shot - Saved,0 - 1,ITA,DARIO S,12.0,0,1,319,1,CAN
1.0,4:51,Action shot - Saved,0 - 1,CAN,FOURNIER S,12.0,0,1,291,1,CAN
1.0,4:23,Action shot - Saved,0 - 1,CAN,ROBINSON C,10.0,0,1,263,1,CAN
1.0,4:15,Action shot - Goal,1 - 1,ITA,EMMOLO G,9.0,1,1,255,1,CAN
1.0,3:55,Action shot - Goal,1 - 2,CAN,EGGENS M,5.0,1,2,235,1,CAN
1.0,3:33,Action shot - Saved,1 - 2,ITA,TABANI C,2.0,1,2,213,1,CAN
1.0,3:16,Action shot - Saved,1 - 2,ITA,BIANCONI R,8.0,1,2,196,1,CAN
1.0,3:03,Action shot - Saved,1 - 2,CAN,CHRISTMAS K,6.0,1,2,183,1,CAN
1.0,2:37,Action shot - Missed,1 - 2,ITA,BIANCONI R,8.0,1,2,157,1,CAN
1.0,2:11,Action shot - Saved,1 - 2,CAN,EGGENS M,5.0,1,2,131,1,CAN
1.0,2:11,20 sec. exclusion in centre,1 - 2,CAN,WRIGHT E,4.0,1,2,131,1,CAN
1.0,2:11,Time-Out,1 - 2,CAN,,,1,2,131,1,CAN
1.0,2:02,Extra player shot - Saved,1 - 2,ITA,BIANCONI R,8.0,1,2,122,1,CAN
1.0,1:36,Centre shot - Saved,1 - 2,CAN,ROBINSON C,10.0,1,2,96,1,CAN
1.0,0:59,Action shot - Saved,1 - 2,ITA,GARIBOTTI A,3.0,1,2,59,1,CAN
