Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
AIELLO R,1,0,1,0,0,0,1,0,0,0,0,0,1,2,1
AIELLO R,2,0,0,1,0,2,0,0,0,1,0,2,0,3,3
AIELLO R,3,0,1,3,0,1,0,0,1,1,0,1,0,5,3
AIELLO R,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0
AIELLO R,5,1,0,3,0,2,0,0,0,1,0,1,0,6,2
AIELLO R,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0
BIANCONI R,1,1,8,0,0,2,0,0,4,0,0,0,0,11,4
BIANCONI R,2,0,3,0,0,0,1,0,1,0,0,0,1,4,2
BIANCONI R,3,4,0,0,0,2,1,0,0,0,0,2,1,7,3
BIANCONI R,4,3,3,0,0,2,0,0,1,0,0,1,0,8,2
BIANCONI R,5,6,1,0,0,1,1,3,1,0,0,0,1,9,5
BIANCONI R,6,4,0,0,0,1,2,1,0,0,0,1,2,7,4
COTTI A,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
COTTI A,3,1,0,0,0,1,0,0,0,0,0,1,0,2,1
COTTI A,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
COTTI A,6,3,0,0,0,0,0,0,0,0,0,0,0,3,0
DARIO S,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0
DARIO S,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0
DARIO S,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
DARIO S,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
EMMOLO G,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
EMMOLO G,2,2,0,0,2,1,0,2,0,0,2,0,0,5,4
EMMOLO G,3,2,1,0,0,0,0,0,0,0,0,0,0,3,0
EMMOLO G,4,2,1,0,0,2,0,0,1,0,0,2,0,5,3
EMMOLO G,5,2,0,0,0,1,0,0,0,0,0,0,0,3,0
EMMOLO G,6,2,1,0,0,0,0,0,0,0,0,0,0,3,0
GARIBOTTI A,1,0,3,0,0,1,0,0,1,0,0,0,0,4,1
GARIBOTTI A,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1
GARIBOTTI A,3,4,1,0,0,2,0,0,0,0,0,1,0,7,1
GARIBOTTI A,4,3,3,0,0,0,0,1,1,0,0,0,0,6,2
GARIBOTTI A,5,1,1,0,0,1,1,0,0,0,0,1,1,4,2
GARIBOTTI A,6,2,2,0,0,2,0,1,1,0,0,2,0,6,4
PALMIERI V,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
PALMIERI V,2,1,2,3,0,0,0,0,2,2,0,0,0,6,4
PALMIERI V,3,0,0,4,0,1,0,0,0,2,0,1,0,5,3
PALMIERI V,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
PICOZZI D,1,0,4,0,0,0,0,0,1,0,0,0,0,4,1
PICOZZI D,2,2,0,0,0,1,0,1,0,0,0,0,0,3,1
PICOZZI D,3,1,0,0,0,1,0,0,0,0,0,1,0,2,1
PICOZZI D,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0
QUEIROLO E,1,0,1,1,0,0,0,0,0,1,0,0,0,2,1
QUEIROLO E,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1
QUEIROLO E,3,3,0,0,0,0,0,1,0,0,0,0,0,3,1
QUEIROLO E,4,2,1,0,0,0,0,0,1,0,0,0,0,3,1
QUEIROLO E,5,1,1,0,0,0,0,0,0,0,0,0,0,2,0
QUEIROLO E,6,1,1,0,0,0,0,0,0,0,0,0,0,2,0
RADICCHI F,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0
RADICCHI F,2,4,1,0,0,0,0,1,1,0,0,0,0,5,2
RADICCHI F,3,0,0,0,0,1,0,0,0,0,0,1,0,1,1
RADICCHI F,4,1,1,0,0,1,0,0,0,0,0,0,0,3,0
RADICCHI F,5,4,0,0,0,1,0,1,0,0,0,1,0,5,2
RADICCHI F,6,2,0,0,0,0,0,0,0,0,0,0,0,2,0
TABANI C,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0
TABANI C,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
TABANI C,3,1,1,0,0,0,0,0,1,0,0,0,0,2,1
TABANI C,4,1,1,0,0,0,0,0,0,0,0,0,0,2,0
TABANI C,6,1,1,0,0,0,0,0,0,0,0,0,0,2,0
