Period,Time,Action,Score,Team,Player,Cap,ITA,Opponent,Seconds,Game,Opponent name,Result,Goal
1.0,7:35,Action shot,0 - 0,CAN,FOURNIER S,12.0,0,0,455,1,CAN,Saved,0
1.0,7:06,Action shot,0 - 0,ITA,RADICCHI F,5.0,0,0,426,1,CAN,Post,0
1.0,6:37,Centre shot,0 - 0,CAN,EGGENS M,5.0,0,0,397,1,CAN,Saved,0
1.0,6:09,Action shot,0 - 0,ITA,RADICCHI F,5.0,0,0,369,1,CAN,Blocked,0
1.0,5:46,Penalty shot,0 - 1,CAN,WRIGHT E,4.0,0,1,346,1,CAN,Goal,1
1.0,5:19,Action shot,0 - 1,ITA,DARIO S,12.0,0,1,319,1,CAN,Saved,0
1.0,4:51,Action shot,0 - 1,CAN,FOURNIER S,12.0,0,1,291,1,CAN,Saved,0
1.0,4:23,Action shot,0 - 1,CAN,ROBINSON C,10.0,0,1,263,1,CAN,Saved,0
1.0,4:15,Action shot,1 - 1,ITA,EMMOLO G,9.0,1,1,255,1,CAN,Goal,1
1.0,3:55,Action shot,1 - 2,CAN,EGGENS M,5.0,1,2,235,1,CAN,Goal,1
1.0,3:33,Action shot,1 - 2,ITA,TABANI C,2.0,1,2,213,1,CAN,Saved,0
1.0,3:16,Action shot,1 - 2,ITA,BIANCONI R,8.0,1,2,196,1,CAN,Saved,0
1.0,3:03,Action shot,1 - 2,CAN,CHRISTMAS K,6.0,1,2,183,1,CAN,Saved,0
1.0,2:37,Action shot,1 - 2,ITA,BIANCONI R,8.0,1,2,157,1,CAN,Missed,0
1.0,2:11,Action shot,1 - 2,CAN,EGGENS M,5.0,1,2,131,1,CAN,Saved,0
1.0,2:02,Extra player shot,1 - 2,ITA,BIANCONI R,8.0,1,2,122,1,CAN,Saved,0
1.0,1:36,Centre shot,1 - 2,CAN,ROBINSON C,10.0,1,2,96,1,CAN,Saved,0
1.0,0:59,Action shot,1 - 2,ITA,GARIBOTTI A,3.0,1,2,59,1,CAN,Saved,0
2.0,7:40,Action shot,1 - 2,CAN,EGGENS M,5.0,1,2,460,1,CAN,Saved,0
2.0,7:12,Action shot,1 - 2,ITA,PICOZZI D,7.0,1,2,432,1,CAN,Missed,0
2.0,6:15,Action shot,2 - 2,ITA,BIANCONI R,8.0,2,2,375,1,CAN,Goal,1
2.0,4:55,Action shot,2 - 2,ITA,PICOZZI D,7.0,2,2,295,1,CAN,Saved,0
2.0,4:28,Action shot,2 - 2,CAN,EGGENS M,5.0,2,2,268,1,CAN,Saved,0
2.0,3:30,Action shot,2 - 2,CAN,ROBINSON C,10.0,2,2,210,1,CAN,Post,0
2.0,3:05,5m shot,2 - 2,ITA,BIANCONI R,8.0,2,2,185,1,CAN,Saved,0
