Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
ARIMA Y,1,2,2,2,0,1,0,1,0,1,0,1,0,7,3
ARIMA Y,2,5,1,3,1,1,0,1,0,0,1,1,0,11,3
ARIMA Y,3,6,0,0,0,0,1,0,0,0,0,0,0,7,0
ARIMA Y,4,1,4,1,1,0,0,1,2,1,0,0,0,7,4
ARIMA Y,5,1,2,0,0,1,0,1,1,0,0,0,0,4,2
HOSOYA K,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
HOSOYA K,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
INABA A,1,0,0,1,0,1,0,0,0,0,0,1,0,2,1
INABA A,2,1,3,0,0,0,0,0,0,0,0,0,0,4,0
INABA A,3,2,3,1,2,1,0,0,1,1,1,0,0,9,3
INABA A,4,0,3,0,0,1,0,0,2,0,0,0,0,4,2
INABA A,5,0,1,0,1,0,0,0,0,0,1,0,0,2,1
KAZAMA Y,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1
KAZAMA Y,2,1,0,1,0,0,1,0,0,1,0,0,0,3,1
KAZAMA Y,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
KAZAMA Y,4,0,2,0,0,0,0,0,2,0,0,0,0,2,2
KAZAMA Y,5,1,0,0,1,0,0,0,0,0,1,0,0,2,1
MAGARIYAMA S,2,1,0,1,0,0,0,1,0,0,0,0,0,2,1
MAGARIYAMA S,4,2,1,0,0,0,0,1,0,0,0,0,0,3,1
MAGARIYAMA S,5,1,1,0,0,0,0,0,0,0,0,0,0,2,0
NIIZAWA Y,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
NIIZAWA Y,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NIIZAWA Y,4,0,2,0,0,1,0,0,0,0,0,1,0,3,1
NORO M,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NORO M,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
NORO M,3,1,0,0,0,1,0,0,0,0,0,0,0,2,0
SAKANOUE C,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
SAKANOUE C,3,2,3,0,0,0,0,1,1,0,0,0,0,5,2
SAKANOUE C,4,2,2,0,3,0,0,0,1,0,3,0,0,7,4
SAKANOUE C,5,2,2,0,2,0,0,0,2,0,2,0,0,6,4
SHIOYA M,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
SUZUKI K,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SUZUKI K,2,1,0,0,0,1,1,0,0,0,0,0,1,3,1
SUZUKI K,3,0,5,0,0,0,0,0,2,0,0,0,0,5,2
SUZUKI K,4,0,0,0,1,1,0,0,0,0,1,0,0,2,1
SUZUKI K,5,2,0,1,0,1,2,0,0,0,0,0,1,6,1
TOKUMOTO M,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1
TOKUMOTO M,4,1,2,0,0,0,0,0,0,0,0,0,0,3,0
TOKUMOTO M,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
YAMAMOTO M,1,0,0,3,0,1,0,0,0,2,0,1,0,4,3
YAMAMOTO M,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
YAMAMOTO M,3,0,0,1,1,1,0,0,0,0,1,0,0,3,1
YAMAMOTO M,4,0,0,0,2,0,0,0,0,0,2,0,0,2,2
YAMAMOTO M,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
