Period,Time,Action,Score,Team,Player,Cap,Opponent,KAZ,Seconds,Game,Opponent name
1.0,8:00,Starting goalkeeper,0 - 0,AUS,YANITSAS L,1.0,0,0,480,1,AUS
1.0,8:00,Starting goalkeeper,0 - 0,KAZ,ZHARKIMBAYEVA A,1.0,0,0,480,1,AUS
1.0,8:00,Sprint won possession,0 - 0,AUS,GOFERS K,2.0,0,0,480,1,AUS
1.0,7:37,20 sec. exclusion in field,0 - 0,KAZ,AKILBAYEVA A,3.0,0,0,457,1,AUS
1.0,7:12,Action shot - Goal,1 - 0,AUS,WEBSTER R,7.0,1,0,432,1,AUS
1.0,7:00,Action shot - Saved,1 - 0,KAZ,MYRZABEKOVA Z,10.0,1,0,420,1,AUS
1.0,6:37,20 sec. exclusion in centre,1 - 0,AUS,GOFERS K,2.0,1,0,397,1,AUS
1.0,6:08,Action shot - Goal,1 - 1,KAZ,ZAKIROVA K,5.0,1,1,368,1,AUS
1.0,5:50,Turnover foul,1 - 1,AUS,HALLIGAN B,4.0,1,1,350,1,AUS
1.0,5:50,Steal,1 - 1,KAZ,AKILBAYEVA A,3.0,1,1,350,1,AUS
1.0,5:25,Turnover foul,1 - 1,KAZ,MYRZABEKOVA Z,10.0,1,1,325,1,AUS
1.0,5:25,Steal,1 - 1,AUS,HALLIGAN B,4.0,1,1,325,1,AUS
1.0,5:08,Turnover foul,1 - 1,AUS,HALLIGAN B,4.0,1,1,308,1,AUS
1.0,5:08,Steal,1 - 1,KAZ,MYRZABEKOVA Z,10.0,1,1,308,1,AUS
1.0,3:27,Action shot - Missed,1 - 1,AUS,GOFERS K,2.0,1,1,207,1,AUS
1.0,3:08,Turnover foul,1 - 1,KAZ,TUROVA A,4.0,1,1,188,1,AUS
1.0,3:08,Steal,1 - 1,AUS,HALLIGAN B,4.0,1,1,188,1,AUS
1.0,2:52,Action shot - Goal,2 - 1,AUS,WEBSTER R,7.0,2,1,172,1,AUS
1.0,2:38,Action shot - Saved,2 - 1,KAZ,MIRSHINA A,11.0,2,1,158,1,AUS
1.0,2:17,20 sec. exclusion in centre,2 - 1,KAZ,TUROVA A,4.0,2,1,137,1,AUS
