Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Extra player shot made,Penalty shot made,Total attempted,Total made
AKILBAYEVA A,1,1,2,0,0,0,0,1,0,0,0,3,1
AKILBAYEVA A,2,0,3,1,2,0,0,1,1,1,0,6,3
AKILBAYEVA A,3,4,0,0,0,0,1,0,0,0,0,4,1
AKILBAYEVA A,4,1,1,0,1,0,0,0,0,0,0,3,0
AKILBAYEVA A,5,1,2,0,1,0,0,1,0,1,0,4,2
MIRSHINA A,1,1,3,1,0,0,0,0,1,0,0,5,1
MIRSHINA A,2,2,1,0,3,0,1,0,0,0,0,6,1
MIRSHINA A,3,2,0,1,3,0,0,0,1,2,0,6,3
MIRSHINA A,4,7,0,2,0,1,2,0,2,0,0,10,4
MIRSHINA A,5,2,0,0,0,1,1,0,0,0,0,3,1
MUSSAROVA A,1,0,1,0,0,0,0,0,0,0,0,1,0
MUSSAROVA A,2,0,0,1,0,0,0,0,0,0,0,1,0
MUSSAROVA A,4,0,2,0,0,0,0,0,0,0,0,2,0
MUSSAROVA A,5,2,0,0,0,0,1,0,0,0,0,2,1
MYRZABEKOVA Z,1,0,1,0,0,0,0,0,0,0,0,1,0
MYRZABEKOVA Z,2,0,0,1,1,0,0,0,1,0,0,2,1
MYRZABEKOVA Z,3,1,1,1,0,0,0,0,0,0,0,3,0
MYRZABEKOVA Z,4,0,4,1,1,0,0,2,0,0,0,6,2
MYRZABEKOVA Z,5,0,0,1,1,0,0,0,0,0,0,2,0
NOVIKOVA A,3,0,0,2,0,0,0,0,0,0,0,2,0
NOVIKOVA A,4,0,0,0,1,0,0,0,0,1,0,1,1
NOVIKOVA A,5,1,0,1,0,0,0,0,1,0,0,2,1
RAITER S,1,0,0,1,0,0,0,0,0,0,0,1,0
ROGA D,1,2,1,0,0,0,0,0,0,0,0,3,0
ROGA D,2,0,3,0,1,0,0,0,0,0,0,4,0
ROGA D,5,0,0,0,1,0,0,0,0,0,0,1,0
SAICHUK O,5,0,1,0,0,0,0,0,0,0,0,1,0
TUROVA A,3,3,0,0,0,0,0,0,0,0,0,3,0
TUROVA A,4,0,1,0,0,0,0,1,0,0,0,1,1
TUROVA A,5,0,0,1,0,0,0,0,0,0,0,1,0
YEREMINA A,2,0,1,0,0,0,0,0,0,0,0,1,0
YEREMINA A,3,2,0,0,0,0,0,0,0,0,0,2,0
YEREMINA A,5,0,1,0,0,0,0,1,0,0,0,1,1
ZAKIROVA K,1,1,4,0,1,0,0,2,0,0,0,6,2
ZAKIROVA K,2,2,0,1,0,0,0,0,0,0,0,3,0
ZAKIROVA K,3,2,3,0,3,0,0,0,0,2,0,8,2
ZAKIROVA K,4,2,2,0,1,0,0,0,0,0,0,5,0
ZAKIROVA K,5,1,2,0,1,0,0,0,0,0,0,4,0
