Period,Time,Action,Score,Team,Player,Cap,Opponent,KAZ,Seconds,Game,Opponent name,Result,Goal
1.0,7:12,Action shot,1 - 0,AUS,WEBSTER R,7.0,1,0,432,1,AUS,Goal,1
1.0,7:00,Action shot,1 - 0,KAZ,MYRZABEKOVA Z,10.0,1,0,420,1,AUS,Saved,0
1.0,6:08,Action shot,1 - 1,KAZ,ZAKIROVA K,5.0,1,1,368,1,AUS,Goal,1
1.0,3:27,Action shot,1 - 1,AUS,GOFERS K,2.0,1,1,207,1,AUS,Missed,0
1.0,2:52,Action shot,2 - 1,AUS,WEBSTER R,7.0,2,1,172,1,AUS,Goal,1
1.0,2:38,Action shot,2 - 1,KAZ,MIRSHINA A,11.0,2,1,158,1,AUS,Saved,0
1.0,2:17,Extra player shot,3 - 1,AUS,ARANCINI Z,9.0,3,1,137,1,AUS,Goal,1
1.0,1:20,Centre shot,3 - 1,AUS,BUCKLING H,3.0,3,1,80,1,AUS,Saved,0
1.0,1:00,Action shot,4 - 1,AUS,STEERE M,12.0,4,1,60,1,AUS,Goal,1
1.0,0:34,5m shot,4 - 1,KAZ,ROGA D,6.0,4,1,34,1,AUS,Saved,0
1.0,0:20,Counter attack,4 - 1,AUS,ARANCINI Z,9.0,4,1,20,1,AUS,Post,0
1.0,0:01,Action shot,4 - 1,AUS,STEERE M,12.0,4,1,1,1,AUS,Saved,0
2.0,7:35,5m shot,4 - 1,KAZ,AKILBAYEVA A,3.0,4,1,455,1,AUS,Blocked,0
2.0,5:39,Action shot,4 - 1,AUS,BISHOP I,5.0,4,1,339,1,AUS,Saved,0
2.0,5:11,5m shot,4 - 1,KAZ,ZAKIROVA K,5.0,4,1,311,1,AUS,Saved,0
2.0,4:04,5m shot,5 - 1,AUS,WEBSTER R,7.0,5,1,244,1,AUS,Goal,1
2.0,3:18,Action shot,6 - 1,AUS,ARANCINI Z,9.0,6,1,198,1,AUS,Goal,1
2.0,2:47,Centre shot,7 - 1,AUS,BUCKLING H,3.0,7,1,167,1,AUS,Goal,1
2.0,2:35,Centre shot,7 - 2,KAZ,MIRSHINA A,11.0,7,2,155,1,AUS,Goal,1
2.0,2:10,Action shot,7 - 2,AUS,ARANCINI Z,9.0,7,2,130,1,AUS,Missed,0
2.0,1:09,Centre shot,8 - 2,AUS,STEERE M,12.0,8,2,69,1,AUS,Goal,1
2.0,0:41,Action shot,8 - 2,KAZ,AKILBAYEVA A,3.0,8,2,41,1,AUS,Missed,0
2.0,0:31,Centre shot,8 - 2,AUS,BISHOP I,5.0,8,2,31,1,AUS,Saved,0
2.0,0:01,Extra player shot,8 - 2,KAZ,ZAKIROVA K,5.0,8,2,1,1,AUS,Saved,0
3.0,6:53,5m shot,9 - 2,AUS,BISHOP I,5.0,9,2,413,1,AUS,Goal,1
3.0,6:22,Action shot,9 - 3,KAZ,AKILBAYEVA A,3.0,9,3,382,1,AUS,Goal,1
3.0,5:54,Action shot,9 - 3,AUS,BISHOP I,5.0,9,3,354,1,AUS,Missed,0
3.0,5:33,Action shot,9 - 3,KAZ,ZAKIROVA K,5.0,9,3,333,1,AUS,Missed,0
3.0,5:21,Action shot,10 - 3,AUS,GOFERS K,2.0,10,3,321,1,AUS,Goal,1
3.0,4:26,Action shot,10 - 3,AUS,ARANCINI Z,9.0,10,3,266,1,AUS,Saved,0
3.0,3:37,Centre shot,10 - 3,AUS,BUCKLING H,3.0,10,3,217,1,AUS,Post,0
3.0,3:10,5m shot,10 - 3,KAZ,MIRSHINA A,11.0,10,3,190,1,AUS,Saved,0
3.0,2:55,Action shot,10 - 3,AUS,WEBSTER R,7.0,10,3,175,1,AUS,Blocked,0
3.0,2:33,Action shot,10 - 4,KAZ,ZAKIROVA K,5.0,10,4,153,1,AUS,Goal,1
3.0,1:25,Action shot,11 - 4,AUS,RIDGE A,6.0,11,4,85,1,AUS,Goal,1
3.0,0:41,Centre shot,12 - 4,AUS,WEBSTER R,7.0,12,4,41,1,AUS,Goal,1
3.0,0:02,Action shot,12 - 4,KAZ,MUSSAROVA A,12.0,12,4,2,1,AUS,Post,0
4.0,7:18,Action shot,12 - 4,AUS,WEBSTER R,7.0,12,4,438,1,AUS,Saved,0
4.0,6:54,Action shot,12 - 4,KAZ,MIRSHINA A,11.0,12,4,414,1,AUS,Saved,0
4.0,5:49,Action shot,12 - 4,KAZ,ZAKIROVA K,5.0,12,4,349,1,AUS,Blocked,0
4.0,5:35,Action shot,12 - 4,AUS,HALLIGAN B,4.0,12,4,335,1,AUS,Post,0
4.0,4:40,Centre shot,13 - 4,AUS,BISHOP I,5.0,13,4,280,1,AUS,Goal,1
4.0,4:15,Centre shot,14 - 4,AUS,ARANCINI Z,9.0,14,4,255,1,AUS,Goal,1
4.0,3:34,Centre shot,14 - 4,AUS,HALLIGAN B,4.0,14,4,214,1,AUS,Saved,0
