Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
GENEE A,1,0,2,0,0,0,0,0,1,0,0,0,0,2,1
GENEE A,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1
GENEE A,3,0,0,0,0,2,0,0,0,0,0,0,0,2,0
GENEE A,5,0,2,0,0,0,0,0,2,0,0,0,0,2,2
GENEE A,6,0,2,0,0,1,0,0,0,0,0,0,0,3,0
GENEE D,1,2,3,1,0,1,0,1,1,1,0,0,0,7,3
GENEE D,4,0,1,0,0,1,0,0,1,0,0,0,0,2,1
GENEE D,5,0,0,0,0,2,0,0,0,0,0,2,0,2,2
GENEE D,6,1,2,0,0,0,0,0,0,0,0,0,0,3,0
JOUSTRA K,1,0,0,2,0,0,0,0,0,1,0,0,0,2,1
JOUSTRA K,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
JOUSTRA K,6,0,1,1,0,0,0,0,0,1,0,0,0,2,1
KLAASSEN L,1,4,2,0,0,0,0,3,1,0,0,0,0,6,4
KLAASSEN L,2,2,1,0,0,0,0,2,0,0,0,0,0,3,2
KLAASSEN L,3,3,1,0,0,1,0,0,0,0,0,0,0,5,0
KLAASSEN L,4,2,2,0,0,2,1,0,1,0,0,0,1,7,2
KLAASSEN L,5,3,2,0,0,1,0,0,1,0,0,1,0,6,2
KLAASSEN L,6,5,1,0,0,0,0,1,1,0,0,0,0,6,2
KOOLHAAS I,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
KOOLHAAS I,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
KOOLHAAS I,5,1,0,0,1,0,0,0,0,0,0,0,0,2,0
MEGENS M,1,2,3,0,0,1,0,0,2,0,0,1,0,6,3
MEGENS M,2,0,1,0,0,0,1,0,1,0,0,0,1,2,2
MEGENS M,3,0,1,1,0,1,0,0,1,0,0,0,0,3,1
MEGENS M,4,2,4,0,0,2,0,0,1,0,0,0,0,8,1
MEGENS M,5,1,0,0,0,0,1,1,0,0,0,0,1,2,2
MEGENS M,6,5,1,0,0,1,1,2,0,0,0,0,1,8,3
NIJHUIS M,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0
NIJHUIS M,2,1,3,0,0,1,0,1,1,0,0,0,0,5,2
NIJHUIS M,5,1,2,1,0,0,0,0,1,1,0,0,0,4,2
NIJHUIS M,6,2,3,0,0,0,0,2,2,0,0,0,0,5,4
SEVENICH V,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
SEVENICH V,2,0,1,3,0,0,0,0,1,2,0,0,0,4,3
SEVENICH V,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
SEVENICH V,4,0,0,2,0,1,0,0,0,0,0,1,0,3,1
SEVENICH V,5,0,1,0,0,2,0,0,1,0,0,2,0,3,3
SEVENICH V,6,0,3,1,0,0,0,0,0,1,0,0,0,4,1
SMIT Y,1,1,1,0,0,1,0,0,0,0,0,1,0,3,1
SMIT Y,2,1,0,1,1,1,0,0,0,0,1,1,0,4,2
SMIT Y,3,2,2,0,0,3,0,0,2,0,0,2,0,7,4
SMIT Y,4,1,1,0,0,2,0,0,0,0,0,0,0,4,0
SMIT Y,5,1,0,0,0,0,0,1,0,0,0,0,0,1,1
SMIT Y,6,0,1,0,0,1,0,0,0,0,0,0,0,2,0
STOMPHORST N,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0
STOMPHORST N,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0
STOMPHORST N,4,0,1,0,0,2,0,0,1,0,0,2,0,3,3
STOMPHORST N,5,0,0,1,0,2,0,0,0,1,0,2,0,3,3
STOMPHORST N,6,0,0,0,3,1,0,0,0,0,2,1,0,4,3
van der SLOOT S,1,0,3,0,0,0,2,0,1,0,0,0,2,5,3
van der SLOOT S,2,0,1,4,1,2,0,0,0,3,1,2,0,8,6
van der SLOOT S,3,1,1,0,0,1,1,1,0,0,0,0,1,4,2
van der SLOOT S,4,0,0,1,1,0,1,0,0,0,1,0,1,3,2
