Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
BOWRY C,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
BOWRY C,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0
BOYD A,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0
BOYD A,5,1,0,0,0,0,0,1,0,0,0,0,0,1,1
BOYD A,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0
DOYLE B,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
DOYLE B,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
DOYLE B,5,3,0,0,0,1,0,0,0,0,0,0,0,4,0
DOYLE B,6,1,0,0,0,1,0,0,0,0,0,0,0,2,0
FERIGO R,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0
FERIGO R,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FERIGO R,4,1,1,0,0,1,0,0,0,0,0,1,0,3,1
FERIGO R,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
HOUGHTON E,1,2,1,0,0,1,0,0,0,0,0,0,0,4,0
HOUGHTON E,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
HOUGHTON E,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
HOUGHTON E,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0
HOUGHTON E,5,1,2,0,0,1,0,0,0,0,0,1,0,4,1
HOUGHTON E,6,2,1,0,0,0,0,0,1,0,0,0,0,3,1
HUDSON K,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
HUDSON K,2,5,2,0,0,1,0,1,1,0,0,1,0,8,3
HUDSON K,3,1,1,0,0,0,0,0,1,0,0,0,0,2,1
HUDSON K,4,1,1,0,0,0,0,0,0,0,0,0,0,2,0
HUDSON K,5,0,3,0,0,0,0,0,0,0,0,0,0,3,0
HUDSON K,6,2,0,0,0,0,0,1,0,0,0,0,0,2,1
LEWIS N,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
LEWIS N,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
LEWIS N,5,0,0,1,0,1,0,0,0,0,0,0,0,2,0
LEWIS N,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
LOPES da SILVA C,1,3,1,0,1,1,0,1,0,0,0,0,0,6,1
LOPES da SILVA C,2,3,1,0,0,0,0,0,0,0,0,0,0,4,0
LOPES da SILVA C,3,2,0,0,0,1,0,0,0,0,0,1,0,3,1
LOPES da SILVA C,4,0,2,0,0,0,0,0,1,0,0,0,0,2,1
LOPES da SILVA C,5,1,2,0,0,1,0,0,0,0,0,0,0,4,0
LOPES da SILVA C,6,3,2,1,0,1,1,0,1,0,0,0,1,8,2
MASON K,1,2,0,0,0,1,0,1,0,0,0,0,0,3,1
MASON K,2,5,0,1,0,2,0,2,0,0,0,1,0,8,3
MASON K,3,5,0,0,0,0,0,1,0,0,0,0,0,5,1
MASON K,4,6,0,0,0,0,0,0,0,0,0,0,0,6,0
MASON K,5,3,0,0,0,0,0,1,0,0,0,0,0,3,1
MASON K,6,7,1,0,0,2,0,1,0,0,0,1,0,10,2
PYE B,2,3,1,0,0,1,0,2,0,0,0,0,0,5,2
PYE B,3,0,0,0,0,4,0,0,0,0,0,2,0,4,2
PYE B,4,2,1,0,0,1,0,0,0,0,0,1,0,4,1
PYE B,5,3,0,0,0,0,0,1,0,0,0,0,0,3,1
PYE B,6,3,1,0,0,0,0,0,1,0,0,0,0,4,1
STONEMAN E,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0
STONEMAN E,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
STONEMAN E,3,2,1,0,0,0,0,1,1,0,0,0,0,3,2
STONEMAN E,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0
STONEMAN E,5,0,2,0,0,0,0,0,0,0,0,0,0,2,0
STONEMAN E,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
