Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time
Starting goalkeeper,13.0,1,0,USA,1.0,NIXON L,0,0 - 0,480,RSA,8:00
Starting goalkeeper,1.0,1,0,USA,1.0,STONE G,0,0 - 0,480,USA,8:00
Sprint won possession,6.0,1,0,USA,1.0,HALLENDORFF A,0,0 - 0,480,RSA,8:00
Turnover foul,6.0,1,0,USA,1.0,HALLENDORFF A,0,0 - 0,452,RSA,7:32
Counter attack - Goal,10.0,1,1,USA,1.0,NEUSHUL J,0,0 - 1,448,USA,7:28
Turnover foul,12.0,1,1,USA,1.0,WHITE K,0,0 - 1,419,RSA,6:59
Steal,3.0,1,1,USA,1.0,SEIDEMANN M,0,0 - 1,419,USA,6:59
Centre shot - Goal,11.0,1,2,USA,1.0,FISCHER M,0,0 - 2,399,USA,6:39
Turnover foul,2.0,1,2,USA,1.0,PENNEY A,0,0 - 2,376,RSA,6:16
Steal,8.0,1,2,USA,1.0,NEUSHUL K,0,0 - 2,376,USA,6:16
Action shot - Goal,11.0,1,3,USA,1.0,FISCHER M,0,0 - 3,352,USA,5:52
Action shot - Missed,11.0,1,3,USA,1.0,BARRETT N,0,0 - 3,331,RSA,5:31
Action shot - Post,12.0,1,3,USA,1.0,WILLIAMS A,0,0 - 3,316,USA,5:16
Turnover foul,2.0,1,3,USA,1.0,PENNEY A,0,0 - 3,289,RSA,4:49
Steal,10.0,1,3,USA,1.0,NEUSHUL J,0,0 - 3,289,USA,4:49
Action shot - Goal,12.0,1,4,USA,1.0,WILLIAMS A,0,0 - 4,273,USA,4:33
Turnover foul,9.0,1,4,USA,1.0,SMIT Z,0,0 - 4,250,RSA,4:10
Steal,8.0,1,4,USA,1.0,NEUSHUL K,0,0 - 4,250,USA,4:10
Action shot - Post,5.0,1,4,USA,1.0,HAUSCHILD P,0,0 - 4,237,USA,3:57
Time-Out,,1,4,USA,1.0,,0,0 - 4,237,RSA,3:57
20 sec. exclusion in field,7.0,1,4,USA,1.0,RANEY J,0,0 - 4,213,USA,3:33
Turnover foul,12.0,1,4,USA,1.0,WHITE K,0,0 - 4,185,RSA,3:05
Action shot - Post,4.0,1,4,USA,1.0,FATTAL R,0,0 - 4,165,USA,2:45
Turnover foul,8.0,1,4,USA,1.0,KEEVY A,0,0 - 4,140,RSA,2:20
Steal,8.0,1,4,USA,1.0,NEUSHUL K,0,0 - 4,140,USA,2:20
Action shot - Post,11.0,1,4,USA,1.0,FISCHER M,0,0 - 4,126,USA,2:06
Turnover foul,5.0,1,4,USA,1.0,SCHOOLING M,0,0 - 4,100,RSA,1:40
Steal,8.0,1,4,USA,1.0,NEUSHUL K,0,0 - 4,100,USA,1:40
20 sec. exclusion in field,7.0,1,4,USA,1.0,RANEY J,0,0 - 4,89,USA,1:29
Turnover foul,8.0,1,4,USA,1.0,KEEVY A,0,0 - 4,58,RSA,0:58
Steal,5.0,1,4,USA,1.0,HAUSCHILD P,0,0 - 4,58,USA,0:58
Counter attack - Goal,4.0,1,5,USA,1.0,FATTAL R,0,0 - 5,46,USA,0:46
Turnover foul,7.0,1,5,USA,1.0,WESSELS C,0,0 - 5,32,RSA,0:32
Action shot - Goal,10.0,1,6,USA,1.0,NEUSHUL J,0,0 - 6,26,USA,0:26
Starting goalkeeper,13.0,1,6,USA,2.0,NIXON L,0,0 - 6,480,RSA,8:00
Starting goalkeeper,1.0,1,6,USA,2.0,STONE G,0,0 - 6,480,USA,8:00
Sprint won possession,4.0,1,6,USA,2.0,FATTAL R,0,0 - 6,480,USA,8:00
Centre shot - Goal,4.0,1,7,USA,2.0,FATTAL R,0,0 - 7,452,USA,7:32
Centre shot - Missed,12.0,1,7,USA,2.0,WHITE K,0,0 - 7,423,RSA,7:03
Action shot - Goal,4.0,1,8,USA,2.0,FATTAL R,0,0 - 8,417,USA,6:57
5m shot - Post,7.0,1,8,USA,2.0,WESSELS C,0,0 - 8,386,RSA,6:26
Action shot - Missed,11.0,1,8,USA,2.0,FISCHER M,0,0 - 8,367,USA,6:07
Counter attack - Goal,10.0,1,9,USA,2.0,NEUSHUL J,0,0 - 9,327,USA,5:27
Action shot - Saved,9.0,1,9,USA,2.0,SMIT Z,0,0 - 9,308,RSA,5:08
Action shot - Goal,5.0,1,10,USA,2.0,HAUSCHILD P,0,0 - 10,298,USA,4:58
Turnover foul,10.0,1,10,USA,2.0,MANSON M,0,0 - 10,267,RSA,4:27
Steal,1.0,1,10,USA,2.0,STONE G,0,0 - 10,267,USA,4:27
20 sec. exclusion in centre,5.0,1,10,USA,2.0,SCHOOLING M,0,0 - 10,243,RSA,4:03
Extra player shot - Saved,12.0,1,10,USA,2.0,WILLIAMS A,0,0 - 10,229,USA,3:49
5m shot - Saved,11.0,1,10,USA,2.0,BARRETT N,0,0 - 10,212,RSA,3:32
Time-Out,,1,10,USA,2.0,,0,0 - 10,210,USA,3:30
Centre shot - Post,9.0,1,10,USA,2.0,FISCHER A,0,0 - 10,194,USA,3:14
Turnover foul,5.0,1,10,USA,2.0,SCHOOLING M,0,0 - 10,164,RSA,2:44
Action shot - Goal,3.0,1,11,USA,2.0,SEIDEMANN M,0,0 - 11,144,USA,2:24
Turnover foul,9.0,1,11,USA,2.0,SMIT Z,0,0 - 11,115,RSA,1:55
Steal,10.0,1,11,USA,2.0,NEUSHUL J,0,0 - 11,115,USA,1:55
Centre shot - Goal,8.0,1,12,USA,2.0,NEUSHUL K,0,0 - 12,103,USA,1:43
Turnover foul,5.0,1,12,USA,2.0,SCHOOLING M,0,0 - 12,84,RSA,1:24
Steal,3.0,1,12,USA,2.0,SEIDEMANN M,0,0 - 12,84,USA,1:24
Turnover foul,9.0,1,12,USA,2.0,FISCHER A,0,0 - 12,63,USA,1:03
Steal,13.0,1,12,USA,2.0,NIXON L,0,0 - 12,63,RSA,1:03
Turnover foul,RSA 5,1,12,USA,4.0,SCHOOLING M,0,0 - 12,15,,0:15
Time-Out,,1,12,USA,2.0,,0,0 - 12,63,RSA,1:03
Action shot - Post,2.0,1,12,USA,2.0,PENNEY A,0,0 - 12,29,RSA,0:29
Centre shot - Goal,3.0,1,13,USA,2.0,SEIDEMANN M,0,0 - 13,18,USA,0:18
20 sec. exclusion in field,9.0,1,13,USA,2.0,FISCHER A,0,0 - 13,1,USA,0:01
Starting goalkeeper,1.0,1,13,USA,3.0,STONE G,0,0 - 13,480,USA,8:00
Goalkeeper substitution,13.0,1,13,USA,3.0,NIXON L,0,0 - 13,480,RSA,8:00
Goalkeeper substitution,13.0,1,13,USA,3.0,LONGAN A,0,0 - 13,480,USA,8:00
Sprint won possession,6.0,1,13,USA,3.0,HALLENDORFF A,0,0 - 13,480,RSA,8:00
Action shot - Goal,11.0,1,13,USA,3.0,BARRETT N,1,1 - 13,459,RSA,7:39
Goalkeeper substitution,1.0,1,13,USA,3.0,STONE G,1,1 - 13,448,USA,7:28
Action shot - Goal,10.0,1,14,USA,3.0,NEUSHUL J,1,1 - 14,436,USA,7:16
Turnover foul,2.0,1,14,USA,3.0,PENNEY A,1,1 - 14,410,RSA,6:50
Steal,12.0,1,14,USA,3.0,WILLIAMS A,1,1 - 14,410,USA,6:50
Centre shot - Goal,3.0,1,15,USA,3.0,SEIDEMANN M,1,1 - 15,386,USA,6:26
Turnover foul,2.0,1,15,USA,3.0,PENNEY A,1,1 - 15,350,RSA,5:50
Steal,11.0,1,15,USA,3.0,FISCHER M,1,1 - 15,350,USA,5:50
Action shot - Missed,4.0,1,15,USA,3.0,FATTAL R,1,1 - 15,340,USA,5:40
20 sec. exclusion in centre,10.0,1,15,USA,3.0,NEUSHUL J,1,1 - 15,324,USA,5:24
Action shot - Goal,2.0,1,15,USA,3.0,PENNEY A,2,2 - 15,302,RSA,5:02
Turnover foul,5.0,1,15,USA,3.0,HAUSCHILD P,2,2 - 15,277,USA,4:37
Steal,4.0,1,15,USA,3.0,FAULMANN S,2,2 - 15,277,RSA,4:37
Turnover foul,9.0,1,15,USA,3.0,SMIT Z,2,2 - 15,260,RSA,4:20
Centre shot - Goal,3.0,1,16,USA,3.0,SEIDEMANN M,2,2 - 16,248,USA,4:08
20 sec. exclusion in field,7.0,1,16,USA,3.0,WESSELS C,2,2 - 16,214,RSA,3:34
Action shot - Goal,8.0,1,17,USA,3.0,NEUSHUL K,2,2 - 17,199,USA,3:19
Turnover foul,9.0,1,17,USA,3.0,SMIT Z,2,2 - 17,168,RSA,2:48
Action shot - Post,11.0,1,17,USA,3.0,FISCHER M,2,2 - 17,149,USA,2:29
