Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time,Result,Goal
Counter attack,10.0,1,1,USA,1.0,NEUSHUL J,0,0 - 1,448,USA,7:28,Goal,1
Centre shot,11.0,1,2,USA,1.0,FISCHER M,0,0 - 2,399,USA,6:39,Goal,1
Action shot,11.0,1,3,USA,1.0,FISCHER M,0,0 - 3,352,USA,5:52,Goal,1
Action shot,11.0,1,3,USA,1.0,BARRETT N,0,0 - 3,331,RSA,5:31,Missed,0
Action shot,12.0,1,3,USA,1.0,WILLIAMS A,0,0 - 3,316,USA,5:16,Post,0
Action shot,12.0,1,4,USA,1.0,WILLIAMS A,0,0 - 4,273,USA,4:33,Goal,1
Action shot,5.0,1,4,USA,1.0,HAUSCHILD P,0,0 - 4,237,USA,3:57,Post,0
Action shot,4.0,1,4,USA,1.0,FATTAL R,0,0 - 4,165,USA,2:45,Post,0
Action shot,11.0,1,4,USA,1.0,FISCHER M,0,0 - 4,126,USA,2:06,Post,0
Counter attack,4.0,1,5,USA,1.0,FATTAL R,0,0 - 5,46,USA,0:46,Goal,1
Action shot,10.0,1,6,USA,1.0,NEUSHUL J,0,0 - 6,26,USA,0:26,Goal,1
Centre shot,4.0,1,7,USA,2.0,FATTAL R,0,0 - 7,452,USA,7:32,Goal,1
Centre shot,12.0,1,7,USA,2.0,WHITE K,0,0 - 7,423,RSA,7:03,Missed,0
Action shot,4.0,1,8,USA,2.0,FATTAL R,0,0 - 8,417,USA,6:57,Goal,1
5m shot,7.0,1,8,USA,2.0,WESSELS C,0,0 - 8,386,RSA,6:26,Post,0
Action shot,11.0,1,8,USA,2.0,FISCHER M,0,0 - 8,367,USA,6:07,Missed,0
Counter attack,10.0,1,9,USA,2.0,NEUSHUL J,0,0 - 9,327,USA,5:27,Goal,1
Action shot,9.0,1,9,USA,2.0,SMIT Z,0,0 - 9,308,RSA,5:08,Saved,0
Action shot,5.0,1,10,USA,2.0,HAUSCHILD P,0,0 - 10,298,USA,4:58,Goal,1
Extra player shot,12.0,1,10,USA,2.0,WILLIAMS A,0,0 - 10,229,USA,3:49,Saved,0
5m shot,11.0,1,10,USA,2.0,BARRETT N,0,0 - 10,212,RSA,3:32,Saved,0
Centre shot,9.0,1,10,USA,2.0,FISCHER A,0,0 - 10,194,USA,3:14,Post,0
Action shot,3.0,1,11,USA,2.0,SEIDEMANN M,0,0 - 11,144,USA,2:24,Goal,1
Centre shot,8.0,1,12,USA,2.0,NEUSHUL K,0,0 - 12,103,USA,1:43,Goal,1
Action shot,2.0,1,12,USA,2.0,PENNEY A,0,0 - 12,29,RSA,0:29,Post,0
Centre shot,3.0,1,13,USA,2.0,SEIDEMANN M,0,0 - 13,18,USA,0:18,Goal,1
Action shot,11.0,1,13,USA,3.0,BARRETT N,1,1 - 13,459,RSA,7:39,Goal,1
Action shot,10.0,1,14,USA,3.0,NEUSHUL J,1,1 - 14,436,USA,7:16,Goal,1
Centre shot,3.0,1,15,USA,3.0,SEIDEMANN M,1,1 - 15,386,USA,6:26,Goal,1
Action shot,4.0,1,15,USA,3.0,FATTAL R,1,1 - 15,340,USA,5:40,Missed,0
Action shot,2.0,1,15,USA,3.0,PENNEY A,2,2 - 15,302,RSA,5:02,Goal,1
Centre shot,3.0,1,16,USA,3.0,SEIDEMANN M,2,2 - 16,248,USA,4:08,Goal,1
Action shot,8.0,1,17,USA,3.0,NEUSHUL K,2,2 - 17,199,USA,3:19,Goal,1
Action shot,11.0,1,17,USA,3.0,FISCHER M,2,2 - 17,149,USA,2:29,Post,0
Action shot,11.0,1,17,USA,3.0,FISCHER M,2,2 - 17,80,USA,1:20,Post,0
Extra player shot,9.0,1,18,USA,3.0,FISCHER A,2,2 - 18,72,USA,1:12,Goal,1
Centre shot,4.0,1,18,USA,3.0,FATTAL R,2,2 - 18,26,USA,0:26,Saved,0
Action shot,10.0,1,19,USA,4.0,NEUSHUL J,2,2 - 19,437,USA,7:17,Goal,1
Action shot,11.0,1,19,USA,4.0,FISCHER M,2,2 - 19,409,USA,6:49,Post,0
Action shot,8.0,1,20,USA,4.0,NEUSHUL K,2,2 - 20,371,USA,6:11,Goal,1
Action shot,3.0,1,21,USA,4.0,SEIDEMANN M,2,2 - 21,335,USA,5:35,Goal,1
5m shot,7.0,1,21,USA,4.0,WESSELS C,2,2 - 21,306,RSA,5:06,Missed,0
Action shot,10.0,1,22,USA,4.0,NEUSHUL J,2,2 - 22,277,USA,4:37,Goal,1
5m shot,10.0,1,22,USA,4.0,NEUSHUL J,2,2 - 22,193,USA,3:13,Missed,0
Extra player shot,5.0,1,23,USA,4.0,HAUSCHILD P,2,2 - 23,125,USA,2:05,Goal,1
Action shot,2.0,1,23,USA,4.0,PENNEY A,2,2 - 23,94,RSA,1:34,Saved,0
Action shot,9.0,1,24,USA,4.0,FISCHER A,2,2 - 24,49,USA,0:49,Goal,1
Extra player shot,3.0,2,0,NZL,1.0,MASON K,0,0 - 0,426,NZL,7:06,Saved,0
5m shot,12.0,2,1,NZL,1.0,PYE B,0,1 - 0,377,NZL,6:17,Goal,1
Action shot,11.0,2,2,NZL,1.0,HUDSON K,0,2 - 0,318,NZL,5:18,Goal,1
Action shot,11.0,2,2,NZL,1.0,BARRETT N,0,2 - 0,293,RSA,4:53,Saved,0
5m shot,6.0,2,2,NZL,1.0,HALLENDORFF A,1,2 - 1,261,RSA,4:21,Goal,1
5m shot,8.0,2,2,NZL,1.0,KEEVY A,1,2 - 1,144,RSA,2:24,Post,0
Action shot,5.0,2,2,NZL,1.0,SCHOOLING M,1,2 - 1,105,RSA,1:45,Saved,0
Action shot,12.0,2,2,NZL,2.0,WHITE K,1,2 - 1,451,RSA,7:31,Saved,0
Extra player shot,2.0,2,2,NZL,2.0,PENNEY A,2,2 - 2,418,RSA,6:58,Goal,1
Extra player shot,12.0,2,2,NZL,2.0,PYE B,2,2 - 2,389,NZL,6:29,Blocked,0
5m shot,11.0,2,2,NZL,2.0,BARRETT N,3,2 - 3,360,RSA,6:00,Goal,1
Extra player shot,3.0,2,3,NZL,2.0,MASON K,3,3 - 3,296,NZL,4:56,Goal,1
Centre shot,7.0,2,3,NZL,2.0,WESSELS C,3,3 - 3,261,RSA,4:21,Saved,0
Centre shot,7.0,2,3,NZL,2.0,HOUGHTON E,3,3 - 3,180,NZL,3:00,Saved,0
Centre shot,4.0,2,3,NZL,2.0,FERIGO R,3,3 - 3,151,NZL,2:31,Saved,0
Centre shot,10.0,2,3,NZL,2.0,BOWRY C,3,3 - 3,126,NZL,2:06,Saved,0
5m shot,3.0,2,7,NZL,4.0,MASON K,6,7 - 6,88,NZL,1:28,Goal,1
5m shot,3.0,2,7,NZL,2.0,MASON K,6,7 - 6,50,NZL,0:50,Post,0
5m shot,2.0,2,7,NZL,2.0,PENNEY A,6,7 - 6,19,RSA,0:19,Blocked,0
5m shot,8.0,2,7,NZL,2.0,LOPES da SILVA C,6,7 - 6,1,NZL,0:01,Saved,0
Action shot,8.0,2,7,NZL,3.0,LOPES da SILVA C,6,7 - 6,409,NZL,6:49,Saved,0
5m shot,12.0,2,7,NZL,3.0,PYE B,6,7 - 6,360,NZL,6:00,Saved,0
5m shot,8.0,2,7,NZL,3.0,LOPES da SILVA C,6,7 - 6,291,NZL,4:51,Saved,0
5m shot,6.0,2,7,NZL,3.0,DOYLE B,6,7 - 6,280,NZL,4:40,Missed,0
5m shot,9.0,2,7,NZL,3.0,STONEMAN E,6,7 - 6,230,NZL,3:50,Saved,0
5m shot,2.0,2,7,NZL,3.0,PENNEY A,6,7 - 6,202,RSA,3:22,Saved,0
5m shot,3.0,2,7,NZL,3.0,MASON K,6,7 - 6,179,NZL,2:59,Saved,0
Centre shot,3.0,2,7,NZL,3.0,MASON K,6,7 - 6,165,NZL,2:45,Missed,0
5m shot,11.0,2,4,NZL,3.0,HUDSON K,3,4 - 3,124,NZL,2:04,Goal,1
Extra player shot,5.0,2,4,NZL,3.0,SCHOOLING M,4,4 - 4,86,RSA,1:26,Goal,1
5m shot,11.0,2,4,NZL,3.0,HUDSON K,4,4 - 4,58,NZL,0:58,Blocked,0
5m shot,11.0,2,4,NZL,3.0,HUDSON K,4,4 - 4,23,NZL,0:23,Saved,0
Centre shot,5.0,2,4,NZL,4.0,SCHOOLING M,5,4 - 5,455,RSA,7:35,Goal,1
Action shot,11.0,2,4,NZL,4.0,HUDSON K,5,4 - 5,425,NZL,7:05,Saved,0
5m shot,3.0,2,4,NZL,4.0,MASON K,5,4 - 5,375,NZL,6:15,Missed,0
Action shot,7.0,2,4,NZL,4.0,WESSELS C,6,4 - 6,358,RSA,5:58,Goal,1
5m shot,11.0,2,4,NZL,4.0,HUDSON K,6,4 - 6,333,NZL,5:33,Missed,0
Extra player shot,7.0,2,4,NZL,4.0,WESSELS C,6,4 - 6,308,RSA,5:08,Missed,0
5m shot,11.0,2,4,NZL,4.0,HUDSON K,6,4 - 6,290,NZL,4:50,Saved,0
5m shot,12.0,2,5,NZL,4.0,PYE B,6,5 - 6,278,NZL,4:38,Goal,1
5m shot,3.0,2,6,NZL,4.0,MASON K,6,6 - 6,216,NZL,3:36,Goal,1
Action shot,12.0,2,6,NZL,4.0,PYE B,6,6 - 6,163,NZL,2:43,Blocked,0
5m shot,8.0,2,6,NZL,4.0,LOPES da SILVA C,6,6 - 6,133,NZL,2:13,Missed,0
Extra player shot,11.0,2,8,NZL,4.0,HUDSON K,6,8 - 6,28,NZL,0:28,Goal,1
5m shot,12.0,2,8,NZL,4.0,WHITE K,6,8 - 6,1,RSA,0:01,Saved,0
Extra player shot,12,3,1,ESP,1.0,LEITON ARRONES P,0,0 - 1,387,ESP,6:27,Goal,1
