Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
BORISOVA M,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
BORISOVA M,2,2,3,0,0,1,0,1,1,0,0,0,0,6,2
BORISOVA M,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
BORISOVA M,4,1,1,1,0,0,0,0,0,0,0,0,0,3,0
BORISOVA M,5,1,1,0,0,1,0,0,0,0,0,1,0,3,1
BORISOVA M,6,2,1,0,0,1,1,1,0,0,0,0,1,5,2
BORISOVA M,7,3,0,1,0,0,0,1,0,1,0,0,0,4,2
GORBUNOVA O,1,2,1,0,0,0,0,0,0,0,0,0,0,3,0
GORBUNOVA O,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
GORBUNOVA O,3,0,2,0,0,0,0,0,0,0,0,0,0,2,0
GORBUNOVA O,4,1,3,0,0,0,0,0,1,0,0,0,0,4,1
GORBUNOVA O,5,1,6,0,0,0,0,0,2,0,0,0,0,7,2
GORBUNOVA O,7,2,2,0,0,0,0,0,0,0,0,0,0,4,0
IVANOVA E,1,2,2,0,0,2,0,0,0,0,0,1,0,6,1
IVANOVA E,2,2,1,1,0,1,0,0,0,0,0,1,0,5,1
IVANOVA E,3,0,1,1,0,2,0,0,1,0,0,1,0,4,2
IVANOVA E,4,1,1,0,0,1,0,1,0,0,0,0,0,3,1
IVANOVA E,5,2,3,0,0,0,0,1,2,0,0,0,0,5,3
IVANOVA E,6,1,2,0,0,1,0,0,1,0,0,0,0,4,1
IVANOVA E,7,0,2,1,0,0,0,0,0,0,0,0,0,3,0
KARIMOVA E,1,0,3,1,1,1,0,0,1,0,1,1,0,6,3
KARIMOVA E,2,1,2,0,0,2,0,0,0,0,0,1,0,5,1
KARIMOVA E,3,0,1,0,1,0,0,0,1,0,1,0,0,2,2
KARIMOVA E,4,1,3,0,0,1,0,0,0,0,0,1,0,5,1
KARIMOVA E,5,1,1,1,0,0,0,0,0,1,0,0,0,3,1
KARIMOVA E,7,1,0,0,1,0,0,0,0,0,1,0,0,2,1
KARNAUKH A,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0
PROKOFYEVA E,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0
PROKOFYEVA E,2,4,2,1,0,0,0,0,0,0,0,0,0,7,0
PROKOFYEVA E,3,1,0,0,0,1,0,1,0,0,0,1,0,2,2
PROKOFYEVA E,4,2,1,0,0,1,0,1,1,0,0,1,0,4,3
PROKOFYEVA E,5,2,1,0,0,0,0,0,0,0,0,0,0,3,0
PROKOFYEVA E,6,5,1,0,0,0,0,2,1,0,0,0,0,6,3
PROKOFYEVA E,7,3,1,1,1,1,0,0,0,1,0,1,0,7,2
RYZHKOVA D,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
RYZHKOVA D,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1
RYZHKOVA D,3,2,2,0,1,0,0,0,2,0,0,0,0,5,2
RYZHKOVA D,4,1,1,0,0,1,0,0,1,0,0,1,0,3,2
RYZHKOVA D,5,0,4,0,0,0,0,0,1,0,0,0,0,4,1
RYZHKOVA D,6,0,0,1,0,1,0,0,0,0,0,1,0,2,1
RYZHKOVA D,7,1,3,0,0,1,0,0,2,0,0,1,0,5,3
SERZHANTOVA A,3,1,0,1,0,1,1,0,0,0,0,1,1,4,2
SERZHANTOVA A,5,0,3,0,0,0,0,0,1,0,0,0,0,3,1
SERZHANTOVA A,7,0,1,0,0,1,0,0,1,0,0,1,0,2,2
SIMANOVICH A,1,0,2,3,0,1,0,0,0,2,0,1,0,6,3
SIMANOVICH A,3,0,2,2,0,1,0,0,1,2,0,0,0,5,3
SIMANOVICH A,6,0,1,3,0,0,0,0,0,2,0,0,0,4,2
SIMANOVICH A,7,1,0,2,0,1,0,0,0,0,0,0,0,4,0
TIMOFEEVA A,1,1,0,3,0,0,0,0,0,1,0,0,0,4,1
TIMOFEEVA A,3,1,2,0,0,0,0,0,2,0,0,0,0,3,2
TIMOFEEVA A,4,0,0,2,1,0,0,0,0,1,1,0,0,3,2
TIMOFEEVA A,6,1,1,1,0,0,0,0,0,0,0,0,0,3,0
TIMOFEEVA A,7,0,0,2,0,0,0,0,0,1,0,0,0,2,1
TOLKUNOVA T,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
TOLKUNOVA T,4,3,0,0,0,0,0,1,0,0,0,0,0,3,1
TOLKUNOVA T,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
TOLKUNOVA T,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0
VAKHITOVA V,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
VAKHITOVA V,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
VAKHITOVA V,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
