Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
ABLA D,1,1,4,1,0,1,0,0,1,0,0,0,0,7,1
ABLA D,2,1,2,0,0,0,0,0,1,0,0,0,0,3,1
ABLA D,4,4,1,0,0,2,0,2,0,0,0,2,0,7,4
ABLA D,5,1,3,0,0,0,1,0,3,0,0,0,1,5,4
AIELLO R,2,0,0,1,0,2,0,0,0,1,0,2,0,3,3
AIELLO R,3,0,1,3,0,1,0,0,1,1,0,1,0,5,3
ARIMA Y,5,1,2,0,0,1,0,1,1,0,0,0,0,4,2
BAHIA V,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0
BAHIA V,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BAHIA V,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BAHIA V,5,0,1,1,0,0,0,0,0,0,0,0,0,2,0
BARRETT N,4,2,2,0,0,0,0,0,0,0,0,0,0,4,0
BELORIO L,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
BELORIO L,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BELORIO L,5,1,1,1,0,0,0,0,0,0,0,0,0,3,0
BI Y,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BIANCONI R,2,0,3,0,0,0,1,0,1,0,0,0,1,4,2
BIANCONI R,3,3,0,0,0,2,1,0,0,0,0,2,1,6,3
BRUZZO M,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
BRUZZO M,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
CHAMORRO V,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
CHEN X,1,0,1,0,2,0,0,0,1,0,1,0,0,3,2
CHEN X,3,0,0,0,0,2,0,0,0,0,0,2,0,2,2
COTTI A,3,1,0,0,0,1,0,0,0,0,0,1,0,2,1
