Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA,Result,Goal
Counter attack,10.0,1,0,RSA,1.0,NEUSHUL J,0 - 1,448,USA,7:28,1,Goal,1
Centre shot,11.0,1,0,RSA,1.0,FISCHER M,0 - 2,399,USA,6:39,2,Goal,1
Action shot,11.0,1,0,RSA,1.0,FISCHER M,0 - 3,352,USA,5:52,3,Goal,1
Action shot,11.0,1,0,RSA,1.0,BARRETT N,0 - 3,331,RSA,5:31,3,Missed,0
Action shot,12.0,1,0,RSA,1.0,WILLIAMS A,0 - 3,316,USA,5:16,3,Post,0
Action shot,12.0,1,0,RSA,1.0,WILLIAMS A,0 - 4,273,USA,4:33,4,Goal,1
Action shot,5.0,1,0,RSA,1.0,HAUSCHILD P,0 - 4,237,USA,3:57,4,Post,0
Action shot,4.0,1,0,RSA,1.0,FATTAL R,0 - 4,165,USA,2:45,4,Post,0
Action shot,11.0,1,0,RSA,1.0,FISCHER M,0 - 4,126,USA,2:06,4,Post,0
Counter attack,4.0,1,0,RSA,1.0,FATTAL R,0 - 5,46,USA,0:46,5,Goal,1
Action shot,10.0,1,0,RSA,1.0,NEUSHUL J,0 - 6,26,USA,0:26,6,Goal,1
Centre shot,4.0,1,0,RSA,2.0,FATTAL R,0 - 7,452,USA,7:32,7,Goal,1
Centre shot,12.0,1,0,RSA,2.0,WHITE K,0 - 7,423,RSA,7:03,7,Missed,0
Action shot,4.0,1,0,RSA,2.0,FATTAL R,0 - 8,417,USA,6:57,8,Goal,1
5m shot,7.0,1,0,RSA,2.0,WESSELS C,0 - 8,386,RSA,6:26,8,Post,0
Action shot,11.0,1,0,RSA,2.0,FISCHER M,0 - 8,367,USA,6:07,8,Missed,0
Counter attack,10.0,1,0,RSA,2.0,NEUSHUL J,0 - 9,327,USA,5:27,9,Goal,1
Action shot,9.0,1,0,RSA,2.0,SMIT Z,0 - 9,308,RSA,5:08,9,Saved,0
Action shot,5.0,1,0,RSA,2.0,HAUSCHILD P,0 - 10,298,USA,4:58,10,Goal,1
Extra player shot,12.0,1,0,RSA,2.0,WILLIAMS A,0 - 10,229,USA,3:49,10,Saved,0
5m shot,11.0,1,0,RSA,2.0,BARRETT N,0 - 10,212,RSA,3:32,10,Saved,0
Centre shot,9.0,1,0,RSA,2.0,FISCHER A,0 - 10,194,USA,3:14,10,Post,0
Action shot,3.0,1,0,RSA,2.0,SEIDEMANN M,0 - 11,144,USA,2:24,11,Goal,1
Centre shot,8.0,1,0,RSA,2.0,NEUSHUL K,0 - 12,103,USA,1:43,12,Goal,1
Action shot,2.0,1,0,RSA,2.0,PENNEY A,0 - 12,29,RSA,0:29,12,Post,0
Centre shot,3.0,1,0,RSA,2.0,SEIDEMANN M,0 - 13,18,USA,0:18,13,Goal,1
Action shot,11.0,1,1,RSA,3.0,BARRETT N,1 - 13,459,RSA,7:39,13,Goal,1
Action shot,10.0,1,1,RSA,3.0,NEUSHUL J,1 - 14,436,USA,7:16,14,Goal,1
Centre shot,3.0,1,1,RSA,3.0,SEIDEMANN M,1 - 15,386,USA,6:26,15,Goal,1
Action shot,4.0,1,1,RSA,3.0,FATTAL R,1 - 15,340,USA,5:40,15,Missed,0
Action shot,2.0,1,2,RSA,3.0,PENNEY A,2 - 15,302,RSA,5:02,15,Goal,1
Centre shot,3.0,1,2,RSA,3.0,SEIDEMANN M,2 - 16,248,USA,4:08,16,Goal,1
Action shot,8.0,1,2,RSA,3.0,NEUSHUL K,2 - 17,199,USA,3:19,17,Goal,1
Action shot,11.0,1,2,RSA,3.0,FISCHER M,2 - 17,149,USA,2:29,17,Post,0
Action shot,11.0,1,2,RSA,3.0,FISCHER M,2 - 17,80,USA,1:20,17,Post,0
Extra player shot,9.0,1,2,RSA,3.0,FISCHER A,2 - 18,72,USA,1:12,18,Goal,1
