AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
0,Action shot,4.0,1,0,SRB,1.0,UDOVICIC V,0 - 0,423,SRB,7:03,Blocked,0
0,Action shot,5.0,1,0,SRB,1.0,POWER N,0 - 0,399,AUS,6:39,Post,0
0,Counter attack,4.0,1,1,SRB,1.0,UDOVICIC V,1 - 0,335,SRB,5:35,Goal,1
0,Action shot,11.0,1,1,SRB,1.0,PRLAINOVIC A,1 - 0,277,SRB,4:37,Blocked,0
1,Extra player shot,11.0,1,1,SRB,1.0,HOWDEN R,1 - 1,257,AUS,4:17,Goal,1
1,Extra player shot,6.0,1,2,SRB,1.0,PIJETLOVIC D,2 - 1,228,SRB,3:48,Goal,1
2,Centre shot,9.0,1,2,SRB,1.0,SWIFT J,2 - 2,206,AUS,3:26,Goal,1
2,Action shot,2.0,1,2,SRB,1.0,CAMPBELL R,2 - 2,159,AUS,2:39,Saved,0
2,Extra player shot,4.0,1,3,SRB,1.0,UDOVICIC V,3 - 2,124,SRB,2:04,Goal,1
2,Action shot,6.0,1,3,SRB,1.0,GILCHRIST J,3 - 2,95,AUS,1:35,Saved,0
3,Extra player shot,8.0,1,3,SRB,1.0,YOUNGER A,3 - 3,66,AUS,1:06,Goal,1
3,Extra player shot,10.0,1,4,SRB,1.0,FILIPOVIC F,4 - 3,29,SRB,0:29,Goal,1
3,Action shot,2.0,1,4,SRB,1.0,CAMPBELL R,4 - 3,3,AUS,0:03,Saved,0
3,Action shot,12.0,1,4,SRB,1.0,MILLER W,4 - 3,2,AUS,0:02,Blocked,0
3,Extra player shot,7.0,1,5,SRB,2.0,NIKIC S,5 - 3,352,SRB,5:52,Goal,1
3,Extra player shot,7.0,1,5,SRB,2.0,ROACH A,5 - 3,319,AUS,5:19,Missed,0
3,Extra player shot,10.0,1,5,SRB,2.0,FILIPOVIC F,5 - 3,288,SRB,4:48,Blocked,0
3,Action shot,8.0,1,5,SRB,2.0,YOUNGER A,5 - 3,211,AUS,3:31,Missed,0
3,Extra player shot,10.0,1,6,SRB,2.0,FILIPOVIC F,6 - 3,186,SRB,3:06,Goal,1
3,Action shot,2.0,1,6,SRB,2.0,CAMPBELL R,6 - 3,162,AUS,2:42,Post,0
3,Action shot,11.0,1,6,SRB,2.0,PRLAINOVIC A,6 - 3,138,SRB,2:18,Blocked,0
3,5m shot,9.0,1,6,SRB,2.0,SWIFT J,6 - 3,111,AUS,1:51,Saved,0
3,Action shot,2.0,1,6,SRB,2.0,MANDIC D,6 - 3,88,SRB,1:28,Saved,0
3,Action shot,6.0,1,6,SRB,2.0,GILCHRIST J,6 - 3,61,AUS,1:01,Missed,0
3,Centre shot,9.0,1,6,SRB,3.0,SWIFT J,6 - 3,452,AUS,7:32,Saved,0
3,Centre shot,8.0,1,6,SRB,3.0,YOUNGER A,6 - 3,372,AUS,6:12,Saved,0
3,Action shot,11.0,1,6,SRB,3.0,PRLAINOVIC A,6 - 3,349,SRB,5:49,Saved,0
4,Action shot,2.0,1,6,SRB,3.0,CAMPBELL R,6 - 4,325,AUS,5:25,Goal,1
4,Action shot,9.0,1,6,SRB,3.0,RADEN N,6 - 4,290,SRB,4:50,Saved,0
5,Centre shot,10.0,1,6,SRB,3.0,MARTIN T,6 - 5,244,AUS,4:04,Goal,1
5,Extra player shot,4.0,1,7,SRB,3.0,UDOVICIC V,7 - 5,214,SRB,3:34,Goal,1
5,Action shot,2.0,1,7,SRB,3.0,MANDIC D,7 - 5,167,SRB,2:47,Missed,0
5,Extra player shot,4.0,1,7,SRB,3.0,COTTERILL J,7 - 5,125,AUS,2:05,Saved,0
5,Extra player shot,4.0,1,7,SRB,3.0,UDOVICIC V,7 - 5,1,SRB,0:01,Blocked,0
5,Action shot,3.0,1,8,SRB,4.0,GOCIC Z,8 - 5,435,SRB,7:15,Goal,1
5,Centre shot,9.0,1,8,SRB,4.0,SWIFT J,8 - 5,356,AUS,5:56,Missed,0
5,Action shot,10.0,1,8,SRB,4.0,MARTIN T,8 - 5,313,AUS,5:13,Saved,0
5,Action shot,2.0,1,8,SRB,4.0,CAMPBELL R,8 - 5,295,AUS,4:55,Missed,0
5,Action shot,5.0,1,8,SRB,4.0,CUK M,8 - 5,272,SRB,4:32,Saved,0
5,Extra player shot,12.0,1,8,SRB,4.0,MILLER W,8 - 5,238,AUS,3:58,Saved,0
5,Extra player shot,6.0,1,9,SRB,4.0,PIJETLOVIC D,9 - 5,211,SRB,3:31,Goal,1
5,Action shot,9.0,1,9,SRB,4.0,RADEN N,9 - 5,165,SRB,2:45,Post,0
6,5m shot,7.0,1,9,SRB,4.0,ROACH A,9 - 6,141,AUS,2:21,Goal,1
7,5m shot,12.0,1,9,SRB,4.0,MILLER W,9 - 7,96,AUS,1:36,Goal,1
7,Centre shot,6.0,1,10,SRB,4.0,PIJETLOVIC D,10 - 7,78,SRB,1:18,Goal,1
7,Action shot,11.0,1,10,SRB,4.0,PRLAINOVIC A,10 - 7,21,SRB,0:21,Post,0
0,Extra player shot,11.0,2,0,CHN,1.0,HOWDEN R,0 - 0,436,AUS,7:16,Blocked,0
0,Action shot,8.0,2,0,CHN,1.0,YOUNGER A,0 - 0,421,AUS,7:01,Post,0
0,Centre shot,12.0,2,0,CHN,1.0,LIANG N,0 - 0,398,CHN,6:38,Saved,0
1,Action shot,2.0,2,0,CHN,1.0,CAMPBELL R,0 - 1,381,AUS,6:21,Goal,1
1,Extra player shot,3.0,2,0,CHN,1.0,LIANG Z,0 - 1,340,CHN,5:40,Missed,0
1,Action shot,8.0,2,0,CHN,1.0,WANG Y,0 - 1,281,CHN,4:41,Saved,0
1,Extra player shot,9.0,2,0,CHN,1.0,SWIFT J,0 - 1,238,AUS,3:58,Saved,0
1,Centre shot,8.0,2,0,CHN,1.0,YOUNGER A,0 - 1,227,AUS,3:47,Saved,0
1,5m shot,2.0,2,1,CHN,1.0,TAN F,1 - 1,206,CHN,3:26,Goal,1
2,Counter attack,7.0,2,1,CHN,1.0,ROACH A,1 - 2,131,AUS,2:11,Goal,1
2,Centre shot,3.0,2,1,CHN,1.0,MARTIN M,1 - 2,84,AUS,1:24,Saved,0
3,Centre shot,6.0,2,1,CHN,1.0,GILCHRIST J,1 - 3,72,AUS,1:12,Goal,1
4,Action shot,11.0,2,1,CHN,1.0,HOWDEN R,1 - 4,22,AUS,0:22,Goal,1
4,Extra player shot,7.0,2,1,CHN,1.0,LI B,1 - 4,1,CHN,0:01,Post,0
4,Penalty shot,7.0,2,2,CHN,2.0,LI B,2 - 4,447,CHN,7:27,Goal,1
4,5m shot,3.0,2,2,CHN,2.0,LIANG Z,2 - 4,407,CHN,6:47,Post,0
4,Centre shot,7.0,2,2,CHN,2.0,ROACH A,2 - 4,379,AUS,6:19,Saved,0
5,Action shot,11.0,2,2,CHN,2.0,HOWDEN R,2 - 5,336,AUS,5:36,Goal,1
5,Action shot,2.0,2,2,CHN,2.0,TAN F,2 - 5,310,CHN,5:10,Blocked,0
5,Centre shot,8.0,2,2,CHN,2.0,YOUNGER A,2 - 5,292,AUS,4:52,Saved,0
5,5m shot,2.0,2,2,CHN,2.0,TAN F,2 - 5,262,CHN,4:22,Saved,0
5,5m shot,3.0,2,2,CHN,2.0,LIANG Z,2 - 5,208,CHN,3:28,Saved,0
