Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,0,1.0,1,0,RSA,1.0,FLATSCHER D,0 - 0,480,RSA,8:00
Starting goalkeeper,0,1.0,1,0,RSA,1.0,RANDALL R,0 - 0,480,CAN,8:00
Sprint won possession,0,8.0,1,0,RSA,1.0,GRAHAM K,0 - 0,480,CAN,8:00
Turnover foul,0,4.0,1,0,RSA,1.0,CONSTANTIN-BICARI,0 - 0,455,CAN,7:35
Steal,0,13.0,1,0,RSA,1.0,STEWART D,0 - 0,455,RSA,7:35
20 sec. exclusion in centre,0,10.0,1,0,RSA,1.0,CONWAY J,0 - 0,439,CAN,7:19
Extra player shot - Goal,0,8.0,1,1,RSA,1.0,BELL R,0 - 1,420,RSA,7:00
Penalty foul,0,8.0,1,1,RSA,1.0,BELL R,0 - 1,409,RSA,6:49
Penalty shot - Goal,1,9.0,1,1,RSA,1.0,DIGGLE D,1 - 1,409,CAN,6:49
Centre shot - Goal,1,3.0,1,2,RSA,1.0,CARD D,1 - 2,385,RSA,6:25
Turnover foul,1,4.0,1,2,RSA,1.0,CONSTANTIN-BICARI,1 - 2,373,CAN,6:13
Steal,1,8.0,1,2,RSA,1.0,BELL R,1 - 2,373,RSA,6:13
Turnover foul,1,3.0,1,2,RSA,1.0,CARD D,1 - 2,360,RSA,6:00
20 sec. exclusion in centre,1,8.0,1,2,RSA,1.0,BELL R,1 - 2,347,RSA,5:47
Extra player shot - Goal,2,8.0,1,2,RSA,1.0,GRAHAM K,2 - 2,332,CAN,5:32
20 sec. exclusion in field,2,8.0,1,2,RSA,1.0,GRAHAM K,2 - 2,308,CAN,5:08
Extra player shot - Blocked,2,2.0,1,2,RSA,1.0,le ROUX E,2 - 2,288,RSA,4:48
Centre shot - Goal,3,4.0,1,2,RSA,1.0,CONSTANTIN-BICARI,3 - 2,267,CAN,4:27
Action shot - Post,3,13.0,1,2,RSA,1.0,STEWART D,3 - 2,241,RSA,4:01
Centre shot - Missed,3,3.0,1,2,RSA,1.0,VIKALO O,3 - 2,214,CAN,3:34
Turnover foul,3,10.0,1,2,RSA,1.0,le ROUX P,3 - 2,192,RSA,3:12
Steal,3,10.0,1,2,RSA,1.0,CONWAY J,3 - 2,192,CAN,3:12
Action shot - Post,3,5.0,1,2,RSA,1.0,BOYD J,3 - 2,166,CAN,2:46
Turnover foul,3,10.0,1,2,RSA,1.0,le ROUX P,3 - 2,135,RSA,2:15
Steal,3,9.0,1,2,RSA,1.0,DIGGLE D,3 - 2,135,CAN,2:15
Centre shot - Goal,4,3.0,1,2,RSA,1.0,VIKALO O,4 - 2,112,CAN,1:52
Action shot - Blocked,4,13.0,1,2,RSA,1.0,STEWART D,4 - 2,91,RSA,1:31
Turnover foul,4,5.0,1,2,RSA,1.0,BOYD J,4 - 2,78,CAN,1:18
Centre shot - Missed,4,4.0,1,2,RSA,1.0,BADENHORST I,4 - 2,49,RSA,0:49
Centre shot - Saved,4,4.0,1,2,RSA,1.0,CONSTANTIN-BICARI,4 - 2,44,CAN,0:44
Turnover foul,4,4.0,1,2,RSA,1.0,CONSTANTIN-BICARI,4 - 2,40,CAN,0:40
Turnover foul,4,2.0,1,2,RSA,1.0,le ROUX E,4 - 2,21,RSA,0:21
Steal,4,4.0,1,2,RSA,1.0,CONSTANTIN-BICARI,4 - 2,21,CAN,0:21
5m shot - Blocked,4,9.0,1,2,RSA,1.0,DIGGLE D,4 - 2,2,CAN,0:02
Starting goalkeeper,4,1.0,1,2,RSA,2.0,FLATSCHER D,4 - 2,480,RSA,8:00
Starting goalkeeper,4,1.0,1,2,RSA,2.0,RANDALL R,4 - 2,480,CAN,8:00
Sprint won possession,4,8.0,1,2,RSA,2.0,GRAHAM K,4 - 2,480,CAN,8:00
