Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,0,1.0,1,0,HUN,1.0,GE W,0 - 0,480,CHN,8:00
Starting goalkeeper,0,1.0,1,0,HUN,1.0,NAGY V,0 - 0,480,HUN,8:00
Sprint won possession,0,8.0,1,0,HUN,1.0,WANG Y,0 - 0,480,CHN,8:00
Turnover foul,0,11.0,1,0,HUN,1.0,ZHANG C,0 - 0,462,CHN,7:42
Turnover foul,0,3.0,1,0,HUN,1.0,MADARAS N,0 - 0,443,HUN,7:23
Turnover foul,0,12.0,1,0,HUN,1.0,LIANG N,0 - 0,420,CHN,7:00
Steal,0,6.0,1,0,HUN,1.0,HOSNYANSZKY N,0 - 0,420,HUN,7:00
Turnover foul,0,12.0,1,0,HUN,1.0,HARAI B,0 - 0,400,HUN,6:40
Steal,0,1.0,1,0,HUN,1.0,GE W,0 - 0,400,CHN,6:40
Action shot - Goal,1,11.0,1,0,HUN,1.0,ZHANG C,0 - 1,377,CHN,6:17
Penalty foul,1,2.0,1,0,HUN,1.0,TAN F,0 - 1,363,CHN,6:03
Penalty shot - Goal,1,10.0,1,1,HUN,1.0,VARGA D,1 - 1,363,HUN,6:03
5m shot - Saved,1,3.0,1,1,HUN,1.0,LIANG Z,1 - 1,337,CHN,5:37
5m shot - Goal,1,8.0,1,2,HUN,1.0,SZIVOS M,2 - 1,311,HUN,5:11
5m shot - Blocked,1,7.0,1,2,HUN,1.0,LI B,2 - 1,285,CHN,4:45
Turnover foul,1,12.0,1,2,HUN,1.0,HARAI B,2 - 1,271,HUN,4:31
Turnover foul,1,12.0,1,2,HUN,1.0,LIANG N,2 - 1,258,CHN,4:18
Turnover foul,1,12.0,1,2,HUN,1.0,HARAI B,2 - 1,241,HUN,4:01
5m shot - Saved,1,3.0,1,2,HUN,1.0,LIANG Z,2 - 1,212,CHN,3:32
20 sec. exclusion in field,1,2.0,1,2,HUN,1.0,TAN F,2 - 1,212,CHN,3:32
5m shot - Goal,1,8.0,1,3,HUN,1.0,SZIVOS M,3 - 1,185,HUN,3:05
20 sec. exclusion in field,1,5.0,1,3,HUN,1.0,VAMOS M,3 - 1,170,HUN,2:50
Turnover foul,1,12.0,1,3,HUN,1.0,LIANG N,3 - 1,144,CHN,2:24
Steal,1,5.0,1,3,HUN,1.0,VAMOS M,3 - 1,144,HUN,2:24
Turnover foul,1,11.0,1,3,HUN,1.0,BEDO K,3 - 1,128,HUN,2:08
Centre shot - Post,1,11.0,1,3,HUN,1.0,BEDO K,3 - 1,79,HUN,1:19
Turnover foul,1,4.0,1,3,HUN,1.0,BATORI B,3 - 1,30,HUN,0:30
Steal,1,9.0,1,3,HUN,1.0,XIE J,3 - 1,30,CHN,0:30
20 sec. exclusion in field,1,6.0,1,3,HUN,1.0,HOSNYANSZKY N,3 - 1,12,HUN,0:12
Extra player shot - Saved,1,5.0,1,3,HUN,1.0,GUO J,3 - 1,2,CHN,0:02
Starting goalkeeper,1,1.0,1,3,HUN,2.0,NAGY V,3 - 1,480,HUN,8:00
Starting goalkeeper,1,1.0,1,3,HUN,2.0,GE W,3 - 1,480,CHN,8:00
Sprint won possession,1,8.0,1,3,HUN,2.0,WANG Y,3 - 1,480,CHN,8:00
Turnover foul,1,4.0,1,3,HUN,2.0,JIANG B,3 - 1,452,CHN,7:32
Steal,1,3.0,1,3,HUN,2.0,MADARAS N,3 - 1,452,HUN,7:32
Turnover foul,1,10.0,1,3,HUN,2.0,VARGA D,3 - 1,424,HUN,7:04
Steal,1,3.0,1,3,HUN,2.0,LIANG Z,3 - 1,424,CHN,7:04
20 sec. exclusion in field,1,5.0,1,3,HUN,2.0,VAMOS M,3 - 1,401,HUN,6:41
Extra player shot - Blocked,1,5.0,1,3,HUN,2.0,GUO J,3 - 1,383,CHN,6:23
5m shot - Saved,1,2.0,1,3,HUN,2.0,GOR-NAGY M,3 - 1,359,HUN,5:59
5m shot - Goal,2,3.0,1,3,HUN,2.0,LIANG Z,3 - 2,332,CHN,5:32
