Action,CRO,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,0,1.0,1,0,USA,1.0,PAVIC J,0 - 0,480,CRO,8:00
Starting goalkeeper,0,1.0,1,0,USA,1.0,MOSES M,0 - 0,480,USA,8:00
Sprint won possession,0,5.0,1,0,USA,1.0,JOKOVIC M,0 - 0,480,CRO,8:00
Action shot - Saved,0,12.0,1,0,USA,1.0,OBRADOVIC P,0 - 0,452,CRO,7:32
Turnover foul,0,1.0,1,0,USA,1.0,MOSES M,0 - 0,448,USA,7:28
Counter attack - Goal,1,9.0,1,0,USA,1.0,SUKNO S,1 - 0,445,CRO,7:25
Turnover foul,1,10.0,1,0,USA,1.0,HUTTEN T,1 - 0,428,USA,7:08
Steal,1,8.0,1,0,USA,1.0,BUSLJE A,1 - 0,428,CRO,7:08
Action shot - Post,1,12.0,1,0,USA,1.0,OBRADOVIC P,1 - 0,401,CRO,6:41
Action shot - Post,1,2.0,1,0,USA,1.0,WIGO J,1 - 0,373,USA,6:13
20 sec. exclusion in centre,1,11.0,1,0,USA,1.0,ROSENTHAL M,1 - 0,356,USA,5:56
Turnover foul,1,7.0,1,0,USA,1.0,MUSLIM P,1 - 0,334,CRO,5:34
20 sec. exclusion in field,1,12.0,1,0,USA,1.0,OBRADOVIC P,1 - 0,325,CRO,5:25
Extra player shot - Post,1,8.0,1,0,USA,1.0,AZEVEDO A,1 - 0,313,USA,5:13
Turnover foul,1,7.0,1,0,USA,1.0,MUSLIM P,1 - 0,293,CRO,4:53
Steal,1,3.0,1,0,USA,1.0,OBERT A,1 - 0,293,USA,4:53
20 sec. exclusion in field,1,7.0,1,0,USA,1.0,MUSLIM P,1 - 0,276,CRO,4:36
Extra player shot - Saved,1,10.0,1,0,USA,1.0,HUTTEN T,1 - 0,260,USA,4:20
Action shot - Post,1,5.0,1,0,USA,1.0,JOKOVIC M,1 - 0,232,CRO,3:52
Action shot - Goal,1,10.0,1,1,USA,1.0,HUTTEN T,1 - 1,206,USA,3:26
Action shot - Saved,1,5.0,1,1,USA,1.0,JOKOVIC M,1 - 1,182,CRO,3:02
20 sec. exclusion in centre,1,3.0,1,1,USA,1.0,MILAKOVIC I,1 - 1,163,CRO,2:43
Extra player shot - Post,1,4.0,1,1,USA,1.0,BOWEN A,1 - 1,151,USA,2:31
Turnover foul,1,4.0,1,1,USA,1.0,PASKVALIN F,1 - 1,129,CRO,2:09
Turnover foul,1,5.0,1,1,USA,1.0,de TRANE M,1 - 1,119,USA,1:59
Turnover foul,1,6.0,1,1,USA,1.0,BUKIC L,1 - 1,99,CRO,1:39
Steal,1,9.0,1,1,USA,1.0,BUCKNER S,1 - 1,99,USA,1:39
Turnover foul,1,12.0,1,1,USA,1.0,MANN J,1 - 1,72,USA,1:12
Steal,1,11.0,1,1,USA,1.0,SETKA A,1 - 1,72,CRO,1:12
Action shot - Saved,1,11.0,1,1,USA,1.0,SETKA A,1 - 1,51,CRO,0:51
Turnover foul,1,4.0,1,1,USA,1.0,PASKVALIN F,1 - 1,23,CRO,0:23
Steal,1,1.0,1,1,USA,1.0,MOSES M,1 - 1,23,USA,0:23
5m shot - Saved,1,5.0,1,1,USA,1.0,JOKOVIC M,1 - 1,2,CRO,0:02
Starting goalkeeper,1,1.0,1,1,USA,2.0,MOSES M,1 - 1,480,USA,8:00
Starting goalkeeper,1,1.0,1,1,USA,2.0,PAVIC J,1 - 1,480,CRO,8:00
Sprint won possession,1,9.0,1,1,USA,2.0,SUKNO S,1 - 1,480,CRO,8:00
Turnover foul,1,3.0,1,1,USA,2.0,OBERT A,1 - 1,427,USA,7:07
Steal,1,9.0,1,1,USA,2.0,SUKNO S,1 - 1,427,CRO,7:07
20 sec. exclusion in centre,1,5.0,1,1,USA,2.0,de TRANE M,1 - 1,406,USA,6:46
Extra player shot - Goal,2,12.0,1,1,USA,2.0,OBRADOVIC P,2 - 1,388,CRO,6:28
20 sec. exclusion in centre,2,2.0,1,1,USA,2.0,LONCAR L,2 - 1,366,CRO,6:06
Extra player shot - Goal,2,12.0,1,2,USA,2.0,MANN J,2 - 2,348,USA,5:48
20 sec. exclusion in centre,2,2.0,1,2,USA,2.0,WIGO J,2 - 2,330,USA,5:30
Extra player shot - Missed,2,7.0,1,2,USA,2.0,MUSLIM P,2 - 2,327,CRO,5:27
Turnover foul,2,8.0,1,2,USA,2.0,AZEVEDO A,2 - 2,310,USA,5:10
5m shot - Saved,2,12.0,1,2,USA,2.0,OBRADOVIC P,2 - 2,285,CRO,4:45
20 sec. exclusion in field,2,2.0,1,2,USA,2.0,LONCAR L,2 - 2,271,CRO,4:31
Extra player shot - Blocked,2,2.0,1,2,USA,2.0,WIGO J,2 - 2,249,USA,4:09
Turnover foul,2,9.0,1,2,USA,2.0,SUKNO S,2 - 2,224,CRO,3:44
Steal,2,10.0,1,2,USA,2.0,HUTTEN T,2 - 2,224,USA,3:44
Action shot - Saved,2,2.0,1,2,USA,2.0,WIGO J,2 - 2,202,USA,3:22
Turnover foul,2,10.0,1,2,USA,2.0,DOBUD N,2 - 2,185,CRO,3:05
Turnover foul,2,8.0,1,2,USA,2.0,AZEVEDO A,2 - 2,162,USA,2:42
Steal,2,12.0,1,2,USA,2.0,OBRADOVIC P,2 - 2,162,CRO,2:42
Action shot - Post,2,11.0,1,2,USA,2.0,SETKA A,2 - 2,142,CRO,2:22
Action shot - Post,2,7.0,1,2,USA,2.0,MUSLIM P,2 - 2,123,CRO,2:03
20 sec. exclusion in field,2,9.0,1,2,USA,2.0,SUKNO S,2 - 2,100,CRO,1:40
Time-Out,2,,1,2,USA,2.0,,2 - 2,100,USA,1:40
Action shot - Goal,2,5.0,1,3,USA,2.0,de TRANE M,2 - 3,76,USA,1:16
Action shot - Goal,3,12.0,1,3,USA,2.0,OBRADOVIC P,3 - 3,49,CRO,0:49
20 sec. exclusion in field,3,7.0,1,3,USA,2.0,KRUMPHOLZ J,3 - 3,20,USA,0:20
Turnover foul,3,7.0,1,3,USA,2.0,KRUMPHOLZ J,3 - 3,15,USA,0:15
Extra player shot - Post,3,9.0,1,3,USA,2.0,SUKNO S,3 - 3,1,CRO,0:01
Steal,3,9.0,1,3,USA,4.0,BUCKNER S,3 - 3,29,USA,0:29
Centre shot - Goal,9,12.0,1,7,USA,4.0,MANN J,9 - 7,6,USA,0:06
Starting goalkeeper,9,1.0,1,7,USA,3.0,PAVIC J,9 - 7,480,CRO,8:00
Starting goalkeeper,9,1.0,1,7,USA,3.0,MOSES M,9 - 7,480,USA,8:00
Sprint won possession,9,11.0,1,7,USA,3.0,SETKA A,9 - 7,480,CRO,8:00
20 sec. exclusion in field,9,8.0,1,7,USA,3.0,AZEVEDO A,9 - 7,460,USA,7:40
Extra player shot - Blocked,9,8.0,1,7,USA,3.0,BUSLJE A,9 - 7,440,CRO,7:20
20 sec. exclusion in field,9,11.0,1,7,USA,3.0,SETKA A,9 - 7,403,CRO,6:43
Extra player shot - Saved,9,4.0,1,7,USA,3.0,BOWEN A,9 - 7,386,USA,6:26
Action shot - Saved,9,2.0,1,7,USA,3.0,WIGO J,9 - 7,375,USA,6:15
Action shot - Goal,4,5.0,1,3,USA,3.0,JOKOVIC M,4 - 3,357,CRO,5:57
Action shot - Saved,4,8.0,1,3,USA,3.0,AZEVEDO A,4 - 3,327,USA,5:27
Turnover foul,4,9.0,1,3,USA,3.0,BUCKNER S,4 - 3,308,USA,5:08
Steal,4,5.0,1,3,USA,3.0,JOKOVIC M,4 - 3,308,CRO,5:08
20 sec. exclusion in field,4,5.0,1,3,USA,3.0,de TRANE M,4 - 3,283,USA,4:43
Extra player shot - Goal,5,10.0,1,3,USA,3.0,DOBUD N,5 - 3,265,CRO,4:25
Turnover foul,5,7.0,1,3,USA,3.0,KRUMPHOLZ J,5 - 3,245,USA,4:05
