Action,Cap,GER,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,0,1,0,KAZ,1.0,MAXIMOV N,0 - 0,480,KAZ,8:00
Starting goalkeeper,13.0,0,1,0,KAZ,1.0,SCHENKEL M,0 - 0,480,GER,8:00
Sprint won possession,10.0,0,1,0,KAZ,1.0,OELER M,0 - 0,480,GER,8:00
Turnover foul,9.0,0,1,0,KAZ,1.0,STAMM M,0 - 0,453,GER,7:33
Steal,7.0,0,1,0,KAZ,1.0,USHAKOV V,0 - 0,453,KAZ,7:33
5m shot - Post,9.0,0,1,0,KAZ,1.0,UKUMANOV R,0 - 0,426,KAZ,7:06
5m shot - Blocked,4.0,0,1,0,KAZ,1.0,REAL J,0 - 0,399,GER,6:39
20 sec. exclusion in centre,4.0,0,1,0,KAZ,1.0,REAL J,0 - 0,373,GER,6:13
Action shot - Goal,7.0,0,1,1,KAZ,1.0,USHAKOV V,0 - 1,349,KAZ,5:49
20 sec. exclusion in centre,4.0,0,1,1,KAZ,1.0,PILIPENKO R,0 - 1,334,KAZ,5:34
Extra player shot - Goal,2.0,1,1,1,KAZ,1.0,BUKOWSKI E,1 - 1,316,GER,5:16
20 sec. exclusion in field,10.0,1,1,1,KAZ,1.0,OELER M,1 - 1,288,GER,4:48
Centre shot - Saved,11.0,1,1,1,KAZ,1.0,MANAFOV R,1 - 1,263,KAZ,4:23
Turnover foul,9.0,1,1,1,KAZ,1.0,STAMM M,1 - 1,247,GER,4:07
Steal,8.0,1,1,1,KAZ,1.0,KOLIADENKO A,1 - 1,247,KAZ,4:07
Action shot - Goal,7.0,1,1,2,KAZ,1.0,USHAKOV V,1 - 2,226,KAZ,3:46
5m shot - Goal,7.0,2,1,2,KAZ,1.0,NOSSEK H,2 - 2,199,GER,3:19
Turnover foul,4.0,2,1,2,KAZ,1.0,PILIPENKO R,2 - 2,182,KAZ,3:02
5m shot - Post,7.0,2,1,2,KAZ,1.0,NOSSEK H,2 - 2,155,GER,2:35
20 sec. exclusion in centre,8.0,2,1,2,KAZ,1.0,SCHUELER P,2 - 2,125,GER,2:05
Action shot - Missed,9.0,2,1,2,KAZ,1.0,UKUMANOV R,2 - 2,108,KAZ,1:48
5m shot - Saved,7.0,2,1,2,KAZ,1.0,NOSSEK H,2 - 2,79,GER,1:19
Centre shot - Saved,5.0,2,1,2,KAZ,1.0,SHAKENOV M,2 - 2,56,KAZ,0:56
Action shot - Goal,3.0,3,1,2,KAZ,1.0,MIERS E,3 - 2,43,GER,0:43
Centre shot - Goal,12.0,3,1,3,KAZ,1.0,PEKOVICH B,3 - 3,14,KAZ,0:14
20 sec. exclusion in field,3.0,3,1,3,KAZ,1.0,MEDVEDEV Y,3 - 3,5,KAZ,0:05
Extra player shot - Missed,3.0,3,1,3,KAZ,1.0,MIERS E,3 - 3,1,GER,0:01
Starting goalkeeper,1.0,3,1,3,KAZ,2.0,MAXIMOV N,3 - 3,480,KAZ,8:00
Starting goalkeeper,13.0,3,1,3,KAZ,2.0,SCHENKEL M,3 - 3,480,GER,8:00
Sprint won possession,2.0,3,1,3,KAZ,2.0,GUBAREV S,3 - 3,480,KAZ,8:00
20 sec. exclusion in field,4.0,3,1,3,KAZ,2.0,REAL J,3 - 3,462,GER,7:42
Extra player shot - Missed,4.0,3,1,3,KAZ,2.0,PILIPENKO R,3 - 3,445,KAZ,7:25
