Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
BUKOWSKI E,1,3,0,0,0,1,0,1,0,0,0,1,0,4,2
BUKOWSKI E,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
BUKOWSKI E,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
BUKOWSKI E,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
EIDNER D,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0
EIDNER D,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0
EIDNER D,3,0,1,3,0,1,0,0,1,1,0,1,0,5,3
JUENGLING M,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
JUENGLING M,2,1,0,0,0,1,0,0,0,0,0,0,0,2,0
JUENGLING M,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0
JUENGLING M,4,1,0,0,0,1,0,0,0,0,0,1,0,2,1
MIERS E,1,0,1,0,0,2,0,0,1,0,0,0,0,3,1
MIERS E,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1
NOSSEK H,1,7,0,0,0,1,1,2,0,0,0,0,1,9,3
NOSSEK H,2,2,0,0,0,0,0,1,0,0,0,0,0,2,1
NOSSEK H,3,1,5,0,0,0,2,0,0,0,0,0,2,8,2
NOSSEK H,4,3,1,0,0,2,0,0,0,0,0,2,0,6,2
OELER M,1,3,0,0,0,0,0,1,0,0,0,0,0,3,1
OELER M,2,0,1,0,0,1,0,0,1,0,0,0,0,2,1
OELER M,3,2,1,0,0,1,0,1,0,0,0,0,0,4,1
OELER M,4,2,1,0,0,0,0,0,0,0,0,0,0,3,0
REAL J,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0
REAL J,2,5,0,1,0,0,0,1,0,1,0,0,0,6,2
REAL J,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
REAL J,4,2,1,1,0,0,0,0,0,1,0,0,0,4,1
ROHE T,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ROHE T,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
SCHLOTTERBECK A,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
SCHLOTTERBECK A,2,0,0,1,1,0,0,0,0,1,1,0,0,2,2
SCHLOTTERBECK A,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
SCHUELER P,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1
SCHUELER P,2,0,0,0,0,1,0,0,0,0,0,1,0,1,1
SCHUELER P,3,1,2,0,0,0,0,1,2,0,0,0,0,3,3
SCHUELER P,4,2,0,0,0,1,0,0,0,0,0,0,0,3,0
STAMM M,1,0,1,1,0,0,0,0,0,1,0,0,0,2,1
STAMM M,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
STAMM M,3,2,2,0,0,0,0,0,0,0,0,0,0,4,0
STAMM M,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
