Action,Cap,GER,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,9.0,0,1,0,KAZ,1.0,UKUMANOV R,0 - 0,426,KAZ,7:06,Post,0
5m shot,4.0,0,1,0,KAZ,1.0,REAL J,0 - 0,399,GER,6:39,Blocked,0
Action shot,7.0,0,1,1,KAZ,1.0,USHAKOV V,0 - 1,349,KAZ,5:49,Goal,1
Extra player shot,2.0,1,1,1,KAZ,1.0,BUKOWSKI E,1 - 1,316,GER,5:16,Goal,1
Centre shot,11.0,1,1,1,KAZ,1.0,MANAFOV R,1 - 1,263,KAZ,4:23,Saved,0
Action shot,7.0,1,1,2,KAZ,1.0,USHAKOV V,1 - 2,226,KAZ,3:46,Goal,1
5m shot,7.0,2,1,2,KAZ,1.0,NOSSEK H,2 - 2,199,GER,3:19,Goal,1
5m shot,7.0,2,1,2,KAZ,1.0,NOSSEK H,2 - 2,155,GER,2:35,Post,0
Action shot,9.0,2,1,2,KAZ,1.0,UKUMANOV R,2 - 2,108,KAZ,1:48,Missed,0
5m shot,7.0,2,1,2,KAZ,1.0,NOSSEK H,2 - 2,79,GER,1:19,Saved,0
Centre shot,5.0,2,1,2,KAZ,1.0,SHAKENOV M,2 - 2,56,KAZ,0:56,Saved,0
Action shot,3.0,3,1,2,KAZ,1.0,MIERS E,3 - 2,43,GER,0:43,Goal,1
Centre shot,12.0,3,1,3,KAZ,1.0,PEKOVICH B,3 - 3,14,KAZ,0:14,Goal,1
Extra player shot,3.0,3,1,3,KAZ,1.0,MIERS E,3 - 3,1,GER,0:01,Missed,0
Extra player shot,4.0,3,1,3,KAZ,2.0,PILIPENKO R,3 - 3,445,KAZ,7:25,Missed,0
5m shot,2.0,4,1,3,KAZ,2.0,BUKOWSKI E,4 - 3,403,GER,6:43,Goal,1
5m shot,7.0,4,1,3,KAZ,2.0,NOSSEK H,4 - 3,357,GER,5:57,Post,0
Centre shot,12.0,4,1,3,KAZ,2.0,EIDNER D,4 - 3,307,GER,5:07,Saved,0
Action shot,12.0,4,1,3,KAZ,2.0,PEKOVICH B,4 - 3,280,KAZ,4:40,Blocked,0
5m shot,7.0,5,1,3,KAZ,2.0,NOSSEK H,5 - 3,257,GER,4:17,Goal,1
