Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,0,1,0,MNE,1.0,TSALKANIS K,0 - 0,480,GRE,8:00
Starting goalkeeper,13.0,0,1,0,MNE,1.0,SCEPANOVIC M,0 - 0,480,MNE,8:00
Sprint won possession,2.0,0,1,0,MNE,1.0,MYLONAKIS E,0 - 0,480,GRE,8:00
Turnover foul,9.0,0,1,0,MNE,1.0,MOURIKIS K,0 - 0,460,GRE,7:40
20 sec. exclusion in centre,9.0,0,1,0,MNE,1.0,MOURIKIS K,0 - 0,443,GRE,7:23
Extra player shot - Post,3.0,0,1,0,MNE,1.0,PASKOVIC V,0 - 0,427,MNE,7:07
Turnover foul,9.0,0,1,0,MNE,1.0,MOURIKIS K,0 - 0,399,GRE,6:39
Turnover foul,9.0,0,1,0,MNE,1.0,IVOVIC A,0 - 0,370,MNE,6:10
Steal,8.0,0,1,0,MNE,1.0,DELAKAS E,0 - 0,370,GRE,6:10
5m shot - Saved,7.0,0,1,0,MNE,1.0,AFROUDAKIS C,0 - 0,342,GRE,5:42
Turnover foul,7.0,0,1,0,MNE,1.0,JANOVIC M,0 - 0,313,MNE,5:13
Steal,2.0,0,1,0,MNE,1.0,MYLONAKIS E,0 - 0,313,GRE,5:13
Turnover foul,9.0,0,1,0,MNE,1.0,MOURIKIS K,0 - 0,285,GRE,4:45
Steal,7.0,0,1,0,MNE,1.0,JANOVIC M,0 - 0,285,MNE,4:45
20 sec. exclusion in field,12.0,0,1,0,MNE,1.0,VLACHOPOULOS A,0 - 0,265,GRE,4:25
Turnover foul,4.0,0,1,0,MNE,1.0,PETROVIC A,0 - 0,241,MNE,4:01
Steal,8.0,0,1,0,MNE,1.0,DELAKAS E,0 - 0,241,GRE,4:01
20 sec. exclusion in centre,9.0,0,1,0,MNE,1.0,IVOVIC A,0 - 0,225,MNE,3:45
Action shot - Blocked,5.0,0,1,0,MNE,1.0,FOUNTOULIS I,0 - 0,198,GRE,3:18
