Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,3.0,0,1,0,MNE,1.0,PASKOVIC V,0 - 0,427,MNE,7:07,Post,0
5m shot,7.0,0,1,0,MNE,1.0,AFROUDAKIS C,0 - 0,342,GRE,5:42,Saved,0
Action shot,5.0,0,1,0,MNE,1.0,FOUNTOULIS I,0 - 0,198,GRE,3:18,Blocked,0
Action shot,2.0,0,1,0,MNE,1.0,BRGULJAN D,0 - 0,103,MNE,1:43,Missed,0
Extra player shot,3.0,0,1,0,MNE,1.0,PASKOVIC V,0 - 0,1,MNE,0:01,Post,0
5m shot,11.0,0,1,0,MNE,2.0,KLIKOVAK F,0 - 0,365,MNE,6:05,Missed,0
5m shot,5.0,0,1,0,MNE,2.0,BRGULJAN D,0 - 0,326,MNE,5:26,Saved,0
Extra player shot,10.0,1,1,0,MNE,2.0,KOLOMVOS C,0 - 1,304,GRE,5:04,Goal,1
Action shot,6.0,1,1,0,MNE,2.0,CROUSILLAT U,0 - 1,275,MNE,4:35,Saved,0
Extra player shot,7.0,1,1,0,MNE,2.0,JANOVIC M,0 - 1,206,MNE,3:26,Saved,0
Extra player shot,2.0,2,1,0,MNE,2.0,MYLONAKIS E,0 - 2,161,GRE,2:41,Goal,1
Centre shot,8.0,3,1,0,MNE,2.0,DELAKAS E,0 - 3,97,GRE,1:37,Goal,1
Extra player shot,11.0,3,1,0,MNE,2.0,GOUNAS A,0 - 3,36,GRE,0:36,Saved,0
Action shot,9.0,3,1,0,MNE,3.0,IVOVIC A,0 - 3,396,MNE,6:36,Saved,0
Extra player shot,9.0,3,1,0,MNE,3.0,MOURIKIS K,0 - 3,365,GRE,6:05,Missed,0
Action shot,7.0,3,1,0,MNE,3.0,JANOVIC M,0 - 3,298,MNE,4:58,Missed,0
Extra player shot,8.0,3,1,0,MNE,3.0,DELAKAS E,0 - 3,278,GRE,4:38,Saved,0
Centre shot,10.0,3,1,0,MNE,3.0,KOLOMVOS C,0 - 3,260,GRE,4:20,Missed,0
