Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,11.0,1,0,1,CHN,1.0,ZHANG C,0 - 1,377,CHN,6:17,Goal,1
Penalty shot,10.0,1,1,1,CHN,1.0,VARGA D,1 - 1,363,HUN,6:03,Goal,1
5m shot,3.0,1,1,1,CHN,1.0,LIANG Z,1 - 1,337,CHN,5:37,Saved,0
5m shot,8.0,1,2,1,CHN,1.0,SZIVOS M,2 - 1,311,HUN,5:11,Goal,1
5m shot,7.0,1,2,1,CHN,1.0,LI B,2 - 1,285,CHN,4:45,Blocked,0
5m shot,3.0,1,2,1,CHN,1.0,LIANG Z,2 - 1,212,CHN,3:32,Saved,0
5m shot,8.0,1,3,1,CHN,1.0,SZIVOS M,3 - 1,185,HUN,3:05,Goal,1
Centre shot,11.0,1,3,1,CHN,1.0,BEDO K,3 - 1,79,HUN,1:19,Post,0
Extra player shot,5.0,1,3,1,CHN,1.0,GUO J,3 - 1,2,CHN,0:02,Saved,0
Extra player shot,5.0,1,3,1,CHN,2.0,GUO J,3 - 1,383,CHN,6:23,Blocked,0
5m shot,2.0,1,3,1,CHN,2.0,GOR-NAGY M,3 - 1,359,HUN,5:59,Saved,0
5m shot,3.0,1,3,2,CHN,2.0,LIANG Z,3 - 2,332,CHN,5:32,Goal,1
Extra player shot,3.0,1,3,2,CHN,2.0,MADARAS N,3 - 2,313,HUN,5:13,Saved,0
Centre shot,12.0,1,4,2,CHN,2.0,HARAI B,4 - 2,300,HUN,5:00,Goal,1
5m shot,8.0,1,5,2,CHN,2.0,SZIVOS M,5 - 2,261,HUN,4:21,Goal,1
5m shot,9.0,1,5,2,CHN,2.0,XIE J,5 - 2,246,CHN,4:06,Blocked,0
Extra player shot,10.0,1,6,2,CHN,2.0,VARGA D,6 - 2,220,HUN,3:40,Goal,1
Action shot,3.0,1,6,2,CHN,2.0,MADARAS N,6 - 2,176,HUN,2:56,Saved,0
Centre shot,11.0,1,6,2,CHN,2.0,BEDO K,6 - 2,162,HUN,2:42,Post,0
Centre shot,11.0,1,6,2,CHN,2.0,ZHANG C,6 - 2,132,CHN,2:12,Saved,0
Action shot,6.0,1,7,2,CHN,2.0,HOSNYANSZKY N,7 - 2,78,HUN,1:18,Goal,1
5m shot,6.0,1,7,2,CHN,2.0,PAN N,7 - 2,56,CHN,0:56,Saved,0
5m shot,6.0,1,7,2,CHN,4.0,PAN N,7 - 2,42,CHN,0:42,Post,0
5m shot,7.0,1,7,2,CHN,2.0,LI B,7 - 2,10,CHN,0:10,Blocked,0
Centre shot,12.0,1,7,2,CHN,2.0,HARAI B,7 - 2,2,HUN,0:02,Post,0
5m shot,7.0,1,7,2,CHN,3.0,LI B,7 - 2,385,CHN,6:25,Blocked,0
5m shot,6.0,1,8,2,CHN,3.0,HOSNYANSZKY N,8 - 2,362,HUN,6:02,Goal,1
Centre shot,12.0,1,8,2,CHN,3.0,HARAI B,8 - 2,315,HUN,5:15,Post,0
Extra player shot,4.0,1,8,3,CHN,3.0,JIANG B,8 - 3,280,CHN,4:40,Goal,1
5m shot,3.0,1,8,3,CHN,3.0,MADARAS N,8 - 3,251,HUN,4:11,Post,0
Action shot,3.0,1,8,3,CHN,3.0,LIANG Z,8 - 3,186,CHN,3:06,Saved,0
Extra player shot,11.0,1,9,3,CHN,3.0,BEDO K,9 - 3,156,HUN,2:36,Goal,1
5m shot,2.0,1,9,3,CHN,3.0,GOR-NAGY M,9 - 3,110,HUN,1:50,Saved,0
Centre shot,12.0,1,10,3,CHN,3.0,HARAI B,10 - 3,69,HUN,1:09,Goal,1
Centre shot,2.0,1,10,4,CHN,3.0,TAN F,10 - 4,48,CHN,0:48,Goal,1
5m shot,3.0,1,10,4,CHN,3.0,LIANG Z,10 - 4,9,CHN,0:09,Missed,0
5m shot,4.0,1,10,4,CHN,3.0,BATORI B,10 - 4,2,HUN,0:02,Post,0
5m shot,5.0,1,10,4,CHN,4.0,GUO J,10 - 4,428,CHN,7:08,Missed,0
Action shot,6.0,1,10,4,CHN,4.0,PAN N,10 - 4,387,CHN,6:27,Missed,0
Action shot,4.0,1,11,4,CHN,4.0,BATORI B,11 - 4,370,HUN,6:10,Goal,1
Counter attack,9.0,1,12,4,CHN,4.0,VARGA D,12 - 4,338,HUN,5:38,Goal,1
Action shot,6.0,1,12,5,CHN,4.0,PAN N,12 - 5,318,CHN,5:18,Goal,1
Action shot,3.0,1,12,5,CHN,4.0,LIANG Z,12 - 5,259,CHN,4:19,Post,0
Action shot,11.0,1,12,5,CHN,4.0,BEDO K,12 - 5,172,HUN,2:52,Saved,0
5m shot,6.0,1,12,5,CHN,4.0,HOSNYANSZKY N,12 - 5,148,HUN,2:28,Saved,0
5m shot,3.0,1,12,5,CHN,4.0,LIANG Z,12 - 5,128,CHN,2:08,Missed,0
5m shot,6.0,1,12,5,CHN,4.0,PAN N,12 - 5,85,CHN,1:25,Post,0
5m shot,8.0,1,12,5,CHN,4.0,SZIVOS M,12 - 5,65,HUN,1:05,Saved,0
Extra player shot,8.0,1,12,5,CHN,4.0,WANG Y,12 - 5,28,CHN,0:28,Saved,0
Action shot,5.0,1,13,5,CHN,4.0,VAMOS M,13 - 5,9,HUN,0:09,Goal,1
Extra player shot,8.0,2,1,0,SRB,1.0,SZIVOS M,0 - 1,366,HUN,6:06,Goal,1
Extra player shot,10.0,2,2,0,SRB,1.0,VARGA D,0 - 2,322,HUN,5:22,Goal,1
Extra player shot,10.0,2,2,1,SRB,1.0,FILIPOVIC F,1 - 2,289,SRB,4:49,Goal,1
Extra player shot,10.0,2,2,1,SRB,1.0,VARGA D,1 - 2,260,HUN,4:20,Saved,0
5m shot,10.0,2,2,1,SRB,1.0,FILIPOVIC F,1 - 2,233,SRB,3:53,Saved,0
Action shot,11.0,2,2,2,SRB,1.0,PRLAINOVIC A,2 - 2,181,SRB,3:01,Goal,1
Centre shot,12.0,2,2,2,SRB,1.0,HARAI B,2 - 2,153,HUN,2:33,Post,0
Extra player shot,8.0,2,2,2,SRB,1.0,ALEKSIC M,2 - 2,122,SRB,2:02,Saved,0
Action shot,12.0,2,2,2,SRB,1.0,MITROVIC S,2 - 2,112,SRB,1:52,Saved,0
5m shot,4.0,2,2,2,SRB,1.0,BATORI B,2 - 2,95,HUN,1:35,Blocked,0
Extra player shot,8.0,2,2,2,SRB,1.0,ALEKSIC M,2 - 2,67,SRB,1:07,Blocked,0
Action shot,5.0,2,2,2,SRB,1.0,CUK M,2 - 2,49,SRB,0:49,Post,0
Extra player shot,5.0,2,3,2,SRB,1.0,VAMOS M,2 - 3,20,HUN,0:20,Goal,1
5m shot,3.0,2,3,2,SRB,1.0,MADARAS N,2 - 3,1,HUN,0:01,Saved,0
Action shot,10.0,2,3,3,SRB,2.0,FILIPOVIC F,3 - 3,453,SRB,7:33,Goal,1
Centre shot,12.0,2,3,3,SRB,2.0,HARAI B,3 - 3,431,HUN,7:11,Missed,0
Centre shot,6.0,2,3,4,SRB,2.0,PIJETLOVIC D,4 - 3,415,SRB,6:55,Goal,1
Extra player shot,3.0,2,4,4,SRB,2.0,MADARAS N,4 - 4,381,HUN,6:21,Goal,1
Action shot,2.0,2,4,4,SRB,2.0,MANDIC D,4 - 4,335,SRB,5:35,Missed,0
Extra player shot,12.0,2,4,4,SRB,2.0,HARAI B,4 - 4,301,HUN,5:01,Saved,0
Counter attack,4.0,2,4,5,SRB,2.0,UDOVICIC V,5 - 4,287,SRB,4:47,Goal,1
Extra player shot,7.0,2,4,6,SRB,2.0,NIKIC S,6 - 4,225,SRB,3:45,Goal,1
5m shot,3.0,2,4,6,SRB,2.0,MADARAS N,6 - 4,158,HUN,2:38,Blocked,0
Extra player shot,11.0,2,5,6,SRB,2.0,BEDO K,6 - 5,123,HUN,2:03,Goal,1
Action shot,11.0,2,5,6,SRB,2.0,PRLAINOVIC A,6 - 5,87,SRB,1:27,Missed,0
Extra player shot,3.0,2,5,6,SRB,2.0,MADARAS N,6 - 5,51,HUN,0:51,Missed,0
Extra player shot,11.0,2,5,7,SRB,2.0,PRLAINOVIC A,7 - 5,19,SRB,0:19,Goal,1
Extra player shot,12.0,2,10,12,SRB,4.0,MITROVIC S,12 - 10,185,SRB,3:05,Goal,1
5m shot,9.0,2,10,12,SRB,4.0,VARGA D,12 - 10,159,HUN,2:39,Blocked,0
Action shot,11.0,2,10,12,SRB,4.0,PRLAINOVIC A,12 - 10,135,SRB,2:15,Post,0
Action shot,3.0,2,10,12,SRB,4.0,MADARAS N,12 - 10,102,HUN,1:42,Blocked,0
5m shot,9.0,2,10,12,SRB,3.0,VARGA D,12 - 10,425,HUN,7:05,Saved,0
Action shot,8.0,2,10,12,SRB,3.0,ALEKSIC M,12 - 10,396,SRB,6:36,Saved,0
5m shot,10.0,2,10,12,SRB,3.0,VARGA D,12 - 10,369,HUN,6:09,Saved,0
Action shot,3.0,2,10,12,SRB,3.0,MADARAS N,12 - 10,313,HUN,5:13,Saved,0
Action shot,2.0,2,10,12,SRB,3.0,MANDIC D,12 - 10,285,SRB,4:45,Missed,0
Action shot,2.0,2,5,8,SRB,3.0,MANDIC D,8 - 5,232,SRB,3:52,Goal,1
Action shot,3.0,2,5,8,SRB,3.0,MADARAS N,8 - 5,220,HUN,3:40,Post,0
Action shot,6.0,2,5,8,SRB,3.0,HOSNYANSZKY N,8 - 5,173,HUN,2:53,Saved,0
Extra player shot,4.0,2,5,8,SRB,3.0,UDOVICIC V,8 - 5,130,SRB,2:10,Blocked,0
Action shot,3.0,2,5,8,SRB,3.0,GOCIC Z,8 - 5,126,SRB,2:06,Blocked,0
5m shot,10.0,2,6,8,SRB,3.0,VARGA D,8 - 6,108,HUN,1:48,Goal,1
Extra player shot,5.0,2,7,8,SRB,3.0,VAMOS M,8 - 7,56,HUN,0:56,Goal,1
Extra player shot,5.0,2,7,9,SRB,3.0,CUK M,9 - 7,30,SRB,0:30,Goal,1
5m shot,8.0,2,7,9,SRB,3.0,SZIVOS M,9 - 7,1,HUN,0:01,Blocked,0
Extra player shot,7.0,2,7,10,SRB,4.0,NIKIC S,10 - 7,446,SRB,7:26,Goal,1
