Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,0,ROU,1.0,STOENESCU D,0 - 0,480,ROU,8:00
Starting goalkeeper,1.0,1,0,0,ROU,1.0,TEMPESTI S,0 - 0,480,ITA,8:00
Sprint won possession,10.0,1,0,0,ROU,1.0,FIORENTINI D,0 - 0,480,ITA,8:00
Centre shot - Goal,11.0,1,1,0,ROU,1.0,AICARDI M,1 - 0,462,ITA,7:42
Turnover foul,8.0,1,1,0,ROU,1.0,CHIOVEANU M,1 - 0,433,ROU,7:13
Steal,8.0,1,1,0,ROU,1.0,GALLO V,1 - 0,433,ITA,7:13
20 sec. exclusion in field,11.0,1,1,0,ROU,1.0,GHIBAN A,1 - 0,418,ROU,6:58
Extra player shot - Goal,11.0,1,2,0,ROU,1.0,AICARDI M,2 - 0,412,ITA,6:52
Action shot - Missed,11.0,1,2,0,ROU,1.0,GHIBAN A,2 - 0,389,ROU,6:29
Turnover foul,8.0,1,2,0,ROU,1.0,GALLO V,2 - 0,373,ITA,6:13
Turnover foul,3.0,1,2,0,ROU,1.0,GITTO N,2 - 0,316,ITA,5:16
20 sec. exclusion in field,5.0,1,2,0,ROU,1.0,GIORGETTI A,2 - 0,295,ITA,4:55
Turnover foul,3.0,1,2,0,ROU,1.0,NEGREAN T,2 - 0,277,ROU,4:37
20 sec. exclusion in centre,6.0,1,2,0,ROU,1.0,BUSILA A,2 - 0,255,ROU,4:15
Extra player shot - Goal,6.0,1,3,0,ROU,1.0,FELUGO M,3 - 0,241,ITA,4:01
Turnover foul,2.0,1,3,0,ROU,1.0,IANC P,3 - 0,224,ROU,3:44
20 sec. exclusion in field,5.0,1,3,0,ROU,1.0,TEOHARI D,3 - 0,214,ROU,3:34
Action shot - Saved,8.0,1,3,0,ROU,1.0,GALLO V,3 - 0,188,ITA,3:08
Turnover foul,10.0,1,3,0,ROU,1.0,GEORGESCU R,3 - 0,171,ROU,2:51
5m shot - Goal,9.0,1,4,0,ROU,1.0,PRESCIUTTI C,4 - 0,142,ITA,2:22
Turnover foul,10.0,1,4,0,ROU,1.0,GEORGESCU R,4 - 0,114,ROU,1:54
Steal,4.0,1,4,0,ROU,1.0,FIGLIOLI P,4 - 0,114,ITA,1:54
5m shot - Blocked,9.0,1,4,0,ROU,1.0,PRESCIUTTI C,4 - 0,88,ITA,1:28
5m shot - Goal,3.0,1,4,1,ROU,1.0,NEGREAN T,4 - 1,61,ROU,1:01
Turnover foul,11.0,1,4,1,ROU,1.0,AICARDI M,4 - 1,43,ITA,0:43
20 sec. exclusion in field,11.0,1,4,1,ROU,1.0,AICARDI M,4 - 1,42,ITA,0:42
Action shot - Post,10.0,1,4,1,ROU,1.0,GEORGESCU R,4 - 1,18,ROU,0:18
