Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
BRGULJAN D,1,1,2,0,0,1,0,0,0,0,0,0,0,4,0
BRGULJAN D,2,5,3,0,0,1,0,0,1,0,0,0,0,9,1
BRGULJAN D,3,1,2,1,1,2,0,1,0,1,1,1,0,7,4
BRGULJAN D,4,1,2,0,1,1,0,1,0,0,1,0,0,5,2
BRGULJAN D,5,1,2,1,1,1,0,0,0,1,0,0,0,6,1
BRGULJAN D,6,0,1,1,0,1,0,0,1,0,0,1,0,3,2
BRGULJAN D,7,0,7,0,0,1,0,0,1,0,0,0,0,8,1
CROUSILLAT U,1,0,3,0,0,1,0,0,0,0,0,0,0,4,0
CROUSILLAT U,3,0,3,0,0,1,0,0,2,0,0,1,0,4,3
CROUSILLAT U,4,0,3,0,0,0,0,0,1,0,0,0,0,3,1
CROUSILLAT U,7,0,0,0,0,1,0,0,0,0,0,1,0,1,1
IVOVIC A,1,0,3,0,1,0,1,0,1,0,1,0,1,5,3
IVOVIC A,2,2,0,1,0,0,0,1,0,0,0,0,0,3,1
IVOVIC A,3,1,1,1,3,2,0,0,1,1,3,1,0,8,6
IVOVIC A,4,2,2,0,0,0,0,2,1,0,0,0,0,4,3
IVOVIC A,5,4,1,0,0,0,1,1,0,0,0,0,1,6,2
IVOVIC A,6,2,0,0,0,1,0,2,0,0,0,0,0,3,2
IVOVIC A,7,1,5,0,0,0,0,1,2,0,0,0,0,6,3
JANOVIC M,1,0,2,0,0,1,0,0,0,0,0,0,0,3,0
JANOVIC M,2,0,2,1,1,1,2,0,1,1,1,0,2,7,5
JANOVIC M,3,0,2,1,0,0,0,0,0,1,0,0,0,3,1
JANOVIC M,4,1,3,1,0,2,0,0,1,0,0,1,0,7,2
JANOVIC M,5,0,2,1,0,1,1,0,1,1,0,1,0,5,3
JANOVIC M,6,1,2,1,0,1,1,0,1,0,0,0,1,6,2
JANOVIC M,7,1,2,0,0,0,0,0,0,0,0,0,0,3,0
JANOVIC N,1,0,1,0,0,1,0,0,0,0,0,1,0,2,1
JANOVIC N,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
JANOVIC N,3,1,0,0,1,2,1,1,0,0,1,1,1,5,4
JANOVIC N,4,1,3,1,0,0,0,0,1,1,0,0,0,5,2
JANOVIC N,5,2,2,0,0,2,0,0,1,0,0,1,0,6,2
JANOVIC N,6,2,1,0,0,1,1,0,1,0,0,1,1,5,3
JANOVIC N,7,3,0,0,0,1,0,0,0,0,0,0,0,4,0
JOKIC P,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0
JOKIC P,4,1,1,0,0,0,0,0,0,0,0,0,0,2,0
JOKIC P,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
JOKIC P,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0
KLIKOVAK F,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
KLIKOVAK F,3,0,0,1,0,1,0,0,0,1,0,1,0,2,2
KLIKOVAK F,4,0,0,0,0,1,0,0,0,0,0,1,0,1,1
KLIKOVAK F,5,0,0,1,0,1,0,0,0,0,0,1,0,2,1
KLIKOVAK F,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
KLIKOVAK F,7,0,0,1,0,0,0,0,0,1,0,0,0,1,1
MISIC S,3,0,0,3,0,1,0,0,0,0,0,1,0,4,1
MISIC S,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0
PASKOVIC V,1,0,1,0,0,2,0,0,0,0,0,0,0,3,0
PASKOVIC V,3,0,0,0,2,0,0,0,0,0,2,0,0,2,2
PASKOVIC V,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
PASKOVIC V,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0
PASKOVIC V,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0
PETROVIC A,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
PETROVIC A,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0
PETROVIC A,4,1,0,0,0,0,0,1,0,0,0,0,0,1,1
PETROVIC A,5,2,0,0,0,0,0,0,0,0,0,0,0,2,0
PETROVIC A,6,1,0,1,0,0,0,0,0,1,0,0,0,2,1
PETROVIC A,7,1,0,1,0,3,0,0,0,0,0,1,0,5,1
RADIC Z,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0
