Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,0,ESP,1.0,AGUILAR I,0 - 0,480,ESP,8:00
Starting goalkeeper,1.0,1,0,0,ESP,1.0,KINGSMILL T,0 - 0,480,NZL,8:00
Sprint won possession,11.0,1,0,0,ESP,1.0,ESTRANY P,0 - 0,480,ESP,8:00
Turnover foul,10.0,1,0,0,ESP,1.0,PERRONE F,0 - 0,454,ESP,7:34
Steal,11.0,1,0,0,ESP,1.0,TIJSEN L,0 - 0,454,NZL,7:34
5m shot - Saved,5.0,1,0,0,ESP,1.0,ROSS J,0 - 0,431,NZL,7:11
Centre shot - Missed,7.0,1,0,0,ESP,1.0,SZIRANYI B,0 - 0,410,ESP,6:50
Action shot - Saved,5.0,1,0,0,ESP,1.0,ROSS J,0 - 0,386,NZL,6:26
Turnover foul,5.0,1,0,0,ESP,1.0,MOLINA G,0 - 0,358,ESP,5:58
20 sec. exclusion in field,3.0,1,0,0,ESP,1.0,de LERA R,0 - 0,353,ESP,5:53
5m shot - Blocked,12.0,1,0,0,ESP,1.0,PYE A,0 - 0,325,NZL,5:25
Action shot - Post,12.0,1,0,0,ESP,1.0,GARCIA X,0 - 0,309,ESP,5:09
Penalty foul,9.0,1,0,0,ESP,1.0,LUI-FAKAOTIMANAVA,0 - 0,299,NZL,4:59
Penalty shot - Goal,5.0,1,0,1,ESP,1.0,MOLINA G,1 - 0,299,ESP,4:59
5m shot - Blocked,2.0,1,0,1,ESP,1.0,LEWIS M,1 - 0,271,NZL,4:31
20 sec. exclusion in centre,10.0,1,0,1,ESP,1.0,BRYANT M,1 - 0,247,NZL,4:07
Extra player shot - Goal,9.0,1,0,2,ESP,1.0,VALLES X,2 - 0,245,ESP,4:05
5m shot - Saved,12.0,1,0,2,ESP,1.0,PYE A,2 - 0,218,NZL,3:38
Turnover foul,11.0,1,0,2,ESP,1.0,ESTRANY P,2 - 0,193,ESP,3:13
Steal,7.0,1,0,2,ESP,1.0,JACKSON D,2 - 0,193,NZL,3:13
Turnover foul,2.0,1,0,2,ESP,1.0,LEWIS M,2 - 0,185,NZL,3:05
Action shot - Post,8.0,1,0,2,ESP,1.0,ESPANOL A,2 - 0,173,ESP,2:53
Turnover foul,12.0,1,0,2,ESP,1.0,PYE A,2 - 0,152,NZL,2:32
