Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
BRYANT M,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BRYANT M,2,3,0,0,0,0,1,0,0,0,0,0,1,4,1
BRYANT M,4,0,0,1,0,0,1,0,0,0,0,0,1,2,1
CURRY S,2,1,1,0,0,1,0,0,0,0,0,0,0,3,0
CURRY S,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
JACKSON D,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0
JACKSON D,2,0,0,1,0,0,0,0,0,1,0,0,0,1,1
JACKSON D,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
JACKSON D,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0
LEWIS M,1,1,1,1,0,0,0,0,0,1,0,0,0,3,1
LEWIS M,2,1,2,0,0,0,0,1,0,0,0,0,0,3,1
LEWIS M,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0
LEWIS M,4,0,1,0,0,1,0,0,0,0,0,1,0,2,1
LOWERY F,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
LOWERY F,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
LOWERY F,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
LUI-FAKAOTIMANAVA,1,1,0,1,0,0,1,0,0,1,0,0,1,3,2
LUI-FAKAOTIMANAVA,3,0,1,1,0,1,0,0,0,0,0,0,0,3,0
LUI-FAKAOTIMANAVA,4,1,1,0,0,0,0,0,0,0,0,0,0,2,0
PYE A,1,5,0,0,0,0,0,0,0,0,0,0,0,5,0
PYE A,2,6,2,0,0,0,1,1,0,0,0,0,0,9,1
PYE A,3,3,1,1,0,1,0,1,0,0,0,0,0,6,1
PYE A,4,2,1,0,0,0,0,0,0,0,0,0,0,3,0
ROSS J,1,1,3,2,0,1,0,0,0,0,0,0,0,7,0
ROSS J,2,1,2,1,0,0,0,0,0,0,0,0,0,4,0
ROSS J,3,1,2,0,0,0,0,0,0,0,0,0,0,3,0
ROSS J,4,3,2,0,1,0,0,0,0,0,1,0,0,6,1
SIEPRATH A,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SMALL M,1,2,1,0,0,1,0,0,0,0,0,0,0,4,0
SMALL M,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0
TIJSEN L,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
TIJSEN L,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
TIJSEN L,4,1,0,0,0,2,0,0,0,0,0,1,0,3,1
