Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,5.0,1,0,0,ESP,1.0,ROSS J,0 - 0,431,NZL,7:11,Saved,0
Centre shot,7.0,1,0,0,ESP,1.0,SZIRANYI B,0 - 0,410,ESP,6:50,Missed,0
Action shot,5.0,1,0,0,ESP,1.0,ROSS J,0 - 0,386,NZL,6:26,Saved,0
5m shot,12.0,1,0,0,ESP,1.0,PYE A,0 - 0,325,NZL,5:25,Blocked,0
Action shot,12.0,1,0,0,ESP,1.0,GARCIA X,0 - 0,309,ESP,5:09,Post,0
Penalty shot,5.0,1,0,1,ESP,1.0,MOLINA G,1 - 0,299,ESP,4:59,Goal,1
5m shot,2.0,1,0,1,ESP,1.0,LEWIS M,1 - 0,271,NZL,4:31,Blocked,0
Extra player shot,9.0,1,0,2,ESP,1.0,VALLES X,2 - 0,245,ESP,4:05,Goal,1
5m shot,12.0,1,0,2,ESP,1.0,PYE A,2 - 0,218,NZL,3:38,Saved,0
Action shot,8.0,1,0,2,ESP,1.0,ESPANOL A,2 - 0,173,ESP,2:53,Post,0
Action shot,4.0,1,0,3,ESP,1.0,ALARCON R,3 - 0,126,ESP,2:06,Goal,1
Extra player shot,9.0,1,0,3,ESP,1.0,VALLES X,3 - 0,78,ESP,1:18,Post,0
Action shot,6.0,1,0,3,ESP,1.0,MINGUELL M,3 - 0,35,ESP,0:35,Missed,0
Action shot,5.0,1,0,3,ESP,1.0,ROSS J,3 - 0,13,NZL,0:13,Post,0
5m shot,12.0,1,0,3,ESP,1.0,GARCIA X,3 - 0,1,ESP,0:01,Saved,0
Action shot,3.0,1,0,3,ESP,2.0,de LERA R,3 - 0,451,ESP,7:31,Saved,0
Centre shot,5.0,1,0,3,ESP,2.0,ROSS J,3 - 0,427,NZL,7:07,Saved,0
Extra player shot,3.0,1,0,3,ESP,2.0,de LERA R,3 - 0,391,ESP,6:31,Blocked,0
Action shot,5.0,1,0,3,ESP,2.0,ROSS J,3 - 0,363,NZL,6:03,Saved,0
Centre shot,8.0,1,0,4,ESP,2.0,ESPANOL A,4 - 0,342,ESP,5:42,Goal,1
Action shot,8.0,1,0,4,ESP,2.0,ESPANOL A,4 - 0,252,ESP,4:12,Post,0
Action shot,10.0,1,0,5,ESP,2.0,PERRONE F,5 - 0,196,ESP,3:16,Goal,1
Penalty shot,9.0,1,1,5,ESP,2.0,LUI-FAKAOTIMANAVA,5 - 1,176,NZL,2:56,Goal,1
Action shot,11.0,1,1,5,ESP,2.0,ESTRANY P,5 - 1,148,ESP,2:28,Missed,0
Action shot,2.0,1,1,5,ESP,2.0,LEWIS M,5 - 1,117,NZL,1:57,Blocked,0
Extra player shot,11.0,1,1,6,ESP,2.0,ESTRANY P,6 - 1,81,ESP,1:21,Goal,1
Centre shot,5.0,1,1,6,ESP,2.0,ROSS J,6 - 1,39,NZL,0:39,Saved,0
Action shot,8.0,1,1,6,ESP,4.0,ESPANOL A,6 - 1,136,ESP,2:16,Post,0
Extra player shot,10.0,1,3,18,ESP,4.0,PERRONE F,18 - 3,125,ESP,2:05,Goal,1
5m shot,8.0,1,3,18,ESP,4.0,SMALL M,18 - 3,98,NZL,1:38,Saved,0
Centre shot,7.0,1,3,18,ESP,4.0,SZIRANYI B,18 - 3,74,ESP,1:14,Blocked,0
5m shot,4.0,1,3,18,ESP,2.0,LOWERY F,18 - 3,4,NZL,0:04,Blocked,0
5m shot,11.0,1,3,18,ESP,2.0,ESTRANY P,18 - 3,1,ESP,0:01,Missed,0
Counter attack,10.0,1,1,7,ESP,3.0,PERRONE F,7 - 1,432,ESP,7:12,Goal,1
5m shot,7.0,1,1,7,ESP,3.0,JACKSON D,7 - 1,415,NZL,6:55,Saved,0
5m shot,4.0,1,1,7,ESP,3.0,ALARCON R,7 - 1,346,ESP,5:46,Saved,0
5m shot,10.0,1,1,8,ESP,3.0,PERRONE F,8 - 1,300,ESP,5:00,Goal,1
Extra player shot,8.0,1,1,8,ESP,3.0,SMALL M,8 - 1,282,NZL,4:42,Saved,0
Centre shot,7.0,1,1,9,ESP,3.0,SZIRANYI B,9 - 1,259,ESP,4:19,Goal,1
Counter attack,6.0,1,1,10,ESP,3.0,MINGUELL M,10 - 1,218,ESP,3:38,Goal,1
Centre shot,7.0,1,1,10,ESP,3.0,JACKSON D,10 - 1,203,NZL,3:23,Saved,0
Action shot,3.0,1,1,10,ESP,3.0,de LERA R,10 - 1,181,ESP,3:01,Blocked,0
5m shot,10.0,1,1,10,ESP,3.0,BRYANT M,10 - 1,161,NZL,2:41,Saved,0
Centre shot,9.0,1,1,11,ESP,3.0,VALLES X,11 - 1,143,ESP,2:23,Goal,1
Action shot,8.0,1,1,11,ESP,3.0,SMALL M,11 - 1,127,NZL,2:07,Saved,0
Action shot,8.0,1,1,12,ESP,3.0,ESPANOL A,12 - 1,107,ESP,1:47,Goal,1
5m shot,9.0,1,1,12,ESP,3.0,LUI-FAKAOTIMANAVA,12 - 1,82,NZL,1:22,Missed,0
5m shot,12.0,1,1,12,ESP,3.0,PYE A,12 - 1,35,NZL,0:35,Saved,0
5m shot,10.0,1,1,13,ESP,3.0,PERRONE F,13 - 1,15,ESP,0:15,Goal,1
Centre shot,9.0,1,2,13,ESP,3.0,LUI-FAKAOTIMANAVA,13 - 2,5,NZL,0:05,Goal,1
5m shot,5.0,1,2,13,ESP,3.0,MOLINA G,13 - 2,1,ESP,0:01,Saved,0
5m shot,4.0,1,2,14,ESP,4.0,ALARCON R,14 - 2,453,ESP,7:33,Goal,1
5m shot,8.0,1,2,14,ESP,4.0,SMALL M,14 - 2,437,NZL,7:17,Missed,0
