Period,Time,Action,Score,Team,Player,Cap,Opponent,ROU,Seconds,Game,Opponent name
1.0,8:00,Starting goalkeeper,0 - 0,ROU,STOENESCU D,1.0,0,0,480,1,ITA
1.0,8:00,Starting goalkeeper,0 - 0,ITA,TEMPESTI S,1.0,0,0,480,1,ITA
1.0,8:00,Sprint won possession,0 - 0,ITA,FIORENTINI D,10.0,0,0,480,1,ITA
1.0,7:42,Centre shot - Goal,1 - 0,ITA,AICARDI M,11.0,1,0,462,1,ITA
1.0,7:13,Turnover foul,1 - 0,ROU,CHIOVEANU M,8.0,1,0,433,1,ITA
1.0,7:13,Steal,1 - 0,ITA,GALLO V,8.0,1,0,433,1,ITA
1.0,6:58,20 sec. exclusion in field,1 - 0,ROU,GHIBAN A,11.0,1,0,418,1,ITA
1.0,6:52,Extra player shot - Goal,2 - 0,ITA,AICARDI M,11.0,2,0,412,1,ITA
1.0,6:29,Action shot - Missed,2 - 0,ROU,GHIBAN A,11.0,2,0,389,1,ITA
1.0,6:13,Turnover foul,2 - 0,ITA,GALLO V,8.0,2,0,373,1,ITA
1.0,5:16,Turnover foul,2 - 0,ITA,GITTO N,3.0,2,0,316,1,ITA
1.0,4:55,20 sec. exclusion in field,2 - 0,ITA,GIORGETTI A,5.0,2,0,295,1,ITA
1.0,4:37,Turnover foul,2 - 0,ROU,NEGREAN T,3.0,2,0,277,1,ITA
1.0,4:15,20 sec. exclusion in centre,2 - 0,ROU,BUSILA A,6.0,2,0,255,1,ITA
1.0,4:01,Extra player shot - Goal,3 - 0,ITA,FELUGO M,6.0,3,0,241,1,ITA
1.0,3:44,Turnover foul,3 - 0,ROU,IANC P,2.0,3,0,224,1,ITA
1.0,3:34,20 sec. exclusion in field,3 - 0,ROU,TEOHARI D,5.0,3,0,214,1,ITA
1.0,3:08,Action shot - Saved,3 - 0,ITA,GALLO V,8.0,3,0,188,1,ITA
1.0,2:51,Turnover foul,3 - 0,ROU,GEORGESCU R,10.0,3,0,171,1,ITA
1.0,2:22,5m shot - Goal,4 - 0,ITA,PRESCIUTTI C,9.0,4,0,142,1,ITA
