Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
BUSILA A,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BUSILA A,3,0,3,0,0,1,0,0,2,0,0,0,0,4,2
BUSILA A,4,3,1,0,0,0,0,0,1,0,0,0,0,4,1
CHIOVEANU M,1,1,1,0,0,0,0,0,1,0,0,0,0,2,1
CHIOVEANU M,3,0,0,1,0,1,0,0,0,0,0,0,0,2,0
CHIOVEANU M,4,0,0,2,1,0,0,0,0,0,0,0,0,3,0
CRETU A,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
CRETU A,2,2,0,0,0,0,0,1,0,0,0,0,0,2,1
CRETU A,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0
DIACONU N,1,3,1,0,0,0,0,1,0,0,0,0,0,4,1
DIACONU N,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
DIACONU N,3,1,2,0,0,0,1,1,0,0,0,0,1,4,2
DIACONU N,4,3,4,0,0,0,0,0,3,0,0,0,0,7,3
GEORGESCU R,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0
GEORGESCU R,2,1,0,0,0,1,0,0,0,0,0,0,0,2,0
GEORGESCU R,3,2,1,0,0,0,0,0,0,0,0,0,0,3,0
GEORGESCU R,4,0,1,1,0,1,0,0,0,0,0,0,0,3,0
GHIBAN A,1,3,1,0,0,0,0,0,0,0,0,0,0,4,0
GHIBAN A,2,2,1,0,0,0,0,0,0,0,0,0,0,3,0
GHIBAN A,3,1,3,0,0,0,0,0,1,0,0,0,0,4,1
GOANTA D,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
GOANTA D,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
GOANTA D,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
IANC P,2,0,0,1,0,1,0,0,0,0,0,1,0,2,1
IANC P,3,0,0,3,0,0,0,0,0,2,0,0,0,3,2
MATEI A,1,4,0,0,0,0,0,1,0,0,0,0,0,4,1
MATEI A,2,1,1,0,0,1,0,0,1,0,0,0,0,3,1
MATEI A,3,2,1,0,0,0,0,1,0,0,0,0,0,3,1
MATEI A,4,1,2,0,0,2,0,0,0,0,0,1,0,5,1
NEGREAN T,1,1,0,0,0,1,0,1,0,0,0,0,0,2,1
NEGREAN T,2,1,2,0,0,3,0,0,0,0,0,1,0,6,1
TEOHARI D,2,1,0,0,0,1,0,0,0,0,0,0,0,2,0
TEOHARI D,3,0,1,0,0,1,0,0,0,0,0,0,0,2,0
