Period,Time,Action,Score,Team,Player,Cap,Opponent,ROU,Seconds,Game,Opponent name,Result,Goal
1.0,7:42,Centre shot,1 - 0,ITA,AICARDI M,11.0,1,0,462,1,ITA,Goal,1
1.0,6:52,Extra player shot,2 - 0,ITA,AICARDI M,11.0,2,0,412,1,ITA,Goal,1
1.0,6:29,Action shot,2 - 0,ROU,GHIBAN A,11.0,2,0,389,1,ITA,Missed,0
1.0,4:01,Extra player shot,3 - 0,ITA,FELUGO M,6.0,3,0,241,1,ITA,Goal,1
1.0,3:08,Action shot,3 - 0,ITA,GALLO V,8.0,3,0,188,1,ITA,Saved,0
1.0,2:22,5m shot,4 - 0,ITA,PRESCIUTTI C,9.0,4,0,142,1,ITA,Goal,1
1.0,1:28,5m shot,4 - 0,ITA,PRESCIUTTI C,9.0,4,0,88,1,ITA,Blocked,0
1.0,1:01,5m shot,4 - 1,ROU,NEGREAN T,3.0,4,1,61,1,ITA,Goal,1
1.0,0:18,Action shot,4 - 1,ROU,GEORGESCU R,10.0,4,1,18,1,ITA,Post,0
1.0,0:01,5m shot,4 - 1,ITA,FIGARI N,7.0,4,1,1,1,ITA,Saved,0
2.0,7:12,5m shot,4 - 1,ROU,GHIBAN A,11.0,4,1,432,1,ITA,Saved,0
2.0,7:01,Counter attack,5 - 1,ITA,GALLO V,8.0,5,1,421,1,ITA,Goal,1
2.0,6:08,5m shot,5 - 1,ITA,FIGLIOLI P,4.0,5,1,368,1,ITA,Blocked,0
2.0,5:28,Action shot,5 - 2,ROU,CHIOVEANU M,8.0,5,2,328,1,ITA,Goal,1
2.0,5:07,Extra player shot,5 - 2,ITA,FIGLIOLI P,4.0,5,2,307,1,ITA,Blocked,0
2.0,4:33,Action shot,5 - 2,ROU,GEORGESCU R,10.0,5,2,273,1,ITA,Saved,0
2.0,4:11,Action shot,5 - 2,ROU,GOANTA D,9.0,5,2,251,1,ITA,Saved,0
2.0,3:46,Action shot,5 - 2,ITA,FIGLIOLI P,4.0,5,2,226,1,ITA,Saved,0
2.0,3:01,5m shot,5 - 2,ITA,FIGLIOLI P,4.0,5,2,181,1,ITA,Missed,0
2.0,2:18,Centre shot,5 - 2,ITA,NAPOLITANO C,12.0,5,2,138,1,ITA,Saved,0
2.0,1:12,Extra player shot,5 - 2,ITA,AICARDI M,11.0,5,2,72,1,ITA,Saved,0
2.0,0:34,Extra player shot,5 - 2,ROU,NEGREAN T,3.0,5,2,34,1,ITA,Saved,0
2.0,0:01,Penalty shot,5 - 2,ITA,GIORGETTI A,5.0,5,2,1,1,ITA,Post,0
3.0,7:30,5m shot,5 - 2,ITA,FIGLIOLI P,4.0,5,2,450,1,ITA,Blocked,0
3.0,7:03,5m shot,5 - 2,ITA,PRESCIUTTI C,9.0,5,2,423,1,ITA,Saved,0
3.0,6:34,Action shot,5 - 2,ROU,DIACONU N,4.0,5,2,394,1,ITA,Blocked,0
3.0,6:05,Extra player shot,6 - 2,ITA,PEREZ A,2.0,6,2,365,1,ITA,Goal,1
3.0,5:39,5m shot,6 - 2,ROU,GHIBAN A,11.0,6,2,339,1,ITA,Saved,0
3.0,4:47,5m shot,6 - 2,ROU,BUSILA A,6.0,6,2,287,1,ITA,Saved,0
3.0,3:53,Action shot,6 - 2,ITA,NAPOLITANO C,12.0,6,2,233,1,ITA,Blocked,0
3.0,3:31,5m shot,6 - 3,ROU,MATEI A,7.0,6,3,211,1,ITA,Goal,1
3.0,2:59,5m shot,6 - 3,ITA,FELUGO M,6.0,6,3,179,1,ITA,Saved,0
3.0,2:29,Action shot,6 - 3,ITA,PEREZ A,2.0,6,3,149,1,ITA,Saved,0
3.0,1:50,Action shot,7 - 3,ITA,FIGLIOLI P,4.0,7,3,110,1,ITA,Goal,1
3.0,1:25,5m shot,7 - 4,ROU,DIACONU N,4.0,7,4,85,1,ITA,Goal,1
3.0,0:08,5m shot,7 - 4,ITA,FELUGO M,6.0,7,4,8,1,ITA,Saved,0
4.0,7:32,5m shot,7 - 4,ITA,GALLO V,8.0,7,4,452,1,ITA,Saved,0
4.0,7:02,5m shot,7 - 4,ITA,GALLO V,8.0,7,4,422,1,ITA,Blocked,0
4.0,6:58,5m shot,7 - 4,ITA,GALLO V,8.0,7,4,418,1,ITA,Missed,0
4.0,6:37,5m shot,7 - 4,ROU,DIACONU N,4.0,7,4,397,1,ITA,Saved,0
4.0,6:20,Centre shot,7 - 4,ITA,FIGLIOLI P,4.0,7,4,380,1,ITA,Missed,0
4.0,5:56,5m shot,7 - 4,ROU,MATEI A,7.0,7,4,356,1,ITA,Missed,0
4.0,5:38,5m shot,7 - 4,ITA,FIGLIOLI P,4.0,7,4,338,1,ITA,Missed,0
4.0,5:13,5m shot,7 - 4,ROU,GHIBAN A,11.0,7,4,313,1,ITA,Missed,0
4.0,4:47,Centre shot,7 - 4,ITA,PRESCIUTTI C,9.0,7,4,287,1,ITA,Saved,0
4.0,4:05,Action shot,7 - 4,ROU,CRETU A,12.0,7,4,245,1,ITA,Missed,0
4.0,3:38,Centre shot,8 - 4,ITA,AICARDI M,11.0,8,4,218,1,ITA,Goal,1
4.0,2:59,Centre shot,8 - 4,ITA,AICARDI M,11.0,8,4,179,1,ITA,Post,0
4.0,2:35,Action shot,9 - 4,ITA,PEREZ A,2.0,9,4,155,1,ITA,Goal,1
4.0,2:03,5m shot,9 - 4,ROU,MATEI A,7.0,9,4,123,1,ITA,Blocked,0
4.0,1:39,5m shot,9 - 4,ITA,GALLO V,8.0,9,4,99,1,ITA,Missed,0
4.0,1:11,5m shot,9 - 4,ROU,CHIOVEANU M,8.0,9,4,71,1,ITA,Missed,0
4.0,0:52,Action shot,10 - 4,ITA,FIGLIOLI P,4.0,10,4,52,1,ITA,Goal,1
4.0,0:27,5m shot,10 - 4,ROU,MATEI A,7.0,10,4,27,1,ITA,Blocked,0
4.0,0:02,5m shot,10 - 4,ITA,PRESCIUTTI C,9.0,10,4,2,1,ITA,Missed,0
4.0,0:01,5m shot,10 - 4,ROU,DIACONU N,4.0,10,4,1,1,ITA,Saved,0
1.0,6:58,Extra player shot,0 - 0,KAZ,UKUMANOV R,9.0,0,0,418,2,KAZ,Post,0
1.0,5:55,Action shot,0 - 0,KAZ,UKUMANOV R,9.0,0,0,355,2,KAZ,Blocked,0
1.0,5:20,Extra player shot,0 - 0,ROU,NEGREAN T,3.0,0,0,320,2,KAZ,Blocked,0
1.0,3:50,Extra player shot,1 - 0,KAZ,SHMIDER A,6.0,1,0,230,2,KAZ,Goal,1
1.0,3:04,Extra player shot,1 - 0,ROU,GEORGESCU R,10.0,1,0,184,2,KAZ,Post,0
1.0,2:21,5m shot,1 - 0,ROU,MATEI A,7.0,1,0,141,2,KAZ,Saved,0
1.0,1:30,Centre shot,1 - 0,ROU,IANC P,2.0,1,0,90,2,KAZ,Missed,0
1.0,1:05,5m shot,1 - 0,KAZ,USHAKOV V,7.0,1,0,65,2,KAZ,Blocked,0
1.0,0:38,5m shot,1 - 0,ROU,GEORGESCU R,10.0,1,0,38,2,KAZ,Blocked,0
1.0,0:09,Extra player shot,1 - 0,ROU,GOANTA D,9.0,1,0,9,2,KAZ,Saved,0
2.0,6:47,Extra player shot,1 - 0,ROU,TEOHARI D,5.0,1,0,407,2,KAZ,Post,0
2.0,5:59,Action shot,2 - 0,KAZ,SHMIDER A,6.0,2,0,359,2,KAZ,Goal,1
2.0,5:17,5m shot,2 - 0,KAZ,UKUMANOV R,9.0,2,0,317,2,KAZ,Missed,0
2.0,4:49,5m shot,2 - 0,ROU,CRETU A,12.0,2,0,289,2,KAZ,Blocked,0
2.0,3:53,5m shot,2 - 1,ROU,CRETU A,12.0,2,1,233,2,KAZ,Goal,1
2.0,3:13,Extra player shot,2 - 1,KAZ,GUBAREV S,2.0,2,1,193,2,KAZ,Blocked,0
2.0,3:10,Action shot,3 - 1,KAZ,MEDVEDEV Y,3.0,3,1,190,2,KAZ,Goal,1
2.0,2:36,Extra player shot,3 - 2,ROU,IANC P,2.0,3,2,156,2,KAZ,Goal,1
2.0,1:46,Action shot,3 - 2,KAZ,USHAKOV V,7.0,3,2,106,2,KAZ,Blocked,0
2.0,1:26,Action shot,3 - 2,ROU,NEGREAN T,3.0,3,2,86,2,KAZ,Saved,0
2.0,0:59,5m shot,3 - 2,ROU,TEOHARI D,5.0,3,2,59,2,KAZ,Blocked,0
2.0,0:01,5m shot,3 - 2,ROU,NEGREAN T,3.0,3,2,1,2,KAZ,Saved,0
3.0,6:53,Extra player shot,3 - 3,ROU,NEGREAN T,3.0,3,3,413,2,KAZ,Goal,1
3.0,6:30,5m shot,4 - 3,KAZ,MEDVEDEV Y,3.0,4,3,390,2,KAZ,Goal,1
3.0,5:47,Action shot,4 - 3,KAZ,UKUMANOV R,9.0,4,3,347,2,KAZ,Saved,0
3.0,4:52,Action shot,5 - 3,KAZ,KOLIADENKO A,8.0,5,3,292,2,KAZ,Goal,1
3.0,4:01,5m shot,5 - 3,KAZ,GUBAREV S,2.0,5,3,241,2,KAZ,Saved,0
