Action,Cap,Game,Opponent,Opponent name,Period,Player,SRB,Score,Seconds,Team,Time
Starting goalkeeper,13.0,1,0,AUS,1.0,CLARK J,0,0 - 0,480,AUS,8:00
Starting goalkeeper,1.0,1,0,AUS,1.0,MITROVIC B,0,0 - 0,480,SRB,8:00
Sprint won possession,11.0,1,0,AUS,1.0,HOWDEN R,0,0 - 0,480,AUS,8:00
Turnover foul,11.0,1,0,AUS,1.0,HOWDEN R,0,0 - 0,452,AUS,7:32
Steal,11.0,1,0,AUS,1.0,PRLAINOVIC A,0,0 - 0,452,SRB,7:32
Action shot - Blocked,4.0,1,0,AUS,1.0,UDOVICIC V,0,0 - 0,423,SRB,7:03
Action shot - Post,5.0,1,0,AUS,1.0,POWER N,0,0 - 0,399,AUS,6:39
Turnover foul,6.0,1,0,AUS,1.0,PIJETLOVIC D,0,0 - 0,373,SRB,6:13
Counter attack - Goal,4.0,1,0,AUS,1.0,UDOVICIC V,1,1 - 0,335,SRB,5:35
Turnover foul,7.0,1,0,AUS,1.0,ROACH A,1,1 - 0,306,AUS,5:06
Steal,10.0,1,0,AUS,1.0,FILIPOVIC F,1,1 - 0,306,SRB,5:06
Action shot - Blocked,11.0,1,0,AUS,1.0,PRLAINOVIC A,1,1 - 0,277,SRB,4:37
20 sec. exclusion in field,7.0,1,0,AUS,1.0,NIKIC S,1,1 - 0,258,SRB,4:18
Extra player shot - Goal,11.0,1,1,AUS,1.0,HOWDEN R,1,1 - 1,257,AUS,4:17
20 sec. exclusion in field,6.0,1,1,AUS,1.0,GILCHRIST J,1,1 - 1,246,AUS,4:06
Extra player shot - Goal,6.0,1,1,AUS,1.0,PIJETLOVIC D,2,2 - 1,228,SRB,3:48
Centre shot - Goal,9.0,1,2,AUS,1.0,SWIFT J,2,2 - 2,206,AUS,3:26
Turnover foul,6.0,1,2,AUS,1.0,PIJETLOVIC D,2,2 - 2,186,SRB,3:06
Steal,2.0,1,2,AUS,1.0,CAMPBELL R,2,2 - 2,186,AUS,3:06
Action shot - Saved,2.0,1,2,AUS,1.0,CAMPBELL R,2,2 - 2,159,AUS,2:39
20 sec. exclusion in field,4.0,1,2,AUS,1.0,COTTERILL J,2,2 - 2,142,AUS,2:22
20 sec. exclusion in field,12.0,1,2,AUS,1.0,MILLER W,2,2 - 2,126,AUS,2:06
Extra player shot - Goal,4.0,1,2,AUS,1.0,UDOVICIC V,3,3 - 2,124,SRB,2:04
Action shot - Saved,6.0,1,2,AUS,1.0,GILCHRIST J,3,3 - 2,95,AUS,1:35
20 sec. exclusion in centre,8.0,1,2,AUS,1.0,ALEKSIC M,3,3 - 2,81,SRB,1:21
Extra player shot - Goal,8.0,1,3,AUS,1.0,YOUNGER A,3,3 - 3,66,AUS,1:06
20 sec. exclusion in centre,5.0,1,3,AUS,1.0,POWER N,3,3 - 3,44,AUS,0:44
Extra player shot - Goal,10.0,1,3,AUS,1.0,FILIPOVIC F,4,4 - 3,29,SRB,0:29
Action shot - Saved,2.0,1,3,AUS,1.0,CAMPBELL R,4,4 - 3,3,AUS,0:03
Action shot - Blocked,12.0,1,3,AUS,1.0,MILLER W,4,4 - 3,2,AUS,0:02
Starting goalkeeper,1.0,1,3,AUS,2.0,MITROVIC B,4,4 - 3,480,SRB,8:00
Starting goalkeeper,13.0,1,3,AUS,2.0,CLARK J,4,4 - 3,480,AUS,8:00
Sprint won possession,11.0,1,3,AUS,2.0,HOWDEN R,4,4 - 3,480,AUS,8:00
Turnover foul,7.0,1,3,AUS,2.0,NIKIC S,4,4 - 3,426,SRB,7:06
Steal,7.0,1,3,AUS,2.0,ROACH A,4,4 - 3,426,AUS,7:06
20 sec. exclusion in field,3.0,1,3,AUS,2.0,GOCIC Z,4,4 - 3,419,SRB,6:59
Turnover foul,2.0,1,3,AUS,2.0,CAMPBELL R,4,4 - 3,392,AUS,6:32
Steal,11.0,1,3,AUS,2.0,PRLAINOVIC A,4,4 - 3,392,SRB,6:32
20 sec. exclusion in field,8.0,1,3,AUS,2.0,YOUNGER A,4,4 - 3,366,AUS,6:06
Extra player shot - Goal,7.0,1,3,AUS,2.0,NIKIC S,5,5 - 3,352,SRB,5:52
20 sec. exclusion in centre,10.0,1,3,AUS,2.0,FILIPOVIC F,5,5 - 3,332,SRB,5:32
Extra player shot - Missed,7.0,1,3,AUS,2.0,ROACH A,5,5 - 3,319,AUS,5:19
