Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
ALEKSIC M,2,0,1,0,0,2,0,0,0,0,0,0,0,3,0
ALEKSIC M,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ALEKSIC M,4,1,0,0,0,2,0,0,0,0,0,1,0,3,1
ALEKSIC M,5,0,1,0,0,0,0,0,1,0,0,0,0,1,1
CUK M,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
CUK M,2,0,1,0,0,1,0,0,0,0,0,1,0,2,1
CUK M,3,0,2,0,0,0,0,0,1,0,0,0,0,2,1
CUK M,4,0,1,0,0,1,0,0,1,0,0,1,0,2,2
CUK M,6,0,2,0,0,0,0,0,1,0,0,0,0,2,1
CUK M,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0
FILIPOVIC F,1,0,0,0,0,3,0,0,0,0,0,2,0,3,2
FILIPOVIC F,2,2,1,0,0,1,0,0,1,0,0,1,0,4,2
FILIPOVIC F,3,1,0,0,1,0,1,1,0,0,1,0,0,3,2
FILIPOVIC F,4,0,2,0,1,0,0,0,1,0,1,0,0,3,2
FILIPOVIC F,5,0,2,0,0,0,1,0,0,0,0,0,1,3,1
FILIPOVIC F,6,2,1,0,1,1,0,0,1,0,0,1,0,5,2
FILIPOVIC F,7,2,2,0,0,1,1,2,2,0,0,1,0,6,5
GOCIC Z,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
GOCIC Z,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
GOCIC Z,3,0,0,0,0,1,0,0,0,0,0,1,0,1,1
GOCIC Z,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0
GOCIC Z,5,0,1,0,1,1,0,0,1,0,0,0,0,3,1
GOCIC Z,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0
GOCIC Z,7,1,1,1,1,0,0,0,1,0,1,0,0,4,2
MANDIC D,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0
MANDIC D,2,0,3,0,0,0,0,0,1,0,0,0,0,3,1
MANDIC D,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0
MANDIC D,4,0,0,0,1,1,0,0,0,0,0,1,0,2,1
MANDIC D,5,0,1,0,0,1,0,0,0,0,0,1,0,2,1
MANDIC D,6,1,2,0,0,0,0,0,1,0,0,0,0,3,1
MANDIC D,7,0,2,0,0,0,0,0,0,0,0,0,0,2,0
MITROVIC S,2,0,1,0,0,1,0,0,0,0,0,1,0,2,1
MITROVIC S,3,0,1,0,3,1,0,0,0,0,3,1,0,5,4
MITROVIC S,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0
MITROVIC S,5,0,2,0,0,1,0,0,2,0,0,0,0,3,2
MITROVIC S,6,0,1,1,0,1,0,0,0,0,0,0,0,3,0
MITROVIC S,7,1,0,0,0,0,0,1,0,0,0,0,0,1,1
NIKIC S,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
NIKIC S,2,0,0,0,0,3,0,0,0,0,0,3,0,3,3
NIKIC S,3,0,1,1,0,2,0,0,0,1,0,0,0,4,1
NIKIC S,4,0,0,1,0,1,0,0,0,1,0,1,0,2,2
NIKIC S,5,0,0,2,0,0,0,0,0,1,0,0,0,2,1
NIKIC S,6,0,1,2,1,1,0,0,0,0,0,0,0,5,0
NIKIC S,7,0,0,1,0,0,0,0,0,1,0,0,0,1,1
PIJETLOVIC D,1,0,0,1,0,2,0,0,0,1,0,2,0,3,3
PIJETLOVIC D,2,0,0,1,0,0,0,0,0,1,0,0,0,1,1
PIJETLOVIC D,3,0,1,4,0,0,0,0,1,2,0,0,0,5,3
PIJETLOVIC D,4,0,2,2,0,2,0,0,1,0,0,1,0,6,2
PIJETLOVIC D,5,0,1,1,0,1,0,0,0,0,0,1,0,3,1
PIJETLOVIC D,6,0,1,2,0,1,0,0,0,1,0,1,0,4,2
PIJETLOVIC D,7,1,0,1,0,2,0,0,0,1,0,1,0,4,2
PRLAINOVIC A,1,0,4,0,0,0,0,0,0,0,0,0,0,4,0
PRLAINOVIC A,2,0,3,0,0,1,1,0,1,0,0,1,1,5,3
PRLAINOVIC A,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1
PRLAINOVIC A,5,2,1,0,0,1,0,0,0,0,0,0,0,4,0
PRLAINOVIC A,6,3,1,1,0,0,0,0,0,1,0,0,0,5,1
PRLAINOVIC A,7,0,1,2,1,0,0,0,0,0,0,0,0,4,0
RADEN N,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0
RADEN N,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
RADEN N,4,2,0,0,0,0,0,1,0,0,0,0,0,2,1
RADEN N,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
RADEN N,7,0,2,0,0,0,0,0,1,0,0,0,0,2,1
UDOVICIC V,1,0,1,0,1,3,0,0,0,0,1,2,0,5,3
UDOVICIC V,2,0,1,0,1,1,0,0,0,0,1,0,0,3,1
UDOVICIC V,3,0,2,0,1,0,1,0,1,0,1,0,1,4,3
UDOVICIC V,4,0,1,1,1,0,0,0,0,1,1,0,0,3,2
UDOVICIC V,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
UDOVICIC V,6,1,3,1,0,0,0,0,0,1,0,0,0,5,1
UDOVICIC V,7,2,0,0,0,1,0,1,0,0,0,0,0,3,1
