AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
0,Starting goalkeeper,1.0,1,0,NZL,1.0,MILLAR B,0 - 0,480,NZL,8:00
0,Starting goalkeeper,1.0,1,0,NZL,1.0,BARTA L,0 - 0,480,AUS,8:00
0,Sprint won possession,12.0,1,0,NZL,1.0,ZAGAME N,0 - 0,480,AUS,8:00
0,Turnover foul,6.0,1,0,NZL,1.0,KNOX B,0 - 0,457,AUS,7:37
0,Steal,12.0,1,0,NZL,1.0,MYLES A,0 - 0,457,NZL,7:37
0,Turnover foul,4.0,1,0,NZL,1.0,LEWIS N,0 - 0,429,NZL,7:09
0,Steal,7.0,1,0,NZL,1.0,WEBSTER R,0 - 0,429,AUS,7:09
1,5m shot - Goal,7.0,1,0,NZL,1.0,WEBSTER R,1 - 0,405,AUS,6:45
1,Turnover foul,3.0,1,0,NZL,1.0,MASON K,1 - 0,388,NZL,6:28
1,Steal,10.0,1,0,NZL,1.0,SOUTHERN A,1 - 0,388,AUS,6:28
1,Turnover foul,4.0,1,0,NZL,1.0,LINCOLN-SMITH H,1 - 0,367,AUS,6:07
1,Turnover foul,3.0,1,0,NZL,1.0,MASON K,1 - 0,337,NZL,5:37
1,Steal,10.0,1,0,NZL,1.0,SOUTHERN A,1 - 0,337,AUS,5:37
1,Centre shot - Saved,12.0,1,0,NZL,1.0,ZAGAME N,1 - 0,320,AUS,5:20
1,5m shot - Post,3.0,1,0,NZL,1.0,MASON K,1 - 0,295,NZL,4:55
1,Turnover foul,10.0,1,0,NZL,1.0,SOUTHERN A,1 - 0,285,AUS,4:45
1,5m shot - Saved,9.0,1,0,NZL,1.0,SIEPRATH L,1 - 0,260,NZL,4:20
1,20 sec. exclusion in field,10.0,1,0,NZL,1.0,BOWRY C,1 - 0,259,NZL,4:19
1,Turnover foul,7.0,1,0,NZL,1.0,WEBSTER R,1 - 0,244,AUS,4:04
1,20 sec. exclusion in field,12.0,1,0,NZL,1.0,ZAGAME N,1 - 0,220,AUS,3:40
1,Action shot - Saved,11.0,1,0,NZL,1.0,HUDSON K,1 - 0,197,NZL,3:17
1,Turnover foul,8.0,1,0,NZL,1.0,McGHIE G,1 - 0,171,AUS,2:51
1,Turnover foul,2.0,1,0,NZL,1.0,COX E,1 - 0,144,NZL,2:24
1,Steal,8.0,1,0,NZL,1.0,McGHIE G,1 - 0,144,AUS,2:24
2,Centre shot - Goal,4.0,1,0,NZL,1.0,LINCOLN-SMITH H,2 - 0,117,AUS,1:57
2,20 sec. exclusion in centre,5.0,1,0,NZL,1.0,BISHOP I,2 - 0,109,AUS,1:49
2,Extra player shot - Goal,2.0,1,1,NZL,1.0,COX E,2 - 1,90,NZL,1:30
2,20 sec. exclusion in centre,8.0,1,1,NZL,1.0,LEWIS D,2 - 1,68,NZL,1:08
3,Extra player shot - Goal,9.0,1,1,NZL,1.0,ARANCINI Z,3 - 1,49,AUS,0:49
3,Turnover foul,7.0,1,1,NZL,1.0,LANDRY S,3 - 1,33,NZL,0:33
3,5m shot - Missed,9.0,1,1,NZL,1.0,ARANCINI Z,3 - 1,15,AUS,0:15
3,5m shot - Missed,1.0,1,1,NZL,1.0,MILLAR B,3 - 1,1,NZL,0:01
3,Starting goalkeeper,1.0,1,1,NZL,2.0,MILLAR B,3 - 1,480,NZL,8:00
3,Starting goalkeeper,1.0,1,1,NZL,2.0,BARTA L,3 - 1,480,AUS,8:00
3,Sprint won possession,7.0,1,1,NZL,2.0,LANDRY S,3 - 1,480,NZL,8:00
3,Turnover foul,4.0,1,1,NZL,2.0,LEWIS N,3 - 1,458,NZL,7:38
4,5m shot - Goal,7.0,1,1,NZL,2.0,WEBSTER R,4 - 1,429,AUS,7:09
4,5m shot - Saved,6.0,1,1,NZL,2.0,SMITH L,4 - 1,400,NZL,6:40
4,Turnover foul,2.0,1,1,NZL,2.0,APPEL J,4 - 1,383,AUS,6:23
4,5m shot - Missed,7.0,1,1,NZL,2.0,LANDRY S,4 - 1,359,NZL,5:59
4,Action shot - Saved,3.0,1,1,NZL,2.0,BUCKLING H,4 - 1,333,AUS,5:33
4,5m shot - Missed,11.0,1,1,NZL,2.0,HUDSON K,4 - 1,318,NZL,5:18
4,20 sec. exclusion in field,2.0,1,1,NZL,2.0,COX E,4 - 1,296,NZL,4:56
5,Extra player shot - Goal,10.0,1,1,NZL,2.0,SOUTHERN A,5 - 1,287,AUS,4:47
5,Action shot - Missed,12.0,1,1,NZL,2.0,MYLES A,5 - 1,263,NZL,4:23
6,Centre shot - Goal,4.0,1,1,NZL,2.0,LINCOLN-SMITH H,6 - 1,244,AUS,4:04
