AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
1,5m shot,7.0,1,0,NZL,1.0,WEBSTER R,1 - 0,405,AUS,6:45,Goal,1
1,Centre shot,12.0,1,0,NZL,1.0,ZAGAME N,1 - 0,320,AUS,5:20,Saved,0
1,5m shot,3.0,1,0,NZL,1.0,MASON K,1 - 0,295,NZL,4:55,Post,0
1,5m shot,9.0,1,0,NZL,1.0,SIEPRATH L,1 - 0,260,NZL,4:20,Saved,0
1,Action shot,11.0,1,0,NZL,1.0,HUDSON K,1 - 0,197,NZL,3:17,Saved,0
2,Centre shot,4.0,1,0,NZL,1.0,LINCOLN-SMITH H,2 - 0,117,AUS,1:57,Goal,1
2,Extra player shot,2.0,1,1,NZL,1.0,COX E,2 - 1,90,NZL,1:30,Goal,1
3,Extra player shot,9.0,1,1,NZL,1.0,ARANCINI Z,3 - 1,49,AUS,0:49,Goal,1
3,5m shot,9.0,1,1,NZL,1.0,ARANCINI Z,3 - 1,15,AUS,0:15,Missed,0
3,5m shot,1.0,1,1,NZL,1.0,MILLAR B,3 - 1,1,NZL,0:01,Missed,0
4,5m shot,7.0,1,1,NZL,2.0,WEBSTER R,4 - 1,429,AUS,7:09,Goal,1
4,5m shot,6.0,1,1,NZL,2.0,SMITH L,4 - 1,400,NZL,6:40,Saved,0
4,5m shot,7.0,1,1,NZL,2.0,LANDRY S,4 - 1,359,NZL,5:59,Missed,0
4,Action shot,3.0,1,1,NZL,2.0,BUCKLING H,4 - 1,333,AUS,5:33,Saved,0
4,5m shot,11.0,1,1,NZL,2.0,HUDSON K,4 - 1,318,NZL,5:18,Missed,0
5,Extra player shot,10.0,1,1,NZL,2.0,SOUTHERN A,5 - 1,287,AUS,4:47,Goal,1
5,Action shot,12.0,1,1,NZL,2.0,MYLES A,5 - 1,263,NZL,4:23,Missed,0
6,Centre shot,4.0,1,1,NZL,2.0,LINCOLN-SMITH H,6 - 1,244,AUS,4:04,Goal,1
6,Extra player shot,3.0,1,2,NZL,2.0,MASON K,6 - 2,207,NZL,3:27,Goal,1
7,Centre shot,2.0,1,2,NZL,2.0,APPEL J,7 - 2,194,AUS,3:14,Goal,1
7,Action shot,10.0,1,3,NZL,2.0,BOWRY C,7 - 3,176,NZL,2:56,Goal,1
7,Centre shot,2.0,1,3,NZL,2.0,APPEL J,7 - 3,151,AUS,2:31,Saved,0
7,5m shot,3.0,1,3,NZL,2.0,MASON K,7 - 3,127,NZL,2:07,Saved,0
7,5m shot,6.0,1,3,NZL,2.0,KNOX B,7 - 3,97,AUS,1:37,Saved,0
7,5m shot,10.0,1,3,NZL,2.0,BOWRY C,7 - 3,67,NZL,1:07,Saved,0
7,5m shot,6.0,1,3,NZL,2.0,KNOX B,7 - 3,37,AUS,0:37,Saved,0
7,5m shot,10.0,1,3,NZL,2.0,BOWRY C,7 - 3,15,NZL,0:15,Blocked,0
7,5m shot,10.0,1,3,NZL,2.0,BOWRY C,7 - 3,7,NZL,0:07,Missed,0
7,5m shot,3.0,1,3,NZL,3.0,MASON K,7 - 3,459,NZL,7:39,Saved,0
8,5m shot,11.0,1,3,NZL,3.0,GOFERS K,8 - 3,441,AUS,7:21,Goal,1
8,5m shot,8.0,1,3,NZL,3.0,LEWIS D,8 - 3,414,NZL,6:54,Saved,0
8,Action shot,11.0,1,3,NZL,3.0,GOFERS K,8 - 3,395,AUS,6:35,Saved,0
8,Extra player shot,7.0,1,3,NZL,3.0,WEBSTER R,8 - 3,368,AUS,6:08,Saved,0
9,Action shot,7.0,1,3,NZL,3.0,WEBSTER R,9 - 3,340,AUS,5:40,Goal,1
9,Extra player shot,9.0,1,3,NZL,3.0,SIEPRATH L,9 - 3,315,NZL,5:15,Saved,0
9,5m shot,12.0,1,3,NZL,3.0,ZAGAME N,9 - 3,281,AUS,4:41,Saved,0
9,Centre shot,2.0,1,3,NZL,3.0,APPEL J,9 - 3,274,AUS,4:34,Missed,0
9,5m shot,3.0,1,3,NZL,3.0,MASON K,9 - 3,229,NZL,3:49,Blocked,0
10,Action shot,12.0,1,3,NZL,3.0,ZAGAME N,10 - 3,219,AUS,3:39,Goal,1
10,Extra player shot,11.0,1,3,NZL,3.0,HUDSON K,10 - 3,146,NZL,2:26,Post,0
10,5m shot,6.0,1,3,NZL,3.0,KNOX B,10 - 3,116,AUS,1:56,Post,0
11,Penalty shot,10.0,1,3,NZL,3.0,SOUTHERN A,11 - 3,81,AUS,1:21,Goal,1
11,5m shot,7.0,1,3,NZL,3.0,LANDRY S,11 - 3,57,NZL,0:57,Saved,0
11,5m shot,6.0,1,3,NZL,3.0,SMITH L,11 - 3,6,NZL,0:06,Missed,0
11,5m shot,6.0,1,3,NZL,4.0,SMITH L,11 - 3,372,NZL,6:12,Blocked,0
11,Action shot,7.0,1,3,NZL,4.0,WEBSTER R,11 - 3,346,AUS,5:46,Saved,0
12,Centre shot,3.0,1,3,NZL,4.0,BUCKLING H,12 - 3,307,AUS,5:07,Goal,1
12,5m shot,10.0,1,3,NZL,4.0,BOWRY C,12 - 3,286,NZL,4:46,Missed,0
12,5m shot,3.0,1,4,NZL,4.0,MASON K,12 - 4,275,NZL,4:35,Goal,1
12,5m shot,10.0,1,4,NZL,4.0,SOUTHERN A,12 - 4,256,AUS,4:16,Post,0
12,5m shot,12.0,1,4,NZL,4.0,MYLES A,12 - 4,231,NZL,3:51,Missed,0
12,Action shot,8.0,1,4,NZL,4.0,McGHIE G,12 - 4,205,AUS,3:25,Missed,0
12,5m shot,8.0,1,4,NZL,4.0,LEWIS D,12 - 4,124,NZL,2:04,Saved,0
13,Centre shot,4.0,1,4,NZL,4.0,LINCOLN-SMITH H,13 - 4,109,AUS,1:49,Goal,1
13,Action shot,6.0,1,4,NZL,4.0,SMITH L,13 - 4,83,NZL,1:23,Saved,0
14,5m shot,7.0,1,4,NZL,4.0,WEBSTER R,14 - 4,49,AUS,0:49,Goal,1
14,5m shot,11.0,1,4,NZL,4.0,HUDSON K,14 - 4,23,NZL,0:23,Saved,0
15,Extra player shot,9.0,1,4,NZL,4.0,ARANCINI Z,15 - 4,2,AUS,0:02,Goal,1
15,5m shot,11.0,1,4,NZL,4.0,HUDSON K,15 - 4,1,NZL,0:01,Saved,0
0,Action shot,10.0,2,0,CHN,1.0,SOUTHERN A,0 - 0,457,AUS,7:37,Saved,0
0,Action shot,5.0,2,0,CHN,1.0,BISHOP I,0 - 0,411,AUS,6:51,Blocked,0
0,Action shot,3.0,2,1,CHN,1.0,LIU P,0 - 1,388,CHN,6:28,Goal,1
0,Extra player shot,2.0,2,1,CHN,1.0,TENG F,0 - 1,310,CHN,5:10,Saved,0
0,Action shot,2.0,2,1,CHN,1.0,TENG F,0 - 1,305,CHN,5:05,Missed,0
1,Action shot,7.0,2,1,CHN,1.0,WEBSTER R,1 - 1,289,AUS,4:49,Goal,1
1,Centre shot,2.0,2,1,CHN,1.0,APPEL J,1 - 1,218,AUS,3:38,Missed,0
1,Action shot,4.0,2,2,CHN,1.0,SUN Y,1 - 2,201,CHN,3:21,Goal,1
1,Action shot,6.0,2,2,CHN,1.0,KNOX B,1 - 2,178,AUS,2:58,Missed,0
1,Centre shot,3.0,2,3,CHN,1.0,LIU P,1 - 3,136,CHN,2:16,Goal,1
1,Action shot,10.0,2,3,CHN,1.0,SOUTHERN A,1 - 3,107,AUS,1:47,Post,0
1,Action shot,2.0,2,3,CHN,1.0,TENG F,1 - 3,87,CHN,1:27,Saved,0
