Period,Time,Action,Score,Team,Player,Cap,Opponent,BRA,Seconds,Game,Opponent name
1.0,8:00,Starting goalkeeper,0 - 0,HUN,BOLONYAI F,1.0,0,0,480,1,HUN
1.0,8:00,Starting goalkeeper,0 - 0,BRA,CANETTI M,1.0,0,0,480,1,HUN
1.0,8:00,Sprint won possession,0 - 0,HUN,KESZTHELYI R,8.0,0,0,480,1,HUN
1.0,7:38,Turnover foul,0 - 0,HUN,BUJKA B,10.0,0,0,458,1,HUN
1.0,7:38,Steal,0 - 0,BRA,CANETTI M,4.0,0,0,458,1,HUN
1.0,7:18,Centre shot - Post,0 - 0,BRA,CANETTI M,4.0,0,0,438,1,HUN
1.0,7:03,5m shot - Goal,1 - 0,HUN,KESZTHELYI R,8.0,1,0,423,1,HUN
1.0,6:46,Action shot - Saved,1 - 0,BRA,CHIAPPINI I,8.0,1,0,406,1,HUN
1.0,6:29,Action shot - Post,1 - 0,HUN,BUJKA B,10.0,1,0,389,1,HUN
1.0,6:03,Turnover foul,1 - 0,BRA,CANETTI M,4.0,1,0,363,1,HUN
1.0,5:55,5m shot - Goal,2 - 0,HUN,KESZTHELYI R,8.0,2,0,355,1,HUN
1.0,5:32,5m shot - Post,2 - 0,BRA,CHIAPPINI I,8.0,2,0,332,1,HUN
1.0,5:13,5m shot - Saved,2 - 0,HUN,KISTELEKI D,4.0,2,0,313,1,HUN
1.0,4:53,5m shot - Goal,2 - 1,BRA,COUTINHO M,11.0,2,1,293,1,HUN
1.0,4:45,20 sec. exclusion in field,2 - 1,BRA,ZABLITH M,3.0,2,1,285,1,HUN
1.0,4:35,Extra player shot - Goal,3 - 1,HUN,TAKACS O,6.0,3,1,275,1,HUN
1.0,4:22,Turnover foul,3 - 1,BRA,ZABLITH M,3.0,3,1,262,1,HUN
1.0,4:22,Steal,3 - 1,HUN,KESZTHELYI R,8.0,3,1,262,1,HUN
1.0,4:14,Counter attack - Goal,4 - 1,HUN,KESZTHELYI R,8.0,4,1,254,1,HUN
1.0,3:59,20 sec. exclusion in centre,4 - 1,HUN,ILLES A,2.0,4,1,239,1,HUN
1.0,3:40,Extra player shot - Goal,4 - 2,BRA,MAIA L,5.0,4,2,220,1,HUN
1.0,3:29,Turnover foul,4 - 2,HUN,SZUCS G,5.0,4,2,209,1,HUN
1.0,3:29,Steal,4 - 2,BRA,BAHIA V,12.0,4,2,209,1,HUN
1.0,3:06,Turnover foul,4 - 2,BRA,COUTINHO M,11.0,4,2,186,1,HUN
1.0,2:53,Turnover foul,4 - 2,HUN,MISKOLCZI I,7.0,4,2,173,1,HUN
1.0,2:53,Steal,4 - 2,BRA,VIGNA F,10.0,4,2,173,1,HUN
1.0,2:37,20 sec. exclusion in centre,4 - 2,HUN,ILLES A,2.0,4,2,157,1,HUN
1.0,2:17,Extra player shot - Saved,4 - 2,BRA,COUTINHO M,11.0,4,2,137,1,HUN
1.0,1:56,Turnover foul,4 - 2,HUN,TOTH I,9.0,4,2,116,1,HUN
1.0,1:56,Steal,4 - 2,BRA,CHIAPPINI I,8.0,4,2,116,1,HUN
1.0,1:28,Turnover foul,4 - 2,BRA,CHIAPPINI I,8.0,4,2,88,1,HUN
1.0,1:28,Steal,4 - 2,HUN,MENCZINGER K,12.0,4,2,88,1,HUN
1.0,1:12,Penalty foul,4 - 2,BRA,VIGNA F,10.0,4,2,72,1,HUN
1.0,1:12,Penalty shot - Goal,5 - 2,HUN,MENCZINGER K,12.0,5,2,72,1,HUN
1.0,0:54,Action shot - Saved,5 - 2,BRA,CANETTI M,4.0,5,2,54,1,HUN
1.0,0:41,20 sec. exclusion in field,5 - 2,BRA,DIAS M,7.0,5,2,41,1,HUN
1.0,0:36,Extra player shot - Saved,5 - 2,HUN,SZUCS G,5.0,5,2,36,1,HUN
1.0,0:20,Turnover foul,5 - 2,BRA,ZABLITH M,3.0,5,2,20,1,HUN
