Period,Time,Action,Score,Team,Player,Cap,Opponent,BRA,Seconds,Game,Opponent name,Result,Goal
1.0,7:18,Centre shot,0 - 0,BRA,CANETTI M,4.0,0,0,438,1,HUN,Post,0
1.0,7:03,5m shot,1 - 0,HUN,KESZTHELYI R,8.0,1,0,423,1,HUN,Goal,1
1.0,6:46,Action shot,1 - 0,BRA,CHIAPPINI I,8.0,1,0,406,1,HUN,Saved,0
1.0,6:29,Action shot,1 - 0,HUN,BUJKA B,10.0,1,0,389,1,HUN,Post,0
1.0,5:55,5m shot,2 - 0,HUN,KESZTHELYI R,8.0,2,0,355,1,HUN,Goal,1
1.0,5:32,5m shot,2 - 0,BRA,CHIAPPINI I,8.0,2,0,332,1,HUN,Post,0
1.0,5:13,5m shot,2 - 0,HUN,KISTELEKI D,4.0,2,0,313,1,HUN,Saved,0
1.0,4:53,5m shot,2 - 1,BRA,COUTINHO M,11.0,2,1,293,1,HUN,Goal,1
1.0,4:35,Extra player shot,3 - 1,HUN,TAKACS O,6.0,3,1,275,1,HUN,Goal,1
1.0,4:14,Counter attack,4 - 1,HUN,KESZTHELYI R,8.0,4,1,254,1,HUN,Goal,1
1.0,3:40,Extra player shot,4 - 2,BRA,MAIA L,5.0,4,2,220,1,HUN,Goal,1
1.0,2:17,Extra player shot,4 - 2,BRA,COUTINHO M,11.0,4,2,137,1,HUN,Saved,0
1.0,1:12,Penalty shot,5 - 2,HUN,MENCZINGER K,12.0,5,2,72,1,HUN,Goal,1
1.0,0:54,Action shot,5 - 2,BRA,CANETTI M,4.0,5,2,54,1,HUN,Saved,0
1.0,0:36,Extra player shot,5 - 2,HUN,SZUCS G,5.0,5,2,36,1,HUN,Saved,0
1.0,0:05,Counter attack,6 - 2,HUN,MENCZINGER K,12.0,6,2,5,1,HUN,Goal,1
2.0,7:25,Extra player shot,6 - 2,BRA,CHIAPPINI I,8.0,6,2,445,1,HUN,Blocked,0
2.0,7:07,Centre shot,6 - 2,HUN,BUJKA B,10.0,6,2,427,1,HUN,Post,0
