Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
ALOGBO K,1,0,0,5,0,1,0,0,0,3,0,1,0,6,4
ALOGBO K,2,1,0,0,0,1,0,0,0,0,0,1,0,2,1
ALOGBO K,3,0,0,2,0,0,0,0,0,1,0,0,0,2,1
ALOGBO K,4,0,0,2,0,0,0,0,0,1,0,0,0,2,1
ALOGBO K,5,0,0,1,0,0,0,0,0,1,0,0,0,1,1
ALOGBO K,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ALOGBO K,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0
BARON la SALLE S,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
BARON la SALLE S,3,1,2,0,0,0,0,0,0,0,0,0,0,3,0
BARON la SALLE S,4,0,2,0,0,1,0,0,0,0,0,1,0,3,1
BARON la SALLE S,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
BARON la SALLE S,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0
BARON la SALLE S,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0
BEKHAZI J,1,2,1,0,0,0,1,1,0,0,0,0,1,4,2
BEKHAZI J,2,0,3,0,0,0,1,0,0,0,0,0,1,4,1
BEKHAZI J,3,3,1,0,1,0,2,0,1,0,1,0,0,7,2
BEKHAZI J,4,0,3,0,0,0,0,0,0,0,0,0,0,3,0
BEKHAZI J,5,0,5,0,1,1,1,0,2,0,1,0,1,8,4
BEKHAZI J,6,0,1,0,0,2,0,0,0,0,0,1,0,3,1
BEKHAZI J,7,0,3,0,0,2,0,0,1,0,0,1,0,5,2
EGGENS C,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0
EGGENS C,2,0,3,1,0,0,0,0,0,0,0,0,0,4,0
EGGENS C,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0
EGGENS C,4,2,2,0,0,0,0,0,2,0,0,0,0,4,2
EGGENS C,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
EGGENS C,7,0,3,0,0,0,0,0,0,0,0,0,0,3,0
EGGENS M,1,4,4,0,0,1,0,0,0,0,0,0,0,9,0
EGGENS M,2,1,2,0,0,0,0,0,0,0,0,0,0,3,0
EGGENS M,3,2,3,0,0,1,0,2,2,0,0,0,0,6,4
EGGENS M,4,3,5,0,0,1,0,1,2,0,0,1,0,9,4
EGGENS M,5,4,4,0,0,1,0,0,0,0,0,1,0,9,1
EGGENS M,6,2,1,0,0,2,0,0,1,0,0,1,0,5,2
EGGENS M,7,2,2,0,0,2,0,0,0,0,0,0,0,6,0
MONTON K,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
MONTON K,3,0,0,2,0,1,0,0,0,1,0,0,0,3,1
MONTON K,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
MONTON K,5,0,0,2,0,0,0,0,0,2,0,0,0,2,2
PERREAULT D,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
PERREAULT D,2,0,4,0,0,3,0,0,1,0,0,2,0,7,3
PERREAULT D,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
PERREAULT D,4,0,3,0,0,0,0,0,2,0,0,0,0,3,2
PERREAULT D,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
PERREAULT D,6,0,2,0,0,1,0,0,0,0,0,0,0,3,0
PERREAULT D,7,0,3,0,0,2,0,0,0,0,0,2,0,5,2
RADU M,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
RADU M,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
RADU M,4,0,1,1,0,0,0,0,0,1,0,0,0,2,1
RADU M,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0
RADU M,6,0,0,0,0,1,0,0,0,0,0,1,0,1,1
ROBINSON C,1,2,1,0,0,1,0,0,1,0,0,1,0,4,2
ROBINSON C,2,0,3,0,0,0,0,0,0,0,0,0,0,3,0
ROBINSON C,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ROBINSON C,4,1,1,0,0,0,0,1,0,0,0,0,0,2,1
ROBINSON C,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ROBINSON C,6,0,2,1,0,0,0,0,1,0,0,0,0,3,1
ROBINSON C,7,2,1,0,0,0,0,1,0,0,0,0,0,3,1
VALIN S,1,0,1,0,0,1,0,0,0,0,0,1,0,2,1
VALIN S,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1
VALIN S,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
VALIN S,4,2,2,0,0,0,0,0,0,0,0,0,0,4,0
VALIN S,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
VALIN S,6,0,2,0,1,0,0,0,0,0,1,0,0,3,1
VALIN S,7,0,4,0,0,2,0,0,2,0,0,2,0,6,4
WRIGHT E,1,1,1,0,0,2,0,1,1,0,0,1,0,4,3
WRIGHT E,2,2,3,0,0,0,0,1,1,0,0,0,0,5,2
WRIGHT E,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
WRIGHT E,4,0,1,0,0,1,0,0,1,0,0,1,0,2,2
WRIGHT E,5,0,1,0,0,0,0,0,1,0,0,0,0,1,1
WRIGHT E,6,0,2,0,0,3,0,0,0,0,0,2,0,5,2
WRIGHT E,7,0,2,0,0,0,0,0,0,0,0,0,0,2,0
