Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,0,1.0,1,0,RSA,1.0,YANG J,0 - 0,480,CHN,8:00
Starting goalkeeper,0,1.0,1,0,RSA,1.0,JACOBS A,0 - 0,480,RSA,8:00
Sprint won possession,0,12.0,1,0,RSA,1.0,WHITE K,0 - 0,480,RSA,8:00
Centre shot - Saved,0,7.0,1,0,RSA,1.0,KAY K,0 - 0,457,RSA,7:37
Centre shot - Saved,0,6.0,1,0,RSA,1.0,SUN Y,0 - 0,438,CHN,7:18
20 sec. exclusion in centre,0,8.0,1,0,RSA,1.0,KEET L,0 - 0,397,RSA,6:37
Extra player shot - Goal,1,6.0,1,0,RSA,1.0,SUN Y,1 - 0,382,CHN,6:22
5m shot - Missed,1,6.0,1,0,RSA,1.0,SCHOOLING T,1 - 0,358,RSA,5:58
20 sec. exclusion in centre,1,5.0,1,0,RSA,1.0,SCHOOLING M,1 - 0,340,RSA,5:40
Extra player shot - Goal,2,10.0,1,0,RSA,1.0,MA H,2 - 0,333,CHN,5:33
Turnover foul,2,2.0,1,0,RSA,1.0,SCHMIDT K,2 - 0,312,RSA,5:12
Centre shot - Saved,2,5.0,1,0,RSA,1.0,HE J,2 - 0,300,CHN,5:00
20 sec. exclusion in centre,2,3.0,1,0,RSA,1.0,LIU P,2 - 0,276,CHN,4:36
Extra player shot - Post,2,8.0,1,0,RSA,1.0,KEET L,2 - 0,257,RSA,4:17
5m shot - Post,2,4.0,1,0,RSA,1.0,SUN Y,2 - 0,235,CHN,3:55
20 sec. exclusion in centre,2,10.0,1,0,RSA,1.0,MA H,2 - 0,230,CHN,3:50
Action shot - Post,2,12.0,1,0,RSA,1.0,WHITE K,2 - 0,205,RSA,3:25
20 sec. exclusion in centre,2,5.0,1,0,RSA,1.0,SCHOOLING M,2 - 0,170,RSA,2:50
Extra player shot - Goal,3,7.0,1,0,RSA,1.0,SONG D,3 - 0,167,CHN,2:47
