Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
HE J,1,0,0,1,0,1,0,0,0,0,0,1,0,2,1
HE J,3,0,0,3,0,1,0,0,0,1,0,0,0,4,1
HE J,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
LIU P,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0
LIU P,2,0,2,1,0,0,0,0,1,1,0,0,0,3,2
LIU P,3,2,1,0,0,1,0,1,0,0,0,1,0,4,2
LIU P,4,2,0,0,0,0,0,1,0,0,0,0,0,2,1
MA H,1,2,0,0,1,3,0,1,0,0,1,3,0,6,5
MA H,2,4,0,0,0,0,0,1,0,0,0,0,0,4,1
MA H,3,1,2,0,0,1,0,1,0,0,0,1,0,4,2
MA H,4,2,1,0,0,3,2,0,0,0,0,2,2,8,4
MEI X,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0
SONG D,1,0,0,0,1,1,1,0,0,0,1,1,1,3,3
SONG D,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
SONG D,3,1,3,0,0,2,0,0,1,0,0,2,0,6,3
SONG D,4,3,2,0,0,2,0,1,0,0,0,0,0,7,1
SUN Y,1,2,0,2,1,2,0,0,0,0,1,2,0,7,3
SUN Y,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1
SUN Y,3,1,1,1,1,0,0,1,1,0,1,0,0,4,3
SUN Y,4,1,1,2,0,0,0,0,1,0,0,0,0,4,1
TENG F,1,0,1,1,0,0,0,0,1,1,0,0,0,2,2
TENG F,2,0,3,0,0,1,0,0,0,0,0,0,0,4,0
TENG F,3,0,2,0,0,1,0,0,0,0,0,1,0,3,1
TENG F,4,5,1,0,0,1,0,1,0,0,0,0,0,7,1
XIA Q,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
XIA Q,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0
XIA Q,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
XU L,1,2,0,0,0,0,0,2,0,0,0,0,0,2,2
XU L,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
YANG J,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ZHANG C,1,4,0,0,0,0,0,0,0,0,0,0,0,4,0
ZHANG C,2,1,2,0,0,2,0,0,0,0,0,1,0,5,1
ZHANG C,3,0,3,0,0,0,0,0,1,0,0,0,0,3,1
ZHANG C,4,1,3,0,0,0,0,1,1,0,0,0,0,4,2
