Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Centre shot,0,7.0,1,0,RSA,1.0,KAY K,0 - 0,457,RSA,7:37,Saved,0
Centre shot,0,6.0,1,0,RSA,1.0,SUN Y,0 - 0,438,CHN,7:18,Saved,0
Extra player shot,1,6.0,1,0,RSA,1.0,SUN Y,1 - 0,382,CHN,6:22,Goal,1
5m shot,1,6.0,1,0,RSA,1.0,SCHOOLING T,1 - 0,358,RSA,5:58,Missed,0
Extra player shot,2,10.0,1,0,RSA,1.0,MA H,2 - 0,333,CHN,5:33,Goal,1
Centre shot,2,5.0,1,0,RSA,1.0,HE J,2 - 0,300,CHN,5:00,Saved,0
Extra player shot,2,8.0,1,0,RSA,1.0,KEET L,2 - 0,257,RSA,4:17,Post,0
5m shot,2,4.0,1,0,RSA,1.0,SUN Y,2 - 0,235,CHN,3:55,Post,0
Action shot,2,12.0,1,0,RSA,1.0,WHITE K,2 - 0,205,RSA,3:25,Post,0
Extra player shot,3,7.0,1,0,RSA,1.0,SONG D,3 - 0,167,CHN,2:47,Goal,1
5m shot,3,11.0,1,0,RSA,1.0,ZHANG C,3 - 0,135,CHN,2:15,Missed,0
5m shot,4,8.0,1,0,RSA,1.0,XU L,4 - 0,97,CHN,1:37,Goal,1
5m shot,4,11.0,1,0,RSA,1.0,ZHANG C,4 - 0,44,CHN,0:44,Saved,0
Action shot,4,10.0,1,0,RSA,1.0,KEET M,4 - 0,14,RSA,0:14,Saved,0
5m shot,4,11.0,1,0,RSA,1.0,ZHANG C,4 - 0,4,CHN,0:04,Missed,0
5m shot,4,10.0,1,0,RSA,2.0,MA H,4 - 0,434,CHN,7:14,Post,0
Extra player shot,5,5.0,1,0,RSA,2.0,HE J,5 - 0,422,CHN,7:02,Goal,1
5m shot,5,12.0,1,0,RSA,2.0,WHITE K,5 - 0,401,RSA,6:41,Post,0
Counter attack,6,4.0,1,0,RSA,2.0,SUN Y,6 - 0,378,CHN,6:18,Goal,1
Extra player shot,7,10.0,1,0,RSA,2.0,MA H,7 - 0,337,CHN,5:37,Goal,1
Action shot,7,2.0,1,0,RSA,2.0,SCHMIDT K,7 - 0,312,RSA,5:12,Missed,0
5m shot,7,9.0,1,0,RSA,2.0,MEI X,7 - 0,211,CHN,3:31,Saved,0
Centre shot,7,6.0,1,0,RSA,2.0,SUN Y,7 - 0,189,CHN,3:09,Missed,0
Centre shot,7,8.0,1,0,RSA,2.0,KEET L,7 - 0,165,RSA,2:45,Saved,0
Action shot,7,2.0,1,0,RSA,2.0,SCHMIDT K,7 - 0,118,RSA,1:58,Post,0
5m shot,7,9.0,1,0,RSA,2.0,MEI X,7 - 0,97,CHN,1:37,Missed,0
Counter attack,8,10.0,1,0,RSA,2.0,MA H,8 - 0,61,CHN,1:01,Goal,1
5m shot,8,11.0,1,0,RSA,2.0,KILLEEN L,8 - 0,47,RSA,0:47,Saved,0
5m shot,8,1.0,1,0,RSA,2.0,YANG J,8 - 0,1,CHN,0:01,Saved,0
Extra player shot,9,6.0,1,0,RSA,3.0,SUN Y,9 - 0,436,CHN,7:16,Goal,1
5m shot,9,9.0,1,0,RSA,3.0,CHRISTIAN D,9 - 0,412,RSA,6:52,Missed,0
Penalty shot,10,7.0,1,0,RSA,3.0,SONG D,10 - 0,400,CHN,6:40,Goal,1
5m shot,10,12.0,1,0,RSA,3.0,WHITE K,10 - 0,384,RSA,6:24,Saved,0
5m shot,10,12.0,1,0,RSA,3.0,WHITE K,10 - 0,369,RSA,6:09,Post,0
5m shot,10,12.0,1,0,RSA,3.0,WHITE K,10 - 0,293,RSA,4:53,Post,0
Extra player shot,11,10.0,1,0,RSA,3.0,MA H,11 - 0,198,CHN,3:18,Goal,1
5m shot,11,12.0,1,0,RSA,3.0,WHITE K,11 - 0,180,RSA,3:00,Blocked,0
5m shot,11,12.0,1,0,RSA,3.0,WHITE K,11 - 0,125,RSA,2:05,Saved,0
Action shot,11,11.0,1,0,RSA,3.0,KILLEEN L,11 - 0,107,RSA,1:47,Saved,0
5m shot,12,8.0,1,0,RSA,3.0,XU L,12 - 0,89,CHN,1:29,Goal,1
