Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,0,1,0,NED,1.0,van der MEIJDEN I,0 - 0,480,NED,8:00
Starting goalkeeper,1.0,0,1,0,NED,1.0,ESTER L,0 - 0,480,ESP,8:00
Sprint won possession,6.0,0,1,0,NED,1.0,PAREJA J,0 - 0,480,ESP,8:00
Turnover foul,11.0,0,1,0,NED,1.0,GARCIA GODOY M,0 - 0,455,ESP,7:35
Steal,7.0,0,1,0,NED,1.0,van BELKUM I,0 - 0,455,NED,7:35
5m shot - Goal,11.0,0,1,1,NED,1.0,KLAASSEN L,0 - 1,441,NED,7:21
Penalty foul,11.0,0,1,1,NED,1.0,KLAASSEN L,0 - 1,418,NED,6:58
Penalty shot - Saved,6.0,0,1,1,NED,1.0,PAREJA J,0 - 1,418,ESP,6:58
Turnover foul,7.0,0,1,1,NED,1.0,van BELKUM I,0 - 1,396,NED,6:36
Steal,1.0,0,1,1,NED,1.0,ESTER L,0 - 1,396,ESP,6:36
20 sec. exclusion in centre,8.0,0,1,1,NED,1.0,SEVENICH V,0 - 1,379,NED,6:19
Extra player shot - Saved,11.0,0,1,1,NED,1.0,GARCIA GODOY M,0 - 1,360,ESP,6:00
Turnover foul,8.0,0,1,1,NED,1.0,SEVENICH V,0 - 1,334,NED,5:34
Centre shot - Saved,11.0,0,1,1,NED,1.0,GARCIA GODOY M,0 - 1,307,ESP,5:07
Action shot - Goal,6.0,0,1,2,NED,1.0,STOMPHORST N,0 - 2,289,NED,4:49
5m shot - Missed,12.0,0,1,2,NED,1.0,LOPEZ L,0 - 2,265,ESP,4:25
20 sec. exclusion in field,5.0,0,1,2,NED,1.0,ORTIZ M,0 - 2,239,ESP,3:59
Extra player shot - Blocked,12.0,0,1,2,NED,1.0,van der MOLEN l,0 - 2,221,NED,3:41
Centre shot - Goal,2.0,0,1,3,NED,1.0,SMIT Y,0 - 3,218,NED,3:38
Time-Out,,0,1,3,NED,1.0,,0 - 3,218,ESP,3:38
20 sec. exclusion in centre,10.0,0,1,3,NED,1.0,GENEE D,0 - 3,197,NED,3:17
Extra player shot - Goal,8.0,1,1,3,NED,1.0,PENA P,1 - 3,182,ESP,3:02
Turnover foul,2.0,1,1,3,NED,1.0,SMIT Y,1 - 3,169,NED,2:49
Action shot - Goal,3.0,2,1,3,NED,1.0,ESPAR A,2 - 3,144,ESP,2:24
20 sec. exclusion in field,2.0,2,1,3,NED,1.0,BACH M,2 - 3,126,ESP,2:06
Extra player shot - Saved,8.0,2,1,3,NED,1.0,SEVENICH V,2 - 3,107,NED,1:47
Centre shot - Saved,11.0,2,1,3,NED,1.0,GARCIA GODOY M,2 - 3,82,ESP,1:22
5m shot - Blocked,11.0,2,1,3,NED,1.0,KLAASSEN L,2 - 3,64,NED,1:04
Turnover foul,3.0,2,1,3,NED,1.0,ESPAR A,2 - 3,37,ESP,0:37
Steal,2.0,2,1,3,NED,1.0,SMIT Y,2 - 3,37,NED,0:37
20 sec. exclusion in field,4.0,2,1,3,NED,1.0,TARRAGO R,2 - 3,30,ESP,0:30
Extra player shot - Goal,2.0,2,1,4,NED,1.0,SMIT Y,2 - 4,14,NED,0:14
Turnover foul,7.0,2,1,4,NED,1.0,MIRANDA L,2 - 4,2,ESP,0:02
Steal,8.0,2,1,4,NED,1.0,SEVENICH V,2 - 4,2,NED,0:02
Starting goalkeeper,1.0,2,1,4,NED,2.0,van der MEIJDEN I,2 - 4,480,NED,8:00
Starting goalkeeper,1.0,2,1,4,NED,2.0,ESTER L,2 - 4,480,ESP,8:00
Sprint won possession,6.0,2,1,4,NED,2.0,PAREJA J,2 - 4,480,ESP,8:00
Centre shot - Goal,9.0,3,1,4,NED,2.0,BLAS A,3 - 4,451,ESP,7:31
20 sec. exclusion in centre,12.0,3,1,4,NED,2.0,LOPEZ L,3 - 4,437,ESP,7:17
Extra player shot - Blocked,11.0,3,1,4,NED,2.0,KLAASSEN L,3 - 4,419,NED,6:59
5m shot - Goal,7.0,4,1,4,NED,2.0,MIRANDA L,4 - 4,396,ESP,6:36
5m shot - Missed,7.0,4,1,4,NED,2.0,van BELKUM I,4 - 4,371,NED,6:11
20 sec. exclusion in centre,10.0,4,1,4,NED,2.0,GENEE D,4 - 4,362,NED,6:02
Centre shot - Blocked,7.0,4,1,4,NED,2.0,MIRANDA L,4 - 4,339,ESP,5:39
Turnover foul,11.0,4,1,4,NED,2.0,GARCIA GODOY M,4 - 4,326,ESP,5:26
20 sec. exclusion in field,6.0,4,1,4,NED,2.0,PAREJA J,4 - 4,309,ESP,5:09
Extra player shot - Post,7.0,4,1,4,NED,2.0,van BELKUM I,4 - 4,295,NED,4:55
