Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
BACH M,3,1,2,0,1,1,0,0,0,0,0,1,0,5,1
BLAS A,1,0,0,3,0,0,0,0,0,2,0,0,0,3,2
BLAS A,2,0,1,2,0,0,0,0,0,2,0,0,0,3,2
BLAS A,3,0,0,8,0,3,0,0,0,4,0,2,0,11,6
BLAS A,4,0,0,2,0,1,0,0,0,1,0,1,0,3,2
BLAS A,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
BLAS A,7,0,0,1,0,1,0,0,0,0,0,1,0,2,1
ESPAR A,1,0,6,0,0,1,0,0,3,0,0,0,0,7,3
ESPAR A,2,1,4,0,0,0,0,0,0,0,0,0,0,5,0
ESPAR A,3,0,4,0,0,0,0,0,2,0,0,0,0,4,2
ESPAR A,5,0,2,0,0,0,0,0,0,0,0,0,0,2,0
ESPAR A,6,0,3,0,0,1,0,0,3,0,0,1,0,4,4
ESPAR A,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0
GARCIA GODOY M,1,0,0,2,0,1,0,0,0,0,0,0,0,3,0
GARCIA GODOY M,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0
GARCIA GODOY M,3,0,0,1,0,1,0,0,0,1,0,1,0,2,2
GARCIA GODOY M,4,0,1,0,0,1,0,0,1,0,0,1,0,2,2
GARCIA GODOY M,5,0,1,3,0,1,0,0,1,0,0,1,0,5,2
GARCIA GODOY M,6,0,0,2,0,0,0,0,0,1,0,0,0,2,1
GARCIA GODOY M,7,0,0,0,0,2,0,0,0,0,0,2,0,2,2
LOPEZ L,1,2,0,0,0,0,0,1,0,0,0,0,0,2,1
LOPEZ L,2,3,1,0,0,1,0,2,0,0,0,1,0,5,3
LOPEZ L,3,0,0,0,1,1,0,0,0,0,0,0,0,2,0
LOPEZ L,4,0,3,0,0,0,1,0,2,0,0,0,1,4,3
LOPEZ L,5,1,3,0,0,0,0,0,2,0,0,0,0,4,2
LOPEZ L,6,0,0,0,0,4,0,0,0,0,0,3,0,4,3
LOPEZ L,7,2,0,0,0,2,0,1,0,0,0,1,0,4,2
MESEGUER O,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
MESEGUER O,3,0,2,0,0,0,0,0,2,0,0,0,0,2,2
MESEGUER O,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
MESEGUER O,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0
MIRANDA L,1,1,0,1,0,0,0,1,0,0,0,0,0,2,1
MIRANDA L,3,1,1,0,0,1,0,0,0,0,0,1,0,3,1
MIRANDA L,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
MIRANDA L,5,1,1,0,0,0,0,0,0,0,0,0,0,2,0
MIRANDA L,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ORTIZ M,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ORTIZ M,2,2,1,0,0,0,0,0,0,0,0,0,0,3,0
ORTIZ M,3,1,0,0,1,2,0,0,0,0,0,1,0,4,1
ORTIZ M,4,0,1,0,0,1,0,0,0,0,0,0,0,2,0
ORTIZ M,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ORTIZ M,6,0,0,0,0,2,0,0,0,0,0,1,0,2,1
PAREJA J,1,1,0,0,0,1,1,0,0,0,0,1,0,3,1
PAREJA J,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
PAREJA J,3,0,1,0,1,0,1,0,0,0,1,0,1,3,2
PAREJA J,4,1,4,0,0,1,3,0,1,0,0,1,3,9,5
PAREJA J,5,3,4,0,0,0,1,1,2,0,0,0,1,8,4
PAREJA J,6,1,2,0,0,2,1,1,0,0,0,0,1,6,2
PAREJA J,7,2,1,0,0,2,1,0,0,0,0,1,1,6,2
PENA P,1,0,1,1,0,1,0,0,1,1,0,1,0,3,3
PENA P,2,0,4,0,0,0,0,0,0,0,0,0,0,4,0
PENA P,3,0,3,0,2,0,0,0,1,0,1,0,0,5,2
PENA P,4,0,1,0,0,1,0,0,1,0,0,1,0,2,2
PENA P,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
PENA P,6,0,1,0,0,2,0,0,0,0,0,1,0,3,1
TARRAGO R,1,0,2,0,0,1,0,0,2,0,0,0,0,3,2
TARRAGO R,2,5,2,0,1,0,0,1,0,0,0,0,0,8,1
TARRAGO R,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1
TARRAGO R,4,0,3,0,0,1,2,0,1,0,0,1,2,6,4
TARRAGO R,5,0,1,0,0,1,0,0,1,0,0,0,0,2,1
TARRAGO R,6,1,0,0,1,2,1,0,0,0,1,0,0,5,1
TARRAGO R,7,3,0,0,0,1,0,1,0,0,0,0,0,4,1
