Action,Cap,GBR,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,0,1,0,CAN,1.0,MORRIS R,0 - 0,480,GBR,8:00
Starting goalkeeper,1.0,0,1,0,CAN,1.0,RELTON M,0 - 0,480,CAN,8:00
Sprint won possession,2.0,0,1,0,CAN,1.0,WILCOX C,0 - 0,480,GBR,8:00
Action shot - Missed,4.0,0,1,0,CAN,1.0,GIBSON-BYRNE C,0 - 0,458,GBR,7:38
20 sec. exclusion in centre,8.0,0,1,0,CAN,1.0,MUSGROVE H,0 - 0,432,GBR,7:12
Extra player shot - Missed,5.0,0,1,0,CAN,1.0,EGGENS M,0 - 0,415,CAN,6:55
5m shot - Saved,8.0,0,1,0,CAN,1.0,MUSGROVE H,0 - 0,386,GBR,6:26
Turnover foul,7.0,0,1,0,CAN,1.0,BEKHAZI J,0 - 0,365,CAN,6:05
Steal,8.0,0,1,0,CAN,1.0,MUSGROVE H,0 - 0,365,GBR,6:05
5m shot - Blocked,11.0,0,1,0,CAN,1.0,CLAYTON F,0 - 0,337,GBR,5:37
Centre shot - Post,2.0,0,1,0,CAN,1.0,ALOGBO K,0 - 0,321,CAN,5:21
Turnover foul,7.0,0,1,0,CAN,1.0,GIBSON L,0 - 0,300,GBR,5:00
20 sec. exclusion in field,4.0,0,1,0,CAN,1.0,GIBSON-BYRNE C,0 - 0,283,GBR,4:43
Extra player shot - Goal,2.0,0,1,1,CAN,1.0,ALOGBO K,1 - 0,280,CAN,4:40
Turnover foul,10.0,0,1,1,CAN,1.0,WINSTANLEY-SMITH A,1 - 0,268,GBR,4:28
Action shot - Saved,8.0,0,1,1,CAN,1.0,PERREAULT D,1 - 0,239,CAN,3:59
20 sec. exclusion in centre,7.0,0,1,1,CAN,1.0,BEKHAZI J,1 - 0,232,CAN,3:52
Extra player shot - Goal,8.0,1,1,1,CAN,1.0,MUSGROVE H,1 - 1,216,GBR,3:36
20 sec. exclusion in centre,3.0,1,1,1,CAN,1.0,McCANN F,1 - 1,200,GBR,3:20
Extra player shot - Goal,4.0,1,1,2,CAN,1.0,WRIGHT E,2 - 1,197,CAN,3:17
Action shot - Missed,2.0,1,1,2,CAN,1.0,WILCOX C,2 - 1,185,GBR,3:05
5m shot - Saved,9.0,1,1,2,CAN,1.0,EGGENS C,2 - 1,155,CAN,2:35
Turnover foul,3.0,1,1,2,CAN,1.0,McCANN F,2 - 1,147,GBR,2:27
Steal,11.0,1,1,2,CAN,1.0,VALIN S,2 - 1,147,CAN,2:27
Centre shot - Post,2.0,1,1,2,CAN,1.0,ALOGBO K,2 - 1,139,CAN,2:19
Action shot - Saved,9.0,1,1,2,CAN,1.0,EGGENS C,2 - 1,128,CAN,2:08
Action shot - Goal,2.0,2,1,2,CAN,1.0,WILCOX C,2 - 2,101,GBR,1:41
Centre shot - Goal,3.0,2,1,3,CAN,1.0,MONTON K,3 - 2,69,CAN,1:09
Turnover foul,3.0,2,1,3,CAN,1.0,McCANN F,3 - 2,52,GBR,0:52
