Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
CLAYTON F,1,2,2,0,0,0,0,0,0,0,0,0,0,4,0
CLAYTON F,2,4,0,0,0,0,0,1,0,0,0,0,0,4,1
CLAYTON F,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0
CLAYTON F,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FOWLER K,3,0,2,0,0,0,0,0,1,0,0,0,0,2,1
GIBSON L,2,0,1,3,0,0,0,0,0,2,0,0,0,4,2
GIBSON L,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
GIBSON-BYRNE C,1,2,3,0,0,3,0,2,0,0,0,2,0,8,4
GIBSON-BYRNE C,2,4,2,0,0,2,1,1,0,0,0,0,1,9,2
GIBSON-BYRNE C,3,2,9,0,0,0,1,0,1,0,0,0,1,12,2
GIBSON-BYRNE C,4,2,3,0,0,0,0,0,1,0,0,0,0,5,1
HOY A,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0
HOY A,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
MUSGROVE H,1,2,1,0,0,2,0,1,1,0,0,1,0,5,3
MUSGROVE H,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0
MUSGROVE H,4,1,1,0,0,2,0,0,0,0,0,0,0,4,0
McCANN F,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0
McCANN F,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0
McCANN F,3,1,2,1,0,0,0,0,0,0,0,0,0,4,0
McCANN F,4,0,0,0,1,0,0,0,0,0,1,0,0,1,1
NIXON C,2,1,0,0,0,1,0,0,0,0,0,0,0,2,0
NIXON C,3,1,2,0,0,1,0,0,0,0,0,0,0,4,0
NIXON C,4,1,3,0,0,0,1,0,2,0,0,0,0,5,2
WILCOX C,1,1,3,1,0,0,0,0,2,0,0,0,0,5,2
WILCOX C,2,0,2,0,0,0,0,0,1,0,0,0,0,2,1
WILCOX C,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0
WINSTANLEY-SMITH A,2,1,0,0,0,1,0,0,0,0,0,1,0,2,1
WINSTANLEY-SMITH A,3,0,0,0,0,1,0,0,0,0,0,1,0,1,1
WINSTANLEY-SMITH A,4,0,1,1,0,0,0,0,0,1,0,0,0,2,1
