Action,Cap,GBR,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,4.0,0,1,0,CAN,1.0,GIBSON-BYRNE C,0 - 0,458,GBR,7:38,Missed,0
Extra player shot,5.0,0,1,0,CAN,1.0,EGGENS M,0 - 0,415,CAN,6:55,Missed,0
5m shot,8.0,0,1,0,CAN,1.0,MUSGROVE H,0 - 0,386,GBR,6:26,Saved,0
5m shot,11.0,0,1,0,CAN,1.0,CLAYTON F,0 - 0,337,GBR,5:37,Blocked,0
Centre shot,2.0,0,1,0,CAN,1.0,ALOGBO K,0 - 0,321,CAN,5:21,Post,0
Extra player shot,2.0,0,1,1,CAN,1.0,ALOGBO K,1 - 0,280,CAN,4:40,Goal,1
Action shot,8.0,0,1,1,CAN,1.0,PERREAULT D,1 - 0,239,CAN,3:59,Saved,0
Extra player shot,8.0,1,1,1,CAN,1.0,MUSGROVE H,1 - 1,216,GBR,3:36,Goal,1
Extra player shot,4.0,1,1,2,CAN,1.0,WRIGHT E,2 - 1,197,CAN,3:17,Goal,1
Action shot,2.0,1,1,2,CAN,1.0,WILCOX C,2 - 1,185,GBR,3:05,Missed,0
5m shot,9.0,1,1,2,CAN,1.0,EGGENS C,2 - 1,155,CAN,2:35,Saved,0
Centre shot,2.0,1,1,2,CAN,1.0,ALOGBO K,2 - 1,139,CAN,2:19,Post,0
Action shot,9.0,1,1,2,CAN,1.0,EGGENS C,2 - 1,128,CAN,2:08,Saved,0
Action shot,2.0,2,1,2,CAN,1.0,WILCOX C,2 - 2,101,GBR,1:41,Goal,1
Centre shot,3.0,2,1,3,CAN,1.0,MONTON K,3 - 2,69,CAN,1:09,Goal,1
Action shot,11.0,2,1,3,CAN,1.0,CLAYTON F,3 - 2,17,GBR,0:17,Blocked,0
5m shot,10.0,2,1,3,CAN,2.0,ROBINSON C,3 - 2,460,CAN,7:40,Missed,0
Extra player shot,8.0,2,1,3,CAN,2.0,MUSGROVE H,3 - 2,427,GBR,7:07,Blocked,0
Action shot,5.0,2,1,3,CAN,2.0,EGGENS M,3 - 2,412,CAN,6:52,Missed,0
Extra player shot,10.0,2,1,4,CAN,2.0,ROBINSON C,4 - 2,351,CAN,5:51,Goal,1
Extra player shot,4.0,3,1,4,CAN,2.0,GIBSON-BYRNE C,4 - 3,312,GBR,5:12,Goal,1
Action shot,2.0,4,1,4,CAN,2.0,WILCOX C,4 - 4,278,GBR,4:38,Goal,1
Extra player shot,4.0,4,1,4,CAN,2.0,WRIGHT E,4 - 4,243,CAN,4:03,Blocked,0
Action shot,5.0,4,1,4,CAN,2.0,HOY A,4 - 4,212,GBR,3:32,Blocked,0
5m shot,5.0,4,1,4,CAN,2.0,HOY A,4 - 4,199,GBR,3:19,Saved,0
5m shot,10.0,4,1,4,CAN,2.0,ROBINSON C,4 - 4,176,CAN,2:56,Post,0
Extra player shot,4.0,5,1,4,CAN,2.0,GIBSON-BYRNE C,4 - 5,141,GBR,2:21,Goal,1
Extra player shot,11.0,5,1,5,CAN,2.0,VALIN S,5 - 5,121,CAN,2:01,Goal,1
Centre shot,2.0,5,1,5,CAN,2.0,WILCOX C,5 - 5,92,GBR,1:32,Saved,0
Centre shot,2.0,5,1,6,CAN,2.0,ALOGBO K,6 - 5,78,CAN,1:18,Goal,1
Action shot,4.0,5,1,7,CAN,2.0,WRIGHT E,7 - 5,44,CAN,0:44,Goal,1
Action shot,3.0,5,1,7,CAN,2.0,McCANN F,7 - 5,17,GBR,0:17,Post,0
Action shot,4.0,5,1,7,CAN,3.0,GIBSON-BYRNE C,7 - 5,406,GBR,6:46,Missed,0
5m shot,5.0,5,1,7,CAN,3.0,EGGENS M,7 - 5,378,CAN,6:18,Saved,0
5m shot,5.0,5,1,7,CAN,3.0,EGGENS M,7 - 5,360,CAN,6:00,Blocked,0
Centre shot,2.0,5,1,8,CAN,3.0,ALOGBO K,8 - 5,315,CAN,5:15,Goal,1
Action shot,5.0,5,1,8,CAN,3.0,EGGENS M,8 - 5,274,CAN,4:34,Blocked,0
5m shot,8.0,6,1,8,CAN,3.0,MUSGROVE H,8 - 6,251,GBR,4:11,Goal,1
Action shot,5.0,6,1,8,CAN,3.0,EGGENS M,8 - 6,232,CAN,3:52,Post,0
Action shot,7.0,6,1,8,CAN,3.0,BEKHAZI J,8 - 6,186,CAN,3:06,Post,0
5m shot,2.0,6,1,8,CAN,3.0,WILCOX C,8 - 6,158,GBR,2:38,Post,0
Penalty shot,7.0,6,1,9,CAN,3.0,BEKHAZI J,9 - 6,142,CAN,2:22,Goal,1
5m shot,4.0,7,1,9,CAN,3.0,GIBSON-BYRNE C,9 - 7,123,GBR,2:03,Goal,1
Action shot,8.0,8,1,9,CAN,3.0,MUSGROVE H,9 - 8,74,GBR,1:14,Goal,1
