Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,0,1,0,USA,1.0,KOUVDOU E,0 - 0,480,GRE,8:00
Starting goalkeeper,1.0,0,1,0,USA,1.0,ARMSTRONG E,0 - 0,480,USA,8:00
Sprint won possession,10.0,0,1,0,USA,1.0,RULON K,0 - 0,480,USA,8:00
5m shot - Blocked,5.0,0,1,0,USA,1.0,CLARK C,0 - 0,456,USA,7:36
Action shot - Missed,10.0,0,1,0,USA,1.0,MANOLIOUDAKI T,0 - 0,429,GRE,7:09
Action shot - Post,5.0,0,1,0,USA,1.0,CLARK C,0 - 0,405,USA,6:45
Action shot - Goal,8.0,1,1,0,USA,1.0,ROUMPESI A,0 - 1,382,GRE,6:22
5m shot - Post,5.0,1,1,0,USA,1.0,CLARK C,0 - 1,355,USA,5:55
20 sec. exclusion in centre,5.0,1,1,0,USA,1.0,CLARK C,0 - 1,339,USA,5:39
Extra player shot - Goal,8.0,2,1,0,USA,1.0,ROUMPESI A,0 - 2,319,GRE,5:19
5m shot - Saved,3.0,2,1,0,USA,1.0,SEIDEMANN M,0 - 2,302,USA,5:02
Turnover foul,8.0,2,1,0,USA,1.0,ROUMPESI A,0 - 2,274,GRE,4:34
Penalty foul,6.0,2,1,0,USA,1.0,AVRAMIDOU A,0 - 2,261,GRE,4:21
Penalty shot - Goal,8.0,2,1,1,USA,1.0,NEUSHUL K,1 - 2,261,USA,4:21
5m shot - Saved,2.0,2,1,1,USA,1.0,TSOUKALA C,1 - 2,239,GRE,3:59
20 sec. exclusion in field,10.0,2,1,1,USA,1.0,MANOLIOUDAKI T,1 - 2,223,GRE,3:43
Turnover foul,6.0,2,1,1,USA,1.0,STEFFENS M,1 - 2,195,USA,3:15
Action shot - Saved,2.0,2,1,1,USA,1.0,TSOUKALA C,1 - 2,178,GRE,2:58
5m shot - Missed,6.0,2,1,1,USA,1.0,STEFFENS M,1 - 2,150,USA,2:30
Centre shot - Missed,7.0,2,1,1,USA,1.0,ASIMAKI A,1 - 2,129,GRE,2:09
Turnover foul,8.0,2,1,1,USA,1.0,NEUSHUL K,1 - 2,109,USA,1:49
5m shot - Saved,2.0,2,1,1,USA,1.0,TSOUKALA C,1 - 2,86,GRE,1:26
5m shot - Post,3.0,2,1,1,USA,1.0,SEIDEMANN M,1 - 2,60,USA,1:00
Turnover foul,7.0,2,1,1,USA,1.0,ASIMAKI A,1 - 2,51,GRE,0:51
5m shot - Missed,4.0,2,1,1,USA,1.0,FATTAL R,1 - 2,24,USA,0:24
Action shot - Post,6.0,2,1,1,USA,1.0,AVRAMIDOU A,1 - 2,2,GRE,0:02
Starting goalkeeper,1.0,2,1,1,USA,2.0,ARMSTRONG E,1 - 2,480,USA,8:00
Starting goalkeeper,1.0,2,1,1,USA,2.0,KOUVDOU E,1 - 2,480,GRE,8:00
Sprint won possession,10.0,2,1,1,USA,2.0,RULON K,1 - 2,480,USA,8:00
5m shot - Saved,5.0,2,1,1,USA,2.0,CLARK C,1 - 2,454,USA,7:34
Centre shot - Missed,7.0,2,1,1,USA,2.0,ASIMAKI A,1 - 2,428,GRE,7:08
5m shot - Goal,10.0,2,1,2,USA,2.0,RULON K,2 - 2,404,USA,6:44
20 sec. exclusion in centre,3.0,2,1,2,USA,2.0,SEIDEMANN M,2 - 2,391,USA,6:31
Action shot - Blocked,11.0,2,1,2,USA,2.0,PLEVRITOU E,2 - 2,370,GRE,6:10
5m shot - Post,7.0,2,1,2,USA,2.0,MATHEWSON C,2 - 2,362,USA,6:02
Action shot - Post,8.0,2,1,2,USA,2.0,ROUMPESI A,2 - 2,328,GRE,5:28
Counter attack - Saved,11.0,2,1,2,USA,2.0,DRIES A,2 - 2,316,USA,5:16
Turnover foul,7.0,2,1,2,USA,2.0,ASIMAKI A,2 - 2,297,GRE,4:57
5m shot - Goal,7.0,2,1,3,USA,2.0,MATHEWSON C,3 - 2,275,USA,4:35
20 sec. exclusion in field,8.0,2,1,3,USA,2.0,NEUSHUL K,3 - 2,264,USA,4:24
Extra player shot - Blocked,8.0,2,1,3,USA,2.0,ROUMPESI A,3 - 2,245,GRE,4:05
Action shot - Saved,11.0,2,1,3,USA,2.0,DRIES A,3 - 2,217,USA,3:37
Action shot - Saved,8.0,2,1,3,USA,2.0,ROUMPESI A,3 - 2,194,GRE,3:14
Action shot - Goal,6.0,3,1,3,USA,2.0,AVRAMIDOU A,3 - 3,175,GRE,2:55
Centre shot - Missed,12.0,3,1,3,USA,2.0,CRAIG K,3 - 3,153,USA,2:33
5m shot - Saved,6.0,3,1,3,USA,2.0,AVRAMIDOU A,3 - 3,122,GRE,2:02
20 sec. exclusion in centre,6.0,3,1,3,USA,2.0,AVRAMIDOU A,3 - 3,97,GRE,1:37
Extra player shot - Goal,4.0,3,1,4,USA,2.0,FATTAL R,4 - 3,87,USA,1:27
20 sec. exclusion in centre,6.0,3,1,4,USA,2.0,STEFFENS M,4 - 3,73,USA,1:13
Extra player shot - Goal,2.0,4,1,4,USA,2.0,TSOUKALA C,4 - 4,50,GRE,0:50
5m shot - Post,2.0,4,1,4,USA,2.0,SILVER L,4 - 4,21,USA,0:21
20 sec. exclusion in field,2.0,4,1,4,USA,2.0,SILVER L,4 - 4,17,USA,0:17
Extra player shot - Post,8.0,4,1,4,USA,2.0,ROUMPESI A,4 - 4,1,GRE,0:01
