Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Extra player shot made,Penalty shot made,Total attempted,Total made
ASIMAKI A,1,0,0,3,1,0,0,0,0,0,0,4,0
ASIMAKI A,2,0,0,8,2,0,0,0,3,2,0,10,5
ASIMAKI A,3,0,0,5,1,0,0,0,1,1,0,6,2
ASIMAKI A,4,0,0,4,1,0,0,0,1,1,0,5,2
ASIMAKI A,5,0,0,2,1,0,0,0,1,0,0,3,1
ASIMAKI A,6,0,0,3,1,0,0,0,1,1,0,4,2
ASIMAKI A,7,0,1,2,0,0,0,0,1,0,0,3,1
AVRAMIDOU A,1,1,3,0,1,0,0,2,0,0,0,5,2
AVRAMIDOU A,2,0,2,1,0,1,0,0,1,0,1,4,2
AVRAMIDOU A,3,0,4,0,1,0,0,1,0,0,0,5,1
AVRAMIDOU A,4,0,4,0,0,0,0,0,0,0,0,4,0
AVRAMIDOU A,5,0,4,0,1,0,0,1,0,1,0,5,2
AVRAMIDOU A,6,1,1,0,2,1,0,0,0,1,1,5,2
AVRAMIDOU A,7,0,4,0,2,1,0,2,0,2,0,7,4
DIAMANTOPOULOU V,2,0,0,0,1,0,0,0,0,0,0,1,0
DIAMANTOPOULOU V,4,0,1,0,0,0,0,0,0,0,0,1,0
DIAMANTOPOULOU V,6,0,1,0,0,0,0,1,0,0,0,1,1
DIAMANTOPOULOU V,7,0,2,0,0,0,0,0,0,0,0,2,0
KOTSIA C,7,0,1,0,0,0,0,1,0,0,0,1,1
KOUVDOU E,5,1,0,0,0,0,0,0,0,0,0,1,0
MANOLIOUDAKI T,1,1,3,0,0,0,0,0,0,0,0,4,0
MANOLIOUDAKI T,2,0,2,2,0,0,0,0,1,0,0,4,1
MANOLIOUDAKI T,3,0,1,0,0,0,0,0,0,0,0,1,0
MANOLIOUDAKI T,4,0,6,1,2,0,0,2,1,1,0,9,4
MANOLIOUDAKI T,5,0,3,0,0,0,0,0,0,0,0,3,0
MANOLIOUDAKI T,6,1,2,0,0,0,0,1,0,0,0,3,1
MANOLIOUDAKI T,7,1,1,1,0,0,1,0,0,0,0,3,1
PLEVRITOU E,1,0,1,0,0,0,0,0,0,0,0,1,0
PLEVRITOU E,2,0,0,0,1,0,0,0,0,0,0,1,0
PLEVRITOU E,3,0,1,0,1,0,0,1,0,0,0,2,1
PLEVRITOU E,4,0,2,0,0,0,0,0,0,0,0,2,0
PLEVRITOU E,5,0,1,0,0,0,0,0,0,0,0,1,0
PLEVRITOU E,7,0,1,0,0,0,0,0,0,0,0,1,0
PSOUNI I,2,1,1,0,0,0,1,0,0,0,0,2,1
PSOUNI I,3,0,1,0,0,0,0,1,0,0,0,1,1
PSOUNI I,4,0,2,0,0,0,0,0,0,0,0,2,0
PSOUNI I,6,0,2,0,0,0,0,0,0,0,0,2,0
PSOUNI I,7,1,0,0,0,0,1,0,0,0,0,1,1
ROUMPESI A,1,3,4,0,3,0,1,1,0,1,0,10,3
ROUMPESI A,2,0,2,0,0,0,0,0,0,0,0,2,0
ROUMPESI A,3,2,5,0,0,0,0,1,0,0,0,7,1
ROUMPESI A,4,3,3,0,1,0,1,1,0,0,0,7,2
ROUMPESI A,5,0,1,0,3,0,0,1,0,1,0,4,2
ROUMPESI A,6,1,2,0,2,0,0,1,0,1,0,5,2
ROUMPESI A,7,1,4,0,3,0,0,1,0,1,0,8,2
TSOUKALA C,1,8,2,0,1,0,1,1,0,1,0,11,3
TSOUKALA C,2,2,2,0,1,1,1,1,0,1,1,6,4
TSOUKALA C,3,1,5,0,0,0,0,2,0,0,0,6,2
TSOUKALA C,4,1,4,0,0,0,0,2,0,0,0,5,2
TSOUKALA C,5,1,2,0,0,0,0,0,0,0,0,3,0
TSOUKALA C,6,1,7,0,3,0,0,3,0,1,0,11,4
TSOUKALA C,7,0,2,0,2,0,0,0,0,1,0,4,1
