Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,0,BRA,1.0,BOLONYAI F,0 - 0,480,HUN,8:00
Starting goalkeeper,1.0,1,0,0,BRA,1.0,CANETTI M,0 - 0,480,BRA,8:00
Sprint won possession,8.0,1,0,0,BRA,1.0,KESZTHELYI R,0 - 0,480,HUN,8:00
Turnover foul,10.0,1,0,0,BRA,1.0,BUJKA B,0 - 0,458,HUN,7:38
Steal,4.0,1,0,0,BRA,1.0,CANETTI M,0 - 0,458,BRA,7:38
Centre shot - Post,4.0,1,0,0,BRA,1.0,CANETTI M,0 - 0,438,BRA,7:18
5m shot - Goal,8.0,1,1,0,BRA,1.0,KESZTHELYI R,1 - 0,423,HUN,7:03
Action shot - Saved,8.0,1,1,0,BRA,1.0,CHIAPPINI I,1 - 0,406,BRA,6:46
Action shot - Post,10.0,1,1,0,BRA,1.0,BUJKA B,1 - 0,389,HUN,6:29
Turnover foul,4.0,1,1,0,BRA,1.0,CANETTI M,1 - 0,363,BRA,6:03
5m shot - Goal,8.0,1,2,0,BRA,1.0,KESZTHELYI R,2 - 0,355,HUN,5:55
5m shot - Post,8.0,1,2,0,BRA,1.0,CHIAPPINI I,2 - 0,332,BRA,5:32
5m shot - Saved,4.0,1,2,0,BRA,1.0,KISTELEKI D,2 - 0,313,HUN,5:13
5m shot - Goal,11.0,1,2,1,BRA,1.0,COUTINHO M,2 - 1,293,BRA,4:53
20 sec. exclusion in field,3.0,1,2,1,BRA,1.0,ZABLITH M,2 - 1,285,BRA,4:45
Extra player shot - Goal,6.0,1,3,1,BRA,1.0,TAKACS O,3 - 1,275,HUN,4:35
Turnover foul,3.0,1,3,1,BRA,1.0,ZABLITH M,3 - 1,262,BRA,4:22
Steal,8.0,1,3,1,BRA,1.0,KESZTHELYI R,3 - 1,262,HUN,4:22
Counter attack - Goal,8.0,1,4,1,BRA,1.0,KESZTHELYI R,4 - 1,254,HUN,4:14
