Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,0,ITA,1.0,ZHARKOVA A,0 - 0,480,KAZ,8:00
Starting goalkeeper,1.0,1,0,0,ITA,1.0,GIGLI E,0 - 0,480,ITA,8:00
Sprint won possession,4.0,1,0,0,ITA,1.0,TUROVA A,0 - 0,480,KAZ,8:00
Centre shot - Missed,9.0,1,0,0,ITA,1.0,JAKAYEVA A,0 - 0,464,KAZ,7:44
Turnover foul,7.0,1,0,0,ITA,1.0,di MARIO T,0 - 0,437,ITA,7:17
Turnover foul,7.0,1,0,0,ITA,1.0,ALEXANDROVA N,0 - 0,419,KAZ,6:59
Steal,1.0,1,0,0,ITA,1.0,GIGLI E,0 - 0,419,ITA,6:59
Turnover foul,7.0,1,0,0,ITA,1.0,di MARIO T,0 - 0,399,ITA,6:39
Steal,4.0,1,0,0,ITA,1.0,TUROVA A,0 - 0,399,KAZ,6:39
20 sec. exclusion in centre,4.0,1,0,0,ITA,1.0,RADICCHI F,0 - 0,384,ITA,6:24
Extra player shot - Post,10.0,1,0,0,ITA,1.0,GRITSENKO M,0 - 0,366,KAZ,6:06
Centre shot - Post,12.0,1,0,0,ITA,1.0,FRASSINETTI T,0 - 0,354,ITA,5:54
5m shot - Blocked,10.0,1,0,0,ITA,1.0,GRITSENKO M,0 - 0,323,KAZ,5:23
5m shot - Blocked,2.0,1,0,0,ITA,1.0,POMERI F,0 - 0,298,ITA,4:58
Centre shot - Goal,9.0,1,1,0,ITA,1.0,JAKAYEVA A,0 - 1,279,KAZ,4:39
Turnover foul,7.0,1,1,0,ITA,1.0,di MARIO T,0 - 1,267,ITA,4:27
Steal,7.0,1,1,0,ITA,1.0,ALEXANDROVA N,0 - 1,267,KAZ,4:27
Action shot - Saved,6.0,1,1,0,ITA,1.0,ZUBKOVA A,0 - 1,242,KAZ,4:02
Turnover foul,7.0,1,1,0,ITA,1.0,di MARIO T,0 - 1,239,ITA,3:59
Action shot - Post,8.0,1,1,0,ITA,1.0,BIANCONI R,0 - 1,186,ITA,3:06
Turnover foul,10.0,1,1,0,ITA,1.0,GRITSENKO M,0 - 1,158,KAZ,2:38
Turnover foul,10.0,1,1,0,ITA,1.0,PALMIERI V,0 - 1,150,ITA,2:30
20 sec. exclusion in centre,7.0,1,1,0,ITA,1.0,di MARIO T,0 - 1,125,ITA,2:05
Extra player shot - Goal,7.0,1,2,0,ITA,1.0,ALEXANDROVA N,0 - 2,109,KAZ,1:49
20 sec. exclusion in field,7.0,1,2,0,ITA,1.0,ALEXANDROVA N,0 - 2,99,KAZ,1:39
Extra player shot - Post,8.0,1,2,0,ITA,1.0,BIANCONI R,0 - 2,82,ITA,1:22
20 sec. exclusion in field,8.0,1,2,0,ITA,1.0,BIANCONI R,0 - 2,71,ITA,1:11
Extra player shot - Goal,10.0,1,3,0,ITA,1.0,GRITSENKO M,0 - 3,52,KAZ,0:52
Penalty foul,4.0,1,3,0,ITA,1.0,TUROVA A,0 - 3,38,KAZ,0:38
Penalty shot - Goal,7.0,1,3,1,ITA,1.0,di MARIO T,1 - 3,38,ITA,0:38
Turnover foul,7.0,1,3,1,ITA,1.0,ALEXANDROVA N,1 - 3,9,KAZ,0:09
Steal,11.0,1,3,1,ITA,1.0,COTTI A,1 - 3,9,ITA,0:09
20 sec. exclusion in field,4.0,1,3,1,ITA,1.0,TUROVA A,1 - 3,5,KAZ,0:05
Starting goalkeeper,1.0,1,3,1,ITA,2.0,ZHARKOVA A,1 - 3,480,KAZ,8:00
Starting goalkeeper,1.0,1,3,1,ITA,2.0,GIGLI E,1 - 3,480,ITA,8:00
Sprint won possession,12.0,1,3,1,ITA,2.0,FRASSINETTI T,1 - 3,480,ITA,8:00
Action shot - Missed,9.0,1,3,1,ITA,2.0,EMMOLO G,1 - 3,462,ITA,7:42
Action shot - Missed,2.0,1,3,1,ITA,2.0,SHEPELINA N,1 - 3,433,KAZ,7:13
Penalty foul,6.0,1,3,1,ITA,2.0,ZUBKOVA A,1 - 3,415,KAZ,6:55
Penalty shot - Goal,7.0,1,3,2,ITA,2.0,di MARIO T,2 - 3,415,ITA,6:55
20 sec. exclusion in field,10.0,1,3,2,ITA,2.0,GRITSENKO M,2 - 3,403,KAZ,6:43
Penalty foul,10.0,1,3,2,ITA,2.0,GRITSENKO M,2 - 3,394,KAZ,6:34
Penalty shot - Goal,7.0,1,3,3,ITA,2.0,di MARIO T,3 - 3,394,ITA,6:34
Centre shot - Saved,9.0,1,3,3,ITA,2.0,JAKAYEVA A,3 - 3,375,KAZ,6:15
Turnover foul,7.0,1,3,3,ITA,2.0,di MARIO T,3 - 3,361,ITA,6:01
Steal,1.0,1,3,3,ITA,2.0,ZHARKOVA A,3 - 3,361,KAZ,6:01
Counter attack - Saved,2.0,1,3,3,ITA,2.0,SHEPELINA N,3 - 3,347,KAZ,5:47
Centre shot - Saved,9.0,1,3,3,ITA,2.0,JAKAYEVA A,3 - 3,333,KAZ,5:33
20 sec. exclusion in field,9.0,1,3,3,ITA,2.0,JAKAYEVA A,3 - 3,331,KAZ,5:31
Extra player shot - Goal,11.0,1,3,4,ITA,2.0,COTTI A,4 - 3,314,ITA,5:14
5m shot - Missed,10.0,1,3,4,ITA,2.0,GRITSENKO M,4 - 3,293,KAZ,4:53
Action shot - Post,7.0,1,3,4,ITA,2.0,di MARIO T,4 - 3,275,ITA,4:35
20 sec. exclusion in field,8.0,1,3,4,ITA,2.0,BIANCONI R,4 - 3,263,ITA,4:23
Turnover foul,9.0,1,3,4,ITA,2.0,JAKAYEVA A,4 - 3,242,KAZ,4:02
Steal,12.0,1,3,4,ITA,2.0,FRASSINETTI T,4 - 3,242,ITA,4:02
Turnover foul,5.0,1,3,4,ITA,2.0,QUEIROLO E,4 - 3,217,ITA,3:37
Steal,7.0,1,3,4,ITA,2.0,ALEXANDROVA N,4 - 3,217,KAZ,3:37
Action shot - Blocked,10.0,1,3,4,ITA,2.0,GRITSENKO M,4 - 3,195,KAZ,3:15
Action shot - Goal,3.0,1,3,5,ITA,2.0,GARIBOTTI A,5 - 3,181,ITA,3:01
Turnover foul,9.0,1,3,5,ITA,2.0,JAKAYEVA A,5 - 3,168,KAZ,2:48
Action shot - Saved,3.0,1,3,5,ITA,2.0,GARIBOTTI A,5 - 3,146,ITA,2:26
5m shot - Post,10.0,1,3,5,ITA,2.0,GRITSENKO M,5 - 3,124,KAZ,2:04
Turnover foul,5.0,1,3,5,ITA,2.0,QUEIROLO E,5 - 3,110,ITA,1:50
Action shot - Saved,11.0,1,3,5,ITA,4.0,COTTI A,5 - 3,187,ITA,3:07
20 sec. exclusion in field,7.0,1,3,5,ITA,4.0,ALEXANDROVA N,5 - 3,141,KAZ,2:21
Exclusion with substitution,7.0,1,3,5,ITA,4.0,ALEXANDROVA N,5 - 3,141,KAZ,2:21
Extra player shot - Goal,8.0,1,6,9,ITA,4.0,BIANCONI R,9 - 6,123,ITA,2:03
Action shot - Post,9.0,1,6,9,ITA,4.0,JAKAYEVA A,9 - 6,110,KAZ,1:50
5m shot - Post,8.0,1,6,9,ITA,4.0,BIANCONI R,9 - 6,89,ITA,1:29
Action shot - Saved,3.0,1,6,9,ITA,4.0,AKILBAYEVA A,9 - 6,62,KAZ,1:02
Double exclusion,9.0,1,6,9,ITA,4.0,JAKAYEVA A,9 - 6,46,KAZ,0:46
Steal,1.0,1,6,9,ITA,2.0,ZHARKOVA A,9 - 6,110,KAZ,1:50
