Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Centre shot,9.0,1,0,0,ITA,1.0,JAKAYEVA A,0 - 0,464,KAZ,7:44,Missed,0
Extra player shot,10.0,1,0,0,ITA,1.0,GRITSENKO M,0 - 0,366,KAZ,6:06,Post,0
Centre shot,12.0,1,0,0,ITA,1.0,FRASSINETTI T,0 - 0,354,ITA,5:54,Post,0
5m shot,10.0,1,0,0,ITA,1.0,GRITSENKO M,0 - 0,323,KAZ,5:23,Blocked,0
5m shot,2.0,1,0,0,ITA,1.0,POMERI F,0 - 0,298,ITA,4:58,Blocked,0
Centre shot,9.0,1,1,0,ITA,1.0,JAKAYEVA A,0 - 1,279,KAZ,4:39,Goal,1
Action shot,6.0,1,1,0,ITA,1.0,ZUBKOVA A,0 - 1,242,KAZ,4:02,Saved,0
Action shot,8.0,1,1,0,ITA,1.0,BIANCONI R,0 - 1,186,ITA,3:06,Post,0
Extra player shot,7.0,1,2,0,ITA,1.0,ALEXANDROVA N,0 - 2,109,KAZ,1:49,Goal,1
Extra player shot,8.0,1,2,0,ITA,1.0,BIANCONI R,0 - 2,82,ITA,1:22,Post,0
Extra player shot,10.0,1,3,0,ITA,1.0,GRITSENKO M,0 - 3,52,KAZ,0:52,Goal,1
Penalty shot,7.0,1,3,1,ITA,1.0,di MARIO T,1 - 3,38,ITA,0:38,Goal,1
Action shot,9.0,1,3,1,ITA,2.0,EMMOLO G,1 - 3,462,ITA,7:42,Missed,0
Action shot,2.0,1,3,1,ITA,2.0,SHEPELINA N,1 - 3,433,KAZ,7:13,Missed,0
Penalty shot,7.0,1,3,2,ITA,2.0,di MARIO T,2 - 3,415,ITA,6:55,Goal,1
Penalty shot,7.0,1,3,3,ITA,2.0,di MARIO T,3 - 3,394,ITA,6:34,Goal,1
Centre shot,9.0,1,3,3,ITA,2.0,JAKAYEVA A,3 - 3,375,KAZ,6:15,Saved,0
Counter attack,2.0,1,3,3,ITA,2.0,SHEPELINA N,3 - 3,347,KAZ,5:47,Saved,0
Centre shot,9.0,1,3,3,ITA,2.0,JAKAYEVA A,3 - 3,333,KAZ,5:33,Saved,0
Extra player shot,11.0,1,3,4,ITA,2.0,COTTI A,4 - 3,314,ITA,5:14,Goal,1
5m shot,10.0,1,3,4,ITA,2.0,GRITSENKO M,4 - 3,293,KAZ,4:53,Missed,0
Action shot,7.0,1,3,4,ITA,2.0,di MARIO T,4 - 3,275,ITA,4:35,Post,0
Action shot,10.0,1,3,4,ITA,2.0,GRITSENKO M,4 - 3,195,KAZ,3:15,Blocked,0
Action shot,3.0,1,3,5,ITA,2.0,GARIBOTTI A,5 - 3,181,ITA,3:01,Goal,1
Action shot,3.0,1,3,5,ITA,2.0,GARIBOTTI A,5 - 3,146,ITA,2:26,Saved,0
5m shot,10.0,1,3,5,ITA,2.0,GRITSENKO M,5 - 3,124,KAZ,2:04,Post,0
Action shot,11.0,1,3,5,ITA,4.0,COTTI A,5 - 3,187,ITA,3:07,Saved,0
Extra player shot,8.0,1,6,9,ITA,4.0,BIANCONI R,9 - 6,123,ITA,2:03,Goal,1
Action shot,9.0,1,6,9,ITA,4.0,JAKAYEVA A,9 - 6,110,KAZ,1:50,Post,0
5m shot,8.0,1,6,9,ITA,4.0,BIANCONI R,9 - 6,89,ITA,1:29,Post,0
Action shot,3.0,1,6,9,ITA,4.0,AKILBAYEVA A,9 - 6,62,KAZ,1:02,Saved,0
Centre shot,12.0,1,6,9,ITA,2.0,FRASSINETTI T,9 - 6,87,ITA,1:27,Saved,0
Centre shot,12.0,1,6,9,ITA,2.0,FRASSINETTI T,9 - 6,39,ITA,0:39,Saved,0
Extra player shot,11.0,1,6,9,ITA,2.0,COTTI A,9 - 6,10,ITA,0:10,Saved,0
Extra player shot,11.0,1,3,6,ITA,2.0,COTTI A,6 - 3,8,ITA,0:08,Goal,1
5m shot,9.0,1,3,7,ITA,3.0,EMMOLO G,7 - 3,457,ITA,7:37,Goal,1
Centre shot,10.0,1,3,7,ITA,3.0,PALMIERI V,7 - 3,413,ITA,6:53,Blocked,0
5m shot,8.0,1,3,7,ITA,3.0,BIANCONI R,7 - 3,400,ITA,6:40,Missed,0
5m shot,7.0,1,3,7,ITA,3.0,ALEXANDROVA N,7 - 3,379,KAZ,6:19,Missed,0
5m shot,4.0,1,3,7,ITA,3.0,RADICCHI F,7 - 3,355,ITA,5:55,Blocked,0
5m shot,10.0,1,3,7,ITA,3.0,GRITSENKO M,7 - 3,331,KAZ,5:31,Post,0
Action shot,2.0,1,3,7,ITA,3.0,SHEPELINA N,7 - 3,299,KAZ,4:59,Saved,0
Centre shot,10.0,1,3,8,ITA,3.0,PALMIERI V,8 - 3,283,ITA,4:43,Goal,1
5m shot,3.0,1,3,8,ITA,3.0,AKILBAYEVA A,8 - 3,256,KAZ,4:16,Post,0
5m shot,9.0,1,3,8,ITA,3.0,EMMOLO G,8 - 3,237,ITA,3:57,Saved,0
5m shot,4.0,1,3,8,ITA,3.0,TUROVA A,8 - 3,214,KAZ,3:34,Missed,0
5m shot,4.0,1,4,8,ITA,3.0,TUROVA A,8 - 4,172,KAZ,2:52,Goal,1
5m shot,8.0,1,4,8,ITA,3.0,BIANCONI R,8 - 4,155,ITA,2:35,Missed,0
5m shot,10.0,1,4,8,ITA,3.0,GRITSENKO M,8 - 4,128,KAZ,2:08,Post,0
5m shot,2.0,1,4,8,ITA,3.0,POMERI F,8 - 4,80,ITA,1:20,Missed,0
Extra player shot,3.0,1,5,8,ITA,3.0,AKILBAYEVA A,8 - 5,54,KAZ,0:54,Goal,1
5m shot,3.0,1,5,8,ITA,3.0,AKILBAYEVA A,8 - 5,25,KAZ,0:25,Saved,0
Extra player shot,10.0,1,6,8,ITA,3.0,GRITSENKO M,8 - 6,1,KAZ,0:01,Goal,1
5m shot,10.0,1,6,8,ITA,4.0,GRITSENKO M,8 - 6,389,KAZ,6:29,Blocked,0
Action shot,7.0,1,6,8,ITA,4.0,di MARIO T,8 - 6,371,ITA,6:11,Saved,0
Extra player shot,2.0,1,6,8,ITA,4.0,SHEPELINA N,8 - 6,327,KAZ,5:27,Post,0
Extra player shot,3.0,1,6,8,ITA,4.0,AKILBAYEVA A,8 - 6,266,KAZ,4:26,Saved,0
5m shot,7.0,1,6,8,ITA,4.0,di MARIO T,8 - 6,243,ITA,4:03,Missed,0
