Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
GENEE D,2,2,2,0,0,0,0,2,1,0,0,0,0,4,3
GENEE D,3,0,1,2,0,1,0,0,1,0,0,1,0,4,2
GENEE D,4,0,0,1,0,1,0,0,0,0,0,0,0,2,0
GENEE D,5,1,3,0,0,0,0,0,0,0,0,0,0,4,0
GENEE D,7,1,1,0,0,0,0,0,0,0,0,0,0,2,0
HAKHVERDIAN B,2,0,3,0,0,0,0,0,2,0,0,0,0,3,2
HAKHVERDIAN B,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
HAKHVERDIAN B,5,1,1,0,0,0,0,0,1,0,0,0,0,2,1
HAKHVERDIAN B,6,0,1,0,0,0,0,0,1,0,0,0,0,1,1
HAKHVERDIAN B,7,0,1,1,0,0,0,0,1,1,0,0,0,2,2
KLAASSEN L,1,4,0,0,0,1,0,3,0,0,0,0,0,5,3
KLAASSEN L,2,3,2,0,0,1,1,2,2,0,0,1,1,7,6
KLAASSEN L,3,4,0,0,0,0,0,4,0,0,0,0,0,4,4
KLAASSEN L,4,1,4,0,0,1,0,1,2,0,0,0,0,6,3
KLAASSEN L,5,2,0,1,0,2,0,1,0,0,0,1,0,5,2
KLAASSEN L,6,2,6,0,0,1,0,0,3,0,0,1,0,9,4
KLAASSEN L,7,0,1,0,0,2,3,0,0,0,0,0,3,6,3
NIJHUIS M,2,0,0,1,0,0,0,0,0,1,0,0,0,1,1
SEVENICH V,1,0,1,2,0,2,0,0,0,1,0,1,0,5,2
SEVENICH V,2,1,1,4,1,0,0,1,1,1,0,0,0,7,3
SEVENICH V,3,2,2,1,0,2,0,0,0,0,0,1,0,7,1
SEVENICH V,4,2,0,1,0,2,0,0,0,1,0,1,0,5,2
SEVENICH V,5,0,1,1,0,0,0,0,0,0,0,0,0,2,0
SEVENICH V,6,0,1,1,0,1,0,0,0,0,0,0,0,3,0
SEVENICH V,7,0,0,1,0,1,0,0,0,0,0,1,0,2,1
SLAGTER C,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SLAGTER C,2,2,5,0,0,1,0,0,3,0,0,1,0,8,4
SLAGTER C,6,0,2,0,0,0,0,0,0,0,0,0,0,2,0
SLAGTER C,7,1,2,0,0,0,0,0,0,0,0,0,0,3,0
SMIT Y,1,2,0,1,0,2,0,1,0,1,0,2,0,5,4
SMIT Y,2,1,1,1,0,1,0,0,1,1,0,0,0,4,2
SMIT Y,3,1,1,1,0,1,0,0,0,0,0,1,0,4,1
SMIT Y,4,1,6,0,0,0,0,1,2,0,0,0,0,7,3
SMIT Y,5,2,1,1,0,3,0,0,0,0,0,1,0,7,1
SMIT Y,6,0,3,0,0,1,0,0,1,0,0,1,0,4,2
SMIT Y,7,0,6,1,0,0,0,0,3,0,0,0,0,7,3
STOMPHORST N,1,1,2,0,0,0,0,0,1,0,0,0,0,3,1
STOMPHORST N,2,0,2,0,0,0,0,0,1,0,0,0,0,2,1
STOMPHORST N,4,1,4,0,0,1,0,0,1,0,0,0,0,6,1
STOMPHORST N,5,0,1,0,0,0,0,0,1,0,0,0,0,1,1
STOMPHORST N,6,0,3,0,0,0,0,0,1,0,0,0,0,3,1
STOMPHORST N,7,0,2,0,0,0,0,0,1,0,0,0,0,2,1
van BELKUM I,1,4,1,3,0,1,0,1,0,1,0,0,0,9,2
van BELKUM I,2,2,1,0,0,0,0,1,1,0,0,0,0,3,2
van BELKUM I,3,1,2,0,0,1,0,0,1,0,0,1,0,4,2
van BELKUM I,4,1,2,2,1,0,0,1,0,1,0,0,0,6,2
van BELKUM I,5,2,1,1,0,3,0,0,0,1,0,0,0,7,1
van BELKUM I,6,1,1,1,0,0,0,0,1,0,0,0,0,3,1
van BELKUM I,7,1,4,1,0,0,0,0,0,0,0,0,0,6,0
van der MOLEN l,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
van der MOLEN l,2,0,0,3,0,0,0,0,0,3,0,0,0,3,3
van der MOLEN l,3,0,0,3,0,0,0,0,0,1,0,0,0,3,1
van der MOLEN l,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
van der MOLEN l,6,0,0,2,0,0,0,0,0,1,0,0,0,2,1
van der SLOOT S,2,0,5,0,0,2,0,0,2,0,0,1,0,7,3
van der SLOOT S,3,0,0,0,0,0,1,0,0,0,0,0,1,1,1
van der SLOOT S,5,1,1,0,0,1,0,0,1,0,0,0,0,3,1
van der SLOOT S,6,0,2,0,0,0,0,0,1,0,0,0,0,2,1
van der SLOOT S,7,1,1,0,1,0,0,0,1,0,1,0,0,3,2
